CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
143755532,XMAGE1,HAYSEN1_2,RIONOG_CT3,OPT,PeakWE,5.2,0.840143
143734805,XSNDA2,HRFDWIND_ALL,ROUTE66_RN,OPT,PeakWE,4.0,0.358306
143734897,XSNDA2,MARIAH_ALL,ROUTE66_RN,OPT,PeakWE,4.0,0.358306
143675256,XUNCIA,LZ_WEST,SPTX12B_RN,OPT,PeakWE,1.3,4.603791
143693001,XALTUS,KINGW_ALL,SPTX12B_RN,OPT,PeakWE,5.0,0.224582
143720777,XPEAK1,QUEEN_SL_RN,SPTX12B_RN,OPT,PeakWE,5.4,4.775984
143742856,XLCPE,QUEEN_SL_RN,SPTX12B_RN,OPT,PeakWE,2.7,4.775984
143680100,XUNCIA,FWLR_SLR_1,SPTX12B_RN,OPT,PeakWE,9.2,0.076764
143679799,XUNCIA,FWLR_SLR_1,SPTX12B_RN,OPT,PeakWE,3.3,0.076764
143720694,XPEAK1,FWLR_SLR_1,SPTX12B_RN,OPT,PeakWE,5.4,0.08
143739995,XLCPE2,FWLR_SLR_1,SPTX12B_RN,OPT,PeakWE,2.7,0.08
143773287,XDEN3,CHISMGRD_RN,MAR_MARSFOG1,OBL,PeakWE,1.9,3.353613
143679848,XUNCIA,MAR_MARSFOG2,MAR_MARSFOG1,OPT,PeakWE,1.2,0.21
143767260,XDEN,MAR_MARSFOG2,MAR_MARSFOG1,OPT,PeakWE,2.2,0.010546
143636476,XSUEZI,NACPW_UNIT1,HAYSEN3_4,OBL,PeakWE,2.9,1.382483
143730240,XGEO1,HHGT_KENDAL,HAYSEN3_4,OPT,PeakWE,1.0,2.687009
143730368,XGEO1,HHGT_KENDAL,HAYSEN3_4,OPT,PeakWE,0.3,2.687009
143636681,XSUEZI,BOSQ_BSQS_34,HAYSEN3_4,OBL,PeakWE,3.0,-0.047313
143609246,XMEA,GUADG_CCU2,HAYSEN3_4,OPT,PeakWE,4.5,0.305087
143632480,XMEA2,GUADG_CCU2,HAYSEN3_4,OPT,PeakWE,7.5,0.305087
143636568,XSUEZI,OGSES_2,HAYSEN3_4,OBL,PeakWE,2.6,0.759564
143636633,XSUEZI,HB_HUBAVG,HAYSEN3_4,OBL,PeakWE,1.6,1.103305
143636471,XSUEZI,LEG_LEG_G1,HAYSEN3_4,OBL,PeakWE,2.3,0.877347
143636635,XSUEZI,HB_BUSAVG,HAYSEN3_4,OBL,PeakWE,1.6,1.205222
143636675,XSUEZI,LAMESASLR_G,HAYSEN3_4,OBL,PeakWE,0.1,-0.864159
143636676,XSUEZI,LAMESASLR_G,HAYSEN3_4,OBL,PeakWE,0.2,-0.864159
143636679,XSUEZI,TGCCS_ALL,HAYSEN3_4,OBL,PeakWE,2.8,1.546537
143635053,XEDIS2,EUNICE_ALL,QALSW_ALL,OPT,PeakWE,1.8,3.044188
143635054,XEDIS2,EUNICE_ALL,QALSW_ALL,OPT,PeakWE,2.7,3.044188
143635055,XEDIS2,EUNICE_ALL,QALSW_ALL,OPT,PeakWE,2.7,3.044188
143635056,XEDIS2,EUNICE_ALL,QALSW_ALL,OPT,PeakWE,3.6,3.044188
143642687,XVITO2,EUNICE_ALL,QALSW_ALL,OPT,PeakWE,2.5,2.843512
143642688,XVITO2,EUNICE_ALL,QALSW_ALL,OPT,PeakWE,2.5,2.843512
143636776,XSUEZI,MAVCRK_W_ALL,QALSW_ALL,OBL,PeakWE,2.2,4.513836
143642939,XVITO2,PROSPERO_ALL,QALSW_ALL,OPT,PeakWE,2.5,2.587613
143642940,XVITO2,PROSPERO_ALL,QALSW_ALL,OPT,PeakWE,2.5,2.587613
143642971,XVITO2,RN_ECEC_HOLT,QALSW_ALL,OPT,PeakWE,2.5,1.305289
143642972,XVITO2,RN_ECEC_HOLT,QALSW_ALL,OPT,PeakWE,2.5,1.305289
143642541,XVITO2,BARROW_ALL,QALSW_ALL,OPT,PeakWE,2.5,2.164457
143642542,XVITO2,BARROW_ALL,QALSW_ALL,OPT,PeakWE,2.5,2.164457
143642775,XVITO2,LAPETUS_U1,QALSW_ALL,OPT,PeakWE,2.5,2.07075
143642776,XVITO2,LAPETUS_U1,QALSW_ALL,OPT,PeakWE,2.5,2.07075
143632057,XMEA2,DUP_PUN4,CALHOUN_ALL,OPT,PeakWE,1.2,0.656154
143630300,XMEA1,DUP_PUN4,CALHOUN_ALL,OPT,PeakWE,1.8,0.656154
143680295,XUNCIA,DUP_PUN4,CALHOUN_ALL,OPT,PeakWE,1.8,0.770109
143675562,XUNCIA,NCARBIDE_1_7,CALHOUN_ALL,OPT,PeakWE,0.8,0.704871
143680226,XUNCIA,NCARBIDE_1_7,CALHOUN_ALL,OPT,PeakWE,1.8,0.704871
143716254,XCRIMS,NCARBIDE_1_7,CALHOUN_ALL,OPT,PeakWE,4.0,0.81
143680292,XUNCIA,DUP_PUN1,CALHOUN_ALL,OPT,PeakWE,1.8,0.770109
143675269,XUNCIA,PTLBES_BESS1,CALHOUN_ALL,OPT,PeakWE,1.3,0.482557
143765085,XLELAN,PTLBES_BESS1,CALHOUN_ALL,OPT,PeakWE,4.0,0.877565
143675123,XUNCIA,FORMOSA_PUN1,CALHOUN_ALL,OPT,PeakWE,2.4,0.316605
143675432,XUNCIA,MIAM1_G1_G2,MISAE_GEN_RN,OPT,PeakWE,2.4,0.365024
143680169,XUNCIA,MIAM1_G1_G2,MISAE_GEN_RN,OPT,PeakWE,1.9,0.365024
143734909,XSNDA2,MIAM1_G1_G2,MISAE_GEN_RN,OPT,PeakWE,3.8,0.432139
143735071,XSNDA2,ROUTE66_RN,MISAE_GEN_RN,OPT,PeakWE,2.8,0.597287
143675409,XUNCIA,HB_PAN,MISAE_GEN_RN,OPT,PeakWE,2.0,0.468994
143680473,XUNCIA,HB_PAN,MISAE_GEN_RN,OPT,PeakWE,1.6,0.468994
143734789,XSNDA2,HB_PAN,MISAE_GEN_RN,OPT,PeakWE,2.7,0.5797
143679806,XUNCIA,CHAMON_UN1,CVC_CVCG1_5,OPT,PeakWE,3.0,0.27278
143680321,XUNCIA,CHAMON_UN1,CVC_CVCG1_5,OPT,PeakWE,1.7,0.27278
143680375,XUNCIA,CHAMON_UN1,CVC_CVCG1_5,OPT,PeakWE,1.6,0.27278
143679779,XUNCIA,CHEDPW_GT2,CVC_CVCG1_5,OPT,PeakWE,22.8,0.014674
143680080,XUNCIA,CHEDPW_GT2,CVC_CVCG1_5,OPT,PeakWE,69.2,0.014674
143680381,XUNCIA,CHEDPW_GT2,CVC_CVCG1_5,OPT,PeakWE,23.5,0.014674
143675127,XUNCIA,PSA_PSA_G1,CVC_CVCG1_5,OPT,PeakWE,1.3,0.562031
143675145,XUNCIA,PSA_PSA_G1,CVC_CVCG1_5,OPT,PeakWE,1.3,0.562031
143679969,XUNCIA,PSA_PSA_G1,CVC_CVCG1_5,OPT,PeakWE,2.3,0.562031
143780797,XDESLY,SPNC_SPNCE_4,JCKCNTY2_CT4,OPT,PeakWE,0.5,1.011478
143788583,XDESL2,SPNC_SPNCE_4,JCKCNTY2_CT4,OPT,PeakWE,0.2,1.011478
143594991,XTENS,SHANNONW_RN,JCKCNTY2_CT4,OPT,PeakWE,3.0,2.219106
143594992,XTENS,SHANNONW_RN,JCKCNTY2_CT4,OPT,PeakWE,3.8,2.219106
143594993,XTENS,SHANNONW_RN,JCKCNTY2_CT4,OPT,PeakWE,4.5,2.219106
143636424,XSUEZI,TYLRWIND_RN,JCKCNTY2_CT4,OBL,PeakWE,1.8,-0.855358
143635025,XEDIS2,DERMOTT_ALL,JCKCNTY2_CT4,OPT,PeakWE,1.8,2.619078
143780789,XDESLY,VORT_ALL_RN,JCKCNTY2_CT4,OPT,PeakWE,0.7,1.660287
143754700,XDESL2,VORT_ALL_RN,JCKCNTY2_CT4,OPT,PeakWE,0.7,1.660287
143675131,XUNCIA,COTTON_PAP2,WHITE_PT_UN1,OPT,PeakWE,1.3,2.64321
143679868,XUNCIA,COTTON_PAP2,WHITE_PT_UN1,OPT,PeakWE,2.7,2.64321
143698267,XALTU1,COTTON_PAP2,WHITE_PT_UN1,OPT,PeakWE,1.8,1.104533
143780848,XDESLY,CCEC_GT2,WHITE_PT_UN1,OPT,PeakWE,0.2,5.44316
143793960,XDESL1,CCEC_GT2,WHITE_PT_UN1,OPT,PeakWE,0.5,5.44316
143794028,XDESL1,CCEC_GT2,WHITE_PT_UN1,OPT,PeakWE,0.7,5.44316
143788618,XDESL2,CCEC_GT2,WHITE_PT_UN1,OPT,PeakWE,1.6,5.44316
143788794,XDESL2,CCEC_GT2,WHITE_PT_UN1,OPT,PeakWE,0.7,5.44316
143628794,XSWPWR,INGLCO_PUN3,WHITE_PT_UN1,OPT,PeakWE,0.3,0.481385
143628999,XSWPWR,INGLCO_PUN3,WHITE_PT_UN1,OPT,PeakWE,7.5,0.481385
143629128,XSWPWR,INGLCO_PUN3,WHITE_PT_UN1,OPT,PeakWE,1.5,0.481385
143629146,XSWPWR,INGLCO_PUN3,WHITE_PT_UN1,OPT,PeakWE,5.7,0.481385
143629272,XSWPWR,INGLCO_PUN3,WHITE_PT_UN1,OPT,PeakWE,15.0,0.481385
143793918,XDESL1,NUE_NUECESG7,WHITE_PT_UN1,OPT,PeakWE,0.2,5.527444
143793962,XDESL1,NUE_NUECESG7,WHITE_PT_UN1,OPT,PeakWE,0.5,5.527444
143788619,XDESL2,NUE_NUECESG7,WHITE_PT_UN1,OPT,PeakWE,1.6,5.527444
143765079,XLELAN,PAP1_PAP1,WHITE_PT_UN1,OPT,PeakWE,4.0,1.104533
143755525,XMAGE1,PAP1_PAP1,WHITE_PT_UN1,OPT,PeakWE,20.2,1.104533
143765100,XLELAN,SHAFFER_ALL,WHITE_PT_UN1,OPT,PeakWE,4.0,7.082668
143765053,XLELAN,LGE_LGE_GT1,WHITE_PT_UN1,OPT,PeakWE,4.0,0.829355
143679821,XUNCIA,INGLCO_PUN2,WHITE_PT_UN1,OPT,PeakWE,2.3,0.474876
143680122,XUNCIA,INGLCO_PUN2,WHITE_PT_UN1,OPT,PeakWE,7.4,0.474876
143646496,XSARA3,WHITE_PT_UN1,PAP1_PAP1,OPT,PeakWE,8.9,0.303211
143737166,XHART2,WHITE_PT_UN1,PAP1_PAP1,OPT,PeakWE,0.4,0.125661
143737167,XHART2,WHITE_PT_UN1,PAP1_PAP1,OPT,PeakWE,0.4,0.125661
143737550,XHART2,WHITE_PT_UN1,PAP1_PAP1,OPT,PeakWE,0.4,0.173985
143737551,XHART2,WHITE_PT_UN1,PAP1_PAP1,OPT,PeakWE,0.4,0.173985
143635145,XEDIS2,LGE_LGE_GT1,PAP1_PAP1,OPT,PeakWE,1.2,0.62
143635146,XEDIS2,LGE_LGE_GT1,PAP1_PAP1,OPT,PeakWE,1.8,0.62
143635147,XEDIS2,LGE_LGE_GT1,PAP1_PAP1,OPT,PeakWE,1.8,0.62
143635148,XEDIS2,LGE_LGE_GT1,PAP1_PAP1,OPT,PeakWE,2.4,0.62
143675294,XUNCIA,VENADO_ALL,BORDAS_345,OPT,PeakWE,1.3,0.390568
143733927,XLAFAY,VENADO_ALL,BORDAS_345,OPT,PeakWE,0.3,0.552824
143636260,XSUEZI,TORR_ALL,BORDAS_345,OBL,PeakWE,0.3,0.776385
143639476,XVITO1,RELOJ_ALL,BORDAS_345,OPT,PeakWE,0.7,0.01
143646446,XSARA3,RELOJ_ALL,BORDAS_345,OPT,PeakWE,0.6,0.01
143720479,XPEAK1,RELOJ_ALL,BORDAS_345,OPT,PeakWE,15.0,0.01
143712943,XSARA1,RELOJ_ALL,BORDAS_345,OPT,PeakWE,9.6,0.01
143712970,XSARA1,RELOJ_ALL,BORDAS_345,OPT,PeakWE,5.6,0.01
143762376,XGBPPO,RELOJ_ALL,BORDAS_345,OPT,PeakWE,8.6,0.01
143781233,XDESLY,RELOJ_ALL,BORDAS_345,OPT,PeakWE,4.4,0.01
143754557,XDESL2,RELOJ_ALL,BORDAS_345,OPT,PeakWE,4.4,0.01
143754567,XDESL2,RELOJ_ALL,BORDAS_345,OPT,PeakWE,8.9,0.01
143675203,XUNCIA,MIRAGE_G1,BYU_BYU_1,OPT,PeakWE,4.2,0.10973
143675434,XUNCIA,MIRAGE_G1,BYU_BYU_1,OPT,PeakWE,5.4,0.10973
143675702,XUNCIA,DDPEC_GT1,BYU_BYU_1,OPT,PeakWE,0.5,1.60895
143675730,XUNCIA,DDPEC_GT1,BYU_BYU_1,OPT,PeakWE,0.5,1.60895
143675331,XUNCIA,CAL_PUN1,DDPEC_GT1,OPT,PeakWE,1.2,1.260233
