CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
153312072,XHWE,MIRASOLE_GEN,HB_SOUTH,OBL,PeakWE,1.0,10.580988
153312085,XHWE,MIRASOLE_GEN,HB_SOUTH,OBL,PeakWE,1.0,10.580988
153312216,XHWE,LNCRK_ALL,HB_NORTH,OBL,PeakWE,1.0,1.039524
153342114,XSARA3,STEA_STEAM_3,HB_NORTH,OPT,PeakWE,8.0,0.407397
135158033,XBTU,DANSBY_ALL,LZ_NORTH,OPT,PeakWD,65.0,2.050783
135158032,XBTU,ATK_ATKINSG7,LZ_NORTH,OPT,PeakWD,12.0,1.984584
135158093,XGAR,OLIN_OLING_3,LZ_NORTH,OPT,PeakWD,78.4,1.325175
135158101,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,PeakWD,21.5,1.362418
135158092,XGAR,OLIN_OLING_2,LZ_NORTH,OPT,PeakWD,93.7,1.325175
135158307,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWD,15.7,1.324614
135158308,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWD,15.7,1.324614
137686354,XPEAK1,B_DAVIS_3,CCEC_GT1,OPT,PeakWD,21.4,0.421325
137727585,XDESL1,B_DAVIS_3,CCEC_GT1,OPT,PeakWD,0.5,0.421325
137637671,XSUEZI,HB_HUBAVG,LOS_LOSTPGT2,OBL,PeakWD,0.3,1.155099
137728509,XBAYES,SGSA_DGR,TOYAH_RN,OPT,PeakWD,0.2,1.403636
135158233,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,13.0,3.333534
135158234,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,13.1,3.333534
135158224,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,PeakWD,178.6,4.869894
135158232,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,PeakWD,54.5,4.813883
137533966,XNEXTA,BLSMT1_5_A_6,HB_NORTH,OBL,Off-peak,4.8,2.044185
137533967,XNEXTA,BLSMT1_5_A_6,HB_NORTH,OBL,Off-peak,4.8,2.044185
137533968,XNEXTA,BLSMT1_5_A_6,HB_NORTH,OBL,Off-peak,3.2,2.044185
137534026,XNEXTA,BLSMT1_5_A_6,HB_NORTH,OBL,Off-peak,9.9,2.044185
137534027,XNEXTA,BLSMT1_5_A_6,HB_NORTH,OBL,Off-peak,9.9,2.044185
137534028,XNEXTA,BLSMT1_5_A_6,HB_NORTH,OBL,Off-peak,6.7,2.044185
137542658,XEXELO,HB_WEST,HB_NORTH,OBL,Off-peak,20.0,-6.353931
137542659,XEXELO,HB_WEST,HB_NORTH,OBL,Off-peak,20.0,-6.353931
137542660,XEXELO,HB_WEST,HB_NORTH,OBL,Off-peak,20.0,-6.353931
137542661,XEXELO,HB_WEST,HB_NORTH,OBL,Off-peak,20.0,-6.353931
137542662,XEXELO,HB_WEST,HB_NORTH,OBL,Off-peak,20.0,-6.353931
137529839,XEAGL,HB_WEST,HB_NORTH,OBL,Off-peak,25.0,-7.475933
137529840,XEAGL,HB_WEST,HB_NORTH,OBL,Off-peak,13.1,-7.475933
137560835,XECNRQ,PC_NORTH_1,HB_WEST,OBL,Off-peak,8.3,-5.472538
137528009,XEDISO,FLUVANNA_1_2,HB_WEST,OPT,Off-peak,4.5,8.973602
137528010,XEDISO,FLUVANNA_1_2,HB_WEST,OPT,Off-peak,3.3,8.973602
137582324,XDESL2,FLUVANNA_1_2,HB_WEST,OPT,Off-peak,0.7,7.623641
137541593,XSUEZ,PRID_RN,HB_WEST,OPT,Off-peak,10.0,6.139133
137576640,XHART2,HB_PAN,HB_WEST,OPT,Off-peak,0.1,10.534547
137558246,XVITO1,WL_RANCH_RN,SJS_SJS_G1,OBL,Off-peak,0.8,-4.330967
137550885,XMAGE,DDPEC_GT1,SJS_SJS_G1,OPT,Off-peak,7.5,0.114164
137591552,XDESLY,PSG_PSG_GT2,SJS_SJS_G1,OPT,Off-peak,0.2,0.252808
137582084,XDESLY,CHAMON_UN1,SJS_SJS_G1,OPT,Off-peak,0.2,0.210566
137574351,XLELAN,WHITE_PT_UN1,PAP1_PAP1,OPT,Off-peak,4.0,0.105791
137566324,XMUDD,VISION_RN,FREC_2_CCU,OPT,Off-peak,4.0,0.16805
137592820,XDESL1,FREC_1_CCU,FREC_2_CCU,OPT,Off-peak,1.0,0.108011
137548553,XVITO1,AJAXWIND_RN,FREC_2_CCU,OBL,Off-peak,3.4,2.281092
137578650,XLELAN,LEG_LEG_G1,OGSES_1,OPT,Off-peak,4.0,0.241526
137570933,XSARAC,HHGT_KENDAL,HB_SOUTH,OPT,Off-peak,10.5,1.212168
137570934,XSARAC,HHGT_KENDAL,HB_SOUTH,OPT,Off-peak,1.3,1.212168
137570935,XSARAC,HHGT_KENDAL,HB_SOUTH,OPT,Off-peak,1.9,1.212168
137570936,XSARAC,HHGT_KENDAL,HB_SOUTH,OPT,Off-peak,2.7,1.212168
137587206,XALGON,TRUENO_ALL,HB_SOUTH,OPT,Off-peak,6.0,10.519142
137561139,XECNRQ,STELLA_RN,HB_SOUTH,OBL,Off-peak,5.9,7.747156
137561140,XECNRQ,STELLA_RN,HB_SOUTH,OBL,Off-peak,0.1,7.747156
137587182,XALGON,STELLA_RN,HB_SOUTH,OPT,Off-peak,4.0,9.230238
137539458,XLUREP,HB_NORTH,HB_SOUTH,OBL,Off-peak,129.0,0.585336
137546878,XMEA1,HB_NORTH,HB_SOUTH,OBL,Off-peak,14.3,0.454184
137576236,XMOUN2,WAP_WAP_G1,RAB_G1-8,OPT,Off-peak,4.0,0.099006
137558800,XVITO1,HB_HUBAVG,RAB_G1-8,OBL,Off-peak,0.8,-1.138496
137558801,XVITO1,HB_HUBAVG,RAB_G1-8,OBL,Off-peak,0.2,-1.138496
137558610,XVITO1,ANCHOR_ALL,RAB_G1-8,OBL,Off-peak,0.8,2.558185
137558820,XVITO1,HB_BUSAVG,RAB_G1-8,OBL,Off-peak,0.8,-0.036233
137558821,XVITO1,HB_BUSAVG,RAB_G1-8,OBL,Off-peak,0.2,-0.036233
137548895,XVITO1,GRSES_UNIT2,RAB_G1-8,OBL,Off-peak,0.8,2.937297
137571695,XSARA1,LHM_CVC_G4,RAB_G1-8,OPT,Off-peak,9.6,0.271316
137548968,XVITO1,HB_HUBAVG,GBY_GT,OBL,Off-peak,0.8,-0.84441
137548969,XVITO1,HB_HUBAVG,GBY_GT,OBL,Off-peak,0.2,-0.84441
