CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
135158613,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,20.0,0.1661
135158614,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,20.0,0.1661
135158615,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,Off-peak,301.5,0.714863
135158616,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,Off-peak,302.5,0.714863
135158617,XAEN,STP_STP_G1,LZ_AEN,OPT,Off-peak,216.5,2.580739
135158618,XAEN,STP_STP_G2,LZ_AEN,OPT,Off-peak,214.4,2.580739
135158760,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,5.90055
135158761,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,Off-peak,35.0,5.90055
135158762,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,5.90055
135158763,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,Off-peak,21.0,6.219241
135158764,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,Off-peak,43.0,6.219241
135158810,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,176.0,0.603298
135158811,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,Off-peak,176.0,0.603298
135158812,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,184.0,0.603298
135158813,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,Off-peak,560.0,0.647555
135158814,XCPSE,STP_STP_G1,LZ_CPS,OPT,Off-peak,378.8,2.880714
135158815,XCPSE,STP_STP_G2,LZ_CPS,OPT,Off-peak,375.2,2.880714
135158854,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,Off-peak,197.8,0.941173
135158855,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,Off-peak,198.5,0.941173
135158856,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,Off-peak,294.6,0.941343
135158857,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,Off-peak,57.8,0.846786
135158858,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,Off-peak,56.2,0.846786
135158859,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,Off-peak,60.6,0.846786
135158907,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,Off-peak,33.0,6.798211
135158908,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,Off-peak,33.0,6.798211
135158909,XSTEC,FAL_FALCONG1,LZ_SOUTH,OPT,Off-peak,10.5,7.271409
135158910,XSTEC,FAL_FALCONG2,LZ_SOUTH,OPT,Off-peak,10.5,7.271409
135158911,XSTEC,FAL_FALCONG3,LZ_SOUTH,OPT,Off-peak,10.5,7.271409
135158912,XSTEC,NED_NEDIN_G1,LZ_SOUTH,OPT,Off-peak,212.5,5.908043
135158913,XSTEC,NED_NEDIN_G2,LZ_SOUTH,OPT,Off-peak,212.5,5.908043
135158914,XSTEC,NED_NEDIN_G3,LZ_SOUTH,OPT,Off-peak,250.0,6.07961
