CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
154800245,XGTWN,SSPURT_WIND1,LZ_SOUTH,OPT,Off-peak,3.0,8.071811
154810262,XSTEC,SLTFRK_UN1_2,LZ_SOUTH,OPT,Off-peak,10.0,7.721698
154810240,XSTEC,PEARSA_1_24,LZ_SOUTH,OPT,Off-peak,19.0,1.367794
154801749,XCPSE,BRA_AVR_CST1,LZ_SOUTH,OPT,Off-peak,2.6,1.481898
154801761,XCPSE,BRA_AVR_CST1,LZ_SOUTH,OPT,Off-peak,2.6,1.481898
154801774,XCPSE,BRA_AVR_CST1,LZ_SOUTH,OPT,Off-peak,2.6,1.481898
154801787,XCPSE,BRA_AVR_CST1,LZ_SOUTH,OPT,Off-peak,2.6,1.481898
154811222,XEDFT2,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,17.5,0.1
154811246,XEDFT2,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,8.0,0.1
154810236,XSTEC,HB_SOUTH,LZ_SOUTH,OPT,Off-peak,50.0,1.562636
154810026,XNRGLD,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,158.0,0.1
154810050,XNRGLD,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,10.0,0.1
154810074,XNRGLD,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,46.7,0.1
154781965,XLUREP,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,63.0,0.1
154781966,XLUREP,HB_SOUTH,LZ_SOUTH,OPT,Off-peak,65.0,1.562636
154800239,XGTWN,HB_SOUTH,LZ_SOUTH,OPT,Off-peak,1.6,1.562636
154781832,XMERRL,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,4.0,-0.0988
154781833,XMERRL,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,1.0,0.152651
154822131,XGEXA,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,4.7,-0.0988
154822132,XGEXA,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,4.7,-0.0988
154822136,XGEXA,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,0.3,0.12678
154822140,XGEXA,HB_SOUTH,LZ_SOUTH,OBL,Off-peak,1.5,0.152651
154812050,XEXELO,HB_NORTH,LZ_NORTH,OBL,Off-peak,40.0,0.196341
154812051,XEXELO,HB_NORTH,LZ_NORTH,OBL,Off-peak,40.0,0.196341
154812054,XEXELO,HB_NORTH,LZ_NORTH,OBL,Off-peak,40.0,0.196341
154812055,XEXELO,HB_NORTH,LZ_NORTH,OBL,Off-peak,40.0,0.196341
154812056,XEXELO,HB_NORTH,LZ_NORTH,OBL,Off-peak,40.0,0.196341
154811210,XEDFT2,HB_NORTH,LZ_NORTH,OBL,Off-peak,7.9,0.22
154811234,XEDFT2,HB_NORTH,LZ_NORTH,OBL,Off-peak,20.5,0.22
154810697,XEAGL,HB_NORTH,LZ_NORTH,OBL,Off-peak,3.7,0.22
154798578,XDME,HB_NORTH,LZ_NORTH,OBL,Off-peak,3.5,0.22
154798579,XDME,HB_NORTH,LZ_NORTH,OBL,Off-peak,3.5,0.22
154810020,XNRGLD,HB_NORTH,LZ_NORTH,OBL,Off-peak,466.0,0.22
154810044,XNRGLD,HB_NORTH,LZ_NORTH,OBL,Off-peak,10.0,0.22
154781962,XLUREP,HB_NORTH,LZ_NORTH,OBL,Off-peak,228.0,0.22
154781963,XLUREP,HB_NORTH,LZ_NORTH,OPT,Off-peak,1.0,0.296148
154822114,XGEXA,HB_NORTH,LZ_NORTH,OBL,Off-peak,8.5,0.196341
154822115,XGEXA,HB_NORTH,LZ_NORTH,OBL,Off-peak,8.5,0.196341
154822119,XGEXA,HB_NORTH,LZ_NORTH,OBL,Off-peak,5.4,0.26221
154822120,XGEXA,HB_NORTH,LZ_NORTH,OBL,Off-peak,5.3,0.26221
154836286,XFRONT,HB_NORTH,LZ_NORTH,OBL,Off-peak,6.4,0.196341
154836289,XFRONT,HB_NORTH,LZ_NORTH,OBL,Off-peak,5.0,0.26221
154838289,XMEA1,HB_NORTH,LZ_NORTH,OBL,Off-peak,25.0,0.196341
154838325,XMEA1,HB_NORTH,LZ_NORTH,OBL,Off-peak,113.0,0.196341
154872917,XEDFEN,HB_NORTH,LZ_NORTH,OBL,Off-peak,9.1,0.22
154876889,XMIDAE,HB_NORTH,LZ_NORTH,OBL,Off-peak,23.0,0.22
154976441,XMIDSO,HB_NORTH,LZ_NORTH,OBL,Off-peak,1.3,0.22
154976442,XMIDSO,HB_NORTH,LZ_NORTH,OBL,Off-peak,1.3,0.22
154969405,XSCENE,VERTIGO_UN1,DC_N,OPT,Off-peak,0.2,0.344456
154922748,XCWPE2,WCPP_CT1,DC_N,OPT,Off-peak,0.6,0.194487
154957290,XUNCI3,WCPP_CT1,DC_N,OPT,Off-peak,1.7,0.201013
154851783,XSUEZI,WAKEWE_ALL,DC_N,OBL,Off-peak,1.1,0.974479
154916968,XPEAK1,WAKEWE_ALL,DC_N,OPT,Off-peak,10.0,1.781358
154923368,XCWPE2,WAKEWE_ALL,DC_N,OPT,Off-peak,0.2,1.781358
154851649,XSUEZI,HB_PAN,DC_N,OBL,Off-peak,2.2,1.947114
154976047,XSCEN1,INDNNWP_RN,INDNENR_1_RN,OPT,Off-peak,0.2,0.841815
154817417,XTENS,NUE_NUECESG9,NUE_NUECESG7,OPT,Off-peak,5.0,0.07
154834275,XMIDWE,FPPYD_FPP_G3,LOS_LOSTPGT1,OPT,Off-peak,9.0,0.315027
154834808,XMIDWE,FPPYD_FPP_G3,LOS_LOSTPGT1,OPT,Off-peak,6.0,0.315027
