DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1001 AROYA_8 1074 WINKSS_8 1,Line,To - From,-157.2,157.2,Hard Constraint,SARYYUC8,JUL_2025,Off-peak,234.28
1001 AROYA_8 1074 WINKSS_8 1,Line,To - From,-158.8,158.8,Hard Constraint,SARYYUC8,SEP_2025,Off-peak,89.19
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,158.8,158.8,Hard Constraint,SARYYUC8,SEP_2025,PeakWD,30.82
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,85.2,85.2,Hard Constraint,SMOSRLK8,AUG_2025,Off-peak,19.98
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,98.0,98.0,Hard Constraint,SMOSRLK8,DEC_2025,Off-peak,24.2
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,85.2,85.2,Hard Constraint,SMOSRLK8,JUL_2025,Off-peak,14.3
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,95.6,95.6,Hard Constraint,SMOSRLK8,NOV_2025,Off-peak,23.44
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,90.4,90.4,Hard Constraint,SMOSRLK8,OCT_2025,Off-peak,16.6
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,88.0,88.0,Hard Constraint,SMOSRLK8,SEP_2025,Off-peak,59.85
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,85.2,85.2,Hard Constraint,SMOSRLK8,AUG_2025,PeakWD,56.61
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,98.0,98.0,Hard Constraint,SMOSRLK8,DEC_2025,PeakWD,37.31
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,85.2,85.2,Hard Constraint,SMOSRLK8,JUL_2025,PeakWD,38.41
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,95.6,95.6,Hard Constraint,SMOSRLK8,NOV_2025,PeakWD,29.9
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,90.4,90.4,Hard Constraint,SMOSRLK8,OCT_2025,PeakWD,37.34
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,88.0,88.0,Hard Constraint,SMOSRLK8,SEP_2025,PeakWD,33.65
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,85.2,85.2,Hard Constraint,SMOSRLK8,AUG_2025,PeakWE,17.06
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,98.0,98.0,Hard Constraint,SMOSRLK8,DEC_2025,PeakWE,11.51
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,85.2,85.2,Hard Constraint,SMOSRLK8,JUL_2025,PeakWE,17
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,95.6,95.6,Hard Constraint,SMOSRLK8,NOV_2025,PeakWE,11.99
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,90.4,90.4,Hard Constraint,SMOSRLK8,OCT_2025,PeakWE,15.78
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,88.0,88.0,Hard Constraint,SMOSRLK8,SEP_2025,PeakWE,14.23
