CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
173125544,XHWE,MIRASOLE_GEN,HB_SOUTH,OBL,Off-peak,2.0,2.188796
146667985,XLUTRD,FRNYPP_1_CCU,HB_NORTH,OPT,Off-peak,13.1,0.19721
163504487,XHWE,LNCRK_ALL,HB_NORTH,OBL,Off-peak,1.0,0.730863
163504503,XHWE,LNCRK_ALL,HB_NORTH,OBL,Off-peak,1.0,0.730863
146684726,XHWE,LNCRK_ALL,HB_NORTH,OBL,PeakWE,1.0,-0.121929
146684739,XHWE,LNCRK_ALL,HB_NORTH,OBL,PeakWE,1.0,-0.121929
146684751,XHWE,LNCRK_ALL,HB_NORTH,OBL,PeakWE,1.0,-0.121929
154805221,XLUMN,FOXTROT_ALL,CALAVER_JKS2,OPT,PeakWE,0.1,20.218809
154805234,XLUMN,FOXTROT_ALL,CALAVER_JKS2,OPT,PeakWE,0.1,20.218809
154805247,XLUMN,FOXTROT_ALL,CALAVER_JKS2,OPT,PeakWE,0.1,20.218809
154805316,XLUMN,FOXTROT_ALL,CALAVER_JKS2,OPT,PeakWE,0.1,20.218809
154805329,XLUMN,FOXTROT_ALL,CALAVER_JKS2,OPT,PeakWE,0.1,20.218809
154805342,XLUMN,FOXTROT_ALL,CALAVER_JKS2,OPT,PeakWE,0.1,20.218809
154805468,XLUMN,CRANELL_ALL,LZ_CPS,OPT,PeakWE,0.1,16.771032
154805537,XLUMN,CRANELL_ALL,LZ_CPS,OPT,PeakWE,0.1,16.771032
154805550,XLUMN,CRANELL_ALL,LZ_CPS,OPT,PeakWE,0.1,16.771032
154805563,XLUMN,CRANELL_ALL,LZ_CPS,OPT,PeakWE,0.1,16.771032
154805632,XLUMN,CRANELL_ALL,LZ_CPS,OPT,PeakWE,0.1,16.771032
154805645,XLUMN,CRANELL_ALL,LZ_CPS,OPT,PeakWE,0.1,16.771032
154805658,XLUMN,CRANELL_ALL,LZ_CPS,OPT,PeakWE,0.1,16.771032
154805796,XLUMN,SPARTA_ALL,CALAVER_JKS1,OPT,PeakWE,0.1,20.218809
154805810,XLUMN,SPARTA_ALL,CALAVER_JKS1,OPT,PeakWE,0.1,20.218809
154805823,XLUMN,SPARTA_ALL,CALAVER_JKS1,OPT,PeakWE,0.1,20.218809
154805891,XLUMN,SPARTA_ALL,CALAVER_JKS1,OPT,PeakWE,0.1,20.218809
154805905,XLUMN,SPARTA_ALL,CALAVER_JKS1,OPT,PeakWE,0.1,20.218809
154805918,XLUMN,SPARTA_ALL,CALAVER_JKS1,OPT,PeakWE,0.1,20.218809
154806038,XLUMN,KARAKAW2_1,LZ_CPS,OPT,PeakWE,0.1,17.653733
154806062,XLUMN,KARAKAW2_1,LZ_CPS,OPT,PeakWE,0.1,17.653733
154806089,XLUMN,KARAKAW2_1,LZ_CPS,OPT,PeakWE,0.1,17.653733
154806165,XLUMN,KARAKAW2_1,LZ_CPS,OPT,PeakWE,0.1,17.653733
154806178,XLUMN,KARAKAW2_1,LZ_CPS,OPT,PeakWE,0.1,17.653733
154806191,XLUMN,KARAKAW2_1,LZ_CPS,OPT,PeakWE,0.1,17.653733
154806260,XLUMN,KARAKAW2_1,LZ_CPS,OPT,PeakWE,0.1,17.653733
154806273,XLUMN,KARAKAW2_1,LZ_CPS,OPT,PeakWE,0.1,17.653733
154806286,XLUMN,KARAKAW2_1,LZ_CPS,OPT,PeakWE,0.1,17.653733
154882055,XUNCIA,SBEAN_BESS,NBOHR_RN,OPT,PeakWE,0.8,0.905731
154790861,XDCEN3,WNDTS2_UNIT1,S_HILLS_RN,OPT,PeakWE,0.3,0.591296
173151253,XSUEZI,LONEWOLF_ALL,MLSES_UNIT1,OBL,PeakWE,1.7,-1.13109
173151254,XSUEZI,LONEWOLF_ALL,MLSES_UNIT1,OBL,PeakWE,1.7,-1.13109
173151268,XSUEZI,ANCHOR_ALL,MLSES_UNIT1,OBL,PeakWE,4.5,0.582215
173396088,XUNTX2,BARROW_ALL,EUNICE_ALL,OPT,PeakWE,2.7,0.326747
173143859,XLQA3,PRSPERO2_ALL,EUNICE_ALL,OPT,PeakWE,10.0,0.090709
173103923,XENDUR,ANACACHO_ANA,ZIER_SLR_ALL,OPT,PeakWE,5.0,2.284893
173151024,XSUEZI,VIC_VICTORG5,ZIER_SLR_ALL,OBL,PeakWE,0.3,7.909609
173416738,XBRAV1,ECLIPSE_UN1,ZIER_SLR_ALL,OPT,PeakWE,0.9,1.816489
173168541,XMAGE,HI_LONE_ALL,BOOTLEG_UN1,OPT,PeakWE,18.0,2.386771
173396337,XUNTX2,FWLR_SLR_1,BOOTLEG_UN1,OPT,PeakWE,1.2,0.590142
173385876,XRESI2,WAYMARK_RN,BOOTLEG_UN1,OPT,PeakWE,113.3,0.0
173218116,XSNDA1,QUEEN_SL_RN,BOOTLEG_UN1,OBL,PeakWE,2.0,-1.038486
