SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,APR_2026,PeakWE,-13.424175
WRSBES_BESS1,APR_2026,PeakWE,-13.687718
SBEAN_BESS,APR_2026,PeakWE,-13.425156
REDBARN_RN,APR_2026,PeakWE,-10.521595
VISION_RN,APR_2026,PeakWE,0.818259
GRIF_TRL_RN,APR_2026,PeakWE,3.510727
VIC_VICTORG6,APR_2026,PeakWE,-1.808327
VIC_VICTORG5,APR_2026,PeakWE,-1.808327
MYR_ALL,APR_2026,PeakWE,-2.441497
CEDROHI_CHW1,APR_2026,PeakWE,2.074741
HAMI_BESS_RN,APR_2026,PeakWE,-10.368254
BRP_ZPT1_RN,APR_2026,PeakWE,-9.624670
N_MRD_ESR_RN,APR_2026,PeakWE,-4.415358
SPNC_SPNCE_5,APR_2026,PeakWE,0.406711
VORT_ALL_RN,APR_2026,PeakWE,2.909056
SPNC_SPNCE_4,APR_2026,PeakWE,0.406711
SAN_SANMIGG1,APR_2026,PeakWE,-1.275831
SC2SES_UNIT1,APR_2026,PeakWE,0.812311
MCLNSLR_RN,APR_2026,PeakWE,-12.251332
CBECII_CT7,APR_2026,PeakWE,-0.824804
WILDWIND_ALL,APR_2026,PeakWE,0.971512
TGCCS_ALL,APR_2026,PeakWE,0.922194
HB_NORTH,APR_2026,PeakWE,0.799208
COTPLNS_RN,APR_2026,PeakWE,7.487111
CISC_RN,APR_2026,PeakWE,-0.279399
CALAVER_JKS2,APR_2026,PeakWE,-7.090034
CALAVER_JKS1,APR_2026,PeakWE,-7.090034
CALAVER_JTD2,APR_2026,PeakWE,-7.344494
CALAVER_JTD1,APR_2026,PeakWE,-7.344494
HHGT_KENDAL,APR_2026,PeakWE,-4.431216
BRPMAGNO_RN,APR_2026,PeakWE,-33.925714
LASSO_GEN,APR_2026,PeakWE,-12.670163
LGE_LGE_GT2,APR_2026,PeakWE,-16.601659
LGE_LGE_GT1,APR_2026,PeakWE,-16.601659
RIPPEY_ALL,APR_2026,PeakWE,-0.205475
SANDHSYD6_7,APR_2026,PeakWE,-5.675013
BRP_PBL2_RN,APR_2026,PeakWE,-16.242831
DC_R,APR_2026,PeakWE,-2.754575
PAVO_ESS_ALL,APR_2026,PeakWE,-12.569644
DC_N,APR_2026,PeakWE,3.156069
PISG_RN_ALL,APR_2026,PeakWE,0.719344
ALGOD_ALL_RN,APR_2026,PeakWE,4.774247
DC_L,APR_2026,PeakWE,3.364169
TNSKA_CCU,APR_2026,PeakWE,1.034315
VANCOURT_RN,APR_2026,PeakWE,6.858383
LPCCS_UNIT1,APR_2026,PeakWE,1.115994
DC_E,APR_2026,PeakWE,0.503412
LPCCS_UNIT2,APR_2026,PeakWE,1.115994
NCARBID_PUN1,APR_2026,PeakWE,-5.064706
NCARBID_PUN2,APR_2026,PeakWE,-5.064483
CN_BRKS_UNT1,APR_2026,PeakWE,7.522919
QALSW_ALL,APR_2026,PeakWE,-12.422555
LZ_AEN,APR_2026,PeakWE,-5.911216
WAP_WAPGT_1,APR_2026,PeakWE,-2.493318
TXCTY_CTB,APR_2026,PeakWE,-13.622826
TXCTY_CTC,APR_2026,PeakWE,-13.622826
TORR_ALL,APR_2026,PeakWE,7.723618
TXCTY_CTA,APR_2026,PeakWE,-13.622826
REDFISH_ALL,APR_2026,PeakWE,7.638784
PANDA_T2_ST1,APR_2026,PeakWE,-0.505642
SWT_BESS_RN,APR_2026,PeakWE,-2.997785
DECKER_GT,APR_2026,PeakWE,-5.664207
OBERON_U1,APR_2026,PeakWE,-13.157327
MISAE_GEN_RN,APR_2026,PeakWE,6.187067
N_AL_BESS_RN,APR_2026,PeakWE,-5.174877
ANEM_ESS_RN,APR_2026,PeakWE,5.854845
ZIER_SLR_ALL,APR_2026,PeakWE,-9.571261
RSK_RN,APR_2026,PeakWE,-3.203969
BAYC_BESS_RN,APR_2026,PeakWE,-3.442189
WHCCS2_4,APR_2026,PeakWE,1.061932
RN_ECEC_HOLT,APR_2026,PeakWE,-14.371597
BOSQ_BSQS_12,APR_2026,PeakWE,1.170183
FLTCK_SSI,APR_2026,PeakWE,-0.630228
NED_NEDIN_G1,APR_2026,PeakWE,-4.603326
LONEWOLF_ALL,APR_2026,PeakWE,-0.686609
NED_NEDIN_G2,APR_2026,PeakWE,-4.603326
NED_NEDIN_G3,APR_2026,PeakWE,-3.961805
BRISCOE_WIND,APR_2026,PeakWE,7.174904
ELSAUZ_ALL,APR_2026,PeakWE,9.007181
BOSQ_BSQSU_5,APR_2026,PeakWE,1.170183
RTLSNAKE_BT,APR_2026,PeakWE,-13.495118
COTTON_PAP2,APR_2026,PeakWE,4.038784
JUNCTION_RN,APR_2026,PeakWE,-6.195838
HI_LONEB_RN1,APR_2026,PeakWE,-9.420064
TGS_GT01,APR_2026,PeakWE,-2.603982
CRWN_SLR_UN1,APR_2026,PeakWE,1.241929
FERGCC_GT2_3,APR_2026,PeakWE,-4.939996
MLSES_UNIT1,APR_2026,PeakWE,1.008793
MLSES_UNIT2,APR_2026,PeakWE,1.008793
MLSES_UNIT3,APR_2026,PeakWE,1.008793
ROW_ALL,APR_2026,PeakWE,-1.114416
MWEC_G1,APR_2026,PeakWE,-1.307066
E_BLACK_RN,APR_2026,PeakWE,-5.290552
CHE_PUN2,APR_2026,PeakWE,-3.096379
CHE_PUN1,APR_2026,PeakWE,-3.096379
THW_1_CCU,APR_2026,PeakWE,-2.218570
BAKE_RN_ALL,APR_2026,PeakWE,0.802327
JC_BAT_RN,APR_2026,PeakWE,-4.938815
HB_PAN,APR_2026,PeakWE,6.961713
BOSQ_BSQS_34,APR_2026,PeakWE,1.076984
GBY_GT,APR_2026,PeakWE,-3.698402
FLCNS_UNIT3,APR_2026,PeakWE,-5.805471
FENCESLR_ALL,APR_2026,PeakWE,0.700525
FLCNS_UNIT2,APR_2026,PeakWE,-5.805471
FLCNS_UNIT1,APR_2026,PeakWE,-5.805471
TOPAZ_ALL,APR_2026,PeakWE,-13.792291
CORAZON_RN,APR_2026,PeakWE,7.723618
LGW_UNIT_ALL,APR_2026,PeakWE,-0.860899
GWEC_G1,APR_2026,PeakWE,-3.502372
PANDA_S_ST1,APR_2026,PeakWE,0.340459
WHCCS_CT1_ST,APR_2026,PeakWE,1.062850
BOCO_ESS_RN,APR_2026,PeakWE,-1.348884
FRNYPP_1_CCU,APR_2026,PeakWE,-0.110907
TGW_T1_T2,APR_2026,PeakWE,7.369542
COYOTSPR_RN,APR_2026,PeakWE,-13.525118
SAMSON_ALL,APR_2026,PeakWE,0.479513
