DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,160.0,160.0,Hard Constraint,SARYYUC8,APR_2026,Off-peak,83.3
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,165.6,165.6,Hard Constraint,SARYYUC8,JAN_2026,Off-peak,15.37
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,157.2,157.2,Hard Constraint,SARYYUC8,JUN_2026,Off-peak,108.5
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,161.6,161.6,Hard Constraint,SARYYUC8,MAR_2026,Off-peak,83.67
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,158.8,158.8,Hard Constraint,SARYYUC8,MAY_2026,Off-peak,81.1
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,160.0,160.0,Hard Constraint,SARYYUC8,APR_2026,PeakWD,0.42
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,162.8,162.8,Hard Constraint,SARYYUC8,FEB_2026,PeakWD,30.94
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,161.6,161.6,Hard Constraint,SARYYUC8,MAR_2026,PeakWD,100.64
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,158.8,158.8,Hard Constraint,SARYYUC8,MAY_2026,PeakWD,127.49
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,160.0,160.0,Hard Constraint,SARYYUC8,APR_2026,PeakWE,22.1
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,161.6,161.6,Hard Constraint,SARYYUC8,MAR_2026,PeakWE,15.96
1001 AROYA_8 1074 WINKSS_8 1,Line,From - To,158.8,158.8,Hard Constraint,SARYYUC8,MAY_2026,PeakWE,23.54
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-90.4,90.4,Hard Constraint,DWLFMOS5,APR_2026,Off-peak,520.84
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,90.4,90.4,Hard Constraint,SMOSRLK8,APR_2026,Off-peak,88.34
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-95.6,95.6,Hard Constraint,DWLFMOS5,FEB_2026,Off-peak,350.49
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,95.6,95.6,Hard Constraint,SMOSRLK8,FEB_2026,Off-peak,98.31
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-100.0,100.0,Hard Constraint,DWLFMOS5,JAN_2026,Off-peak,403.87
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,100.0,100.0,Hard Constraint,SMOSRLK8,JAN_2026,Off-peak,144.45
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-85.2,85.2,Hard Constraint,DWLFMOS5,JUN_2026,Off-peak,1447.73
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,85.2,85.2,Hard Constraint,SMOSRLK8,JUN_2026,Off-peak,203.39
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-93.2,93.2,Hard Constraint,DWLFMOS5,MAR_2026,Off-peak,1809.05
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-88.0,88.0,Hard Constraint,DWLFMOS5,MAY_2026,Off-peak,1896
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,88.0,88.0,Hard Constraint,SMOSRLK8,MAY_2026,Off-peak,455.33
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-90.4,90.4,Hard Constraint,DWLFMOS5,APR_2026,PeakWD,465.16
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,90.4,90.4,Hard Constraint,SMOSRLK8,APR_2026,PeakWD,272.62
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-95.6,95.6,Hard Constraint,DWLFMOS5,FEB_2026,PeakWD,321.4
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,95.6,95.6,Hard Constraint,SMOSRLK8,FEB_2026,PeakWD,303.89
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-100.0,100.0,Hard Constraint,DWLFMOS5,JAN_2026,PeakWD,112.87
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,100.0,100.0,Hard Constraint,SMOSRLK8,JAN_2026,PeakWD,56.03
1013 WOLFSS_8 11292 PENWELL 1,Line,To - From,-85.2,85.2,Hard Constraint,DWLFMOS5,JUN_2026,PeakWD,454.47
1013 WOLFSS_8 11292 PENWELL 1,Line,From - To,85.2,85.2,Hard Constraint,SMOSRLK8,JUN_2026,PeakWD,7.6
