CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
156380072,XSHEL2,HB_SOUTH,LZ_CPS,OBL,PeakWE,50.0,4.500424
156380073,XSHEL2,HB_SOUTH,LZ_CPS,OBL,PeakWE,28.0,4.500424
156391761,XCPSE2,LAMESASLR_G,LZ_CPS,OPT,PeakWE,1.7,3.829277
156391846,XCPSE2,LAMESASLR_G,LZ_CPS,OPT,PeakWE,1.7,3.829277
156391749,XCPSE2,SWEETWN3_3,LZ_CPS,OPT,PeakWE,6.3,5.272872
156391834,XCPSE2,SWEETWN3_3,LZ_CPS,OPT,PeakWE,3.8,5.272872
156411250,XQUATT,LGD_LANGFORD,GOA_GOATWIND,OBL,PeakWE,0.1,-4.241472
156383788,XEDIS2,NBOHR_RN,GOA_GOATWIND,OPT,PeakWE,1.8,1.496607
156383789,XEDIS2,NBOHR_RN,GOA_GOATWIND,OPT,PeakWE,2.7,1.496607
156383962,XEDIS2,RSK_RN,GOA_GOATWIND,OPT,PeakWE,1.8,1.496607
156383963,XEDIS2,RSK_RN,GOA_GOATWIND,OPT,PeakWE,2.7,1.496607
156411603,XQUATT,RSK_RN,GOA_GOATWIND,OPT,PeakWE,0.5,1.496607
156411613,XQUATT,ELB_ELBCREEK,GOA_GOATWIND,OPT,PeakWE,0.4,2.72933
156431251,XPEAK2,NUE_NUECESG7,OXY_OXY_CCG1,OPT,PeakWE,2.0,0.996702
156431217,XPEAK2,CCEC_GT1,OXY_OXY_CCG1,OPT,PeakWE,4.9,0.84
156488864,XMOUN2,VENADO_ALL,BRP_LOP1_RN,OPT,PeakWE,0.7,0.265978
156411386,XQUATT,SOLARA_UNIT1,MGSES_CT456,OBL,PeakWE,0.2,3.23194
156411129,XQUATT,CALLAHA_WND1,MGSES_CT456,OBL,PeakWE,0.5,3.695395
156397337,XNRGP2,BYU_BYU_1,MIRAGE_G1,OPT,PeakWE,5.0,0.017119
156412188,XQUATT,BYU_BYU_1,MIRAGE_G1,OPT,PeakWE,10.0,0.017119
156438042,XDYNE3,BYU_BYU_1,MIRAGE_G1,OPT,PeakWE,1.0,0.018
156471483,XCRIMS,TTWEC_G1,CALLAHA_WND1,OPT,PeakWE,4.0,0.957826
