CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
153586740,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,PeakWE,197.8,1.740585
153586741,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,PeakWE,197.8,1.740585
153586742,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,PeakWE,291.3,1.741065
153586743,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,PeakWE,56.2,1.588078
153586744,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,PeakWE,54.3,1.588078
153586745,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,PeakWE,59.4,1.588078
153586655,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWE,164.0,1.316627
153586657,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWE,184.0,1.316627
153586658,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,PeakWE,560.0,1.310935
153586659,XCPSE,CALAVER_OWS1,LZ_CPS,OPT,PeakWE,170.0,0.255073
153586660,XCPSE,CALAVER_OWS2,LZ_CPS,OPT,PeakWE,178.0,0.255073
153586661,XCPSE,STP_STP_G1,LZ_CPS,OPT,PeakWE,370.4,4.795657
153586662,XCPSE,STP_STP_G2,LZ_CPS,OPT,PeakWE,366.8,4.795657
153586521,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWE,20.0,0.198591
153586522,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWE,20.0,0.198591
153586523,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,PeakWE,301.5,1.197742
153586524,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,PeakWE,301.5,1.197742
153586525,XAEN,STP_STP_G1,LZ_AEN,OPT,PeakWE,211.7,4.162384
153586706,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,PeakWE,9.5,0.528531
153586707,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,PeakWE,10.5,0.528531
153586576,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWE,35.0,8.761092
153586577,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,PeakWE,35.0,8.761092
153586578,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWE,35.0,8.761092
153586579,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,PeakWE,20.0,9.999557
153586580,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,PeakWE,38.0,9.999557
153586594,XBTU,ATK_ATKINSG7,LZ_NORTH,OPT,PeakWE,3.0,0.714893
153586595,XBTU,DANSBY_ALL,LZ_NORTH,OPT,PeakWE,15.0,0.703138
153586755,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,PeakWE,33.0,6.769873
153586756,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,PeakWE,33.0,6.769873
153586757,XSTEC,FAL_FALCONG1,LZ_SOUTH,OPT,PeakWE,10.5,6.79653
153586758,XSTEC,FAL_FALCONG2,LZ_SOUTH,OPT,PeakWE,10.5,6.79653
153586759,XSTEC,FAL_FALCONG3,LZ_SOUTH,OPT,PeakWE,10.5,6.79653
153586760,XSTEC,NED_NEDIN_G1,LZ_SOUTH,OPT,PeakWE,218.5,8.760007
153586762,XSTEC,NED_NEDIN_G3,LZ_SOUTH,OPT,PeakWE,250.0,9.084505
153586763,XSTEC,SAN_SANMIGG1,LZ_SOUTH,OPT,PeakWE,195.5,2.537197
153586766,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWE,15.7,0.753066
153586767,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWE,15.7,0.753066
153585917,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,164.0,0.312594
153585918,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,Off-peak,164.0,0.312594
153585919,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,184.0,0.312594
153585921,XCPSE,STP_STP_G1,LZ_CPS,OPT,Off-peak,370.4,3.295174
153585922,XCPSE,STP_STP_G2,LZ_CPS,OPT,Off-peak,366.8,3.295174
153585814,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,20.0,0.12833
153585815,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,20.0,0.12833
153585816,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,Off-peak,301.5,0.543298
153585817,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,Off-peak,301.5,0.543298
153585818,XAEN,STP_STP_G1,LZ_AEN,OPT,Off-peak,211.7,2.384996
153585819,XAEN,STP_STP_G2,LZ_AEN,OPT,Off-peak,209.6,2.384996
153585947,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,Off-peak,7.0,0.369893
153585948,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,Off-peak,8.0,0.369893
153585855,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,7.052211
153585856,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,Off-peak,35.0,7.052211
153585857,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,7.052211
153585858,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,Off-peak,20.0,6.772115
153585859,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,Off-peak,38.0,6.772115
153586070,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,Off-peak,33.0,7.823213
153586072,XSTEC,FAL_FALCONG1,LZ_SOUTH,OPT,Off-peak,10.5,4.608842
153586073,XSTEC,FAL_FALCONG2,LZ_SOUTH,OPT,Off-peak,10.5,4.608842
153586074,XSTEC,FAL_FALCONG3,LZ_SOUTH,OPT,Off-peak,10.5,4.608842
153586075,XSTEC,NED_NEDIN_G1,LZ_SOUTH,OPT,Off-peak,218.5,7.06608
153586076,XSTEC,NED_NEDIN_G2,LZ_SOUTH,OPT,Off-peak,218.5,7.06608
153586077,XSTEC,NED_NEDIN_G3,LZ_SOUTH,OPT,Off-peak,250.0,7.197523
153586078,XSTEC,SAN_SANMIGG1,LZ_SOUTH,OPT,Off-peak,195.5,1.498298
153586105,XETEC,DENISON_G1_2,LZ_NORTH,OPT,Off-peak,15.7,0.550997
153586106,XETEC,DENISON_G1_2,LZ_NORTH,OPT,Off-peak,15.7,0.550997
153587352,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,2.3,1.231653
153587353,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,2.7,1.231653
153587354,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,4.7,1.158151
153587356,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,5.0,1.158151
153587357,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,PeakWD,197.8,1.94938
