SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,OCT_2026,PeakWE,-15.285180
WRSBES_BESS1,OCT_2026,PeakWE,-15.396198
SBEAN_BESS,OCT_2026,PeakWE,-15.162167
GRIF_TRL_RN,OCT_2026,PeakWE,3.499590
CEDROHI_CHW1,OCT_2026,PeakWE,6.913172
REDBARN_RN,OCT_2026,PeakWE,-12.882196
VIC_VICTORG6,OCT_2026,PeakWE,-5.075032
VIC_VICTORG5,OCT_2026,PeakWE,-5.075032
VISION_RN,OCT_2026,PeakWE,0.827532
MYR_ALL,OCT_2026,PeakWE,-5.918166
HAMI_BESS_RN,OCT_2026,PeakWE,-14.657992
BRP_ZPT1_RN,OCT_2026,PeakWE,-11.580617
N_MRD_ESR_RN,OCT_2026,PeakWE,1.865238
SPNC_SPNCE_5,OCT_2026,PeakWE,1.413883
VORT_ALL_RN,OCT_2026,PeakWE,3.135563
SPNC_SPNCE_4,OCT_2026,PeakWE,1.413883
SAN_SANMIGG1,OCT_2026,PeakWE,-3.058420
SC2SES_UNIT1,OCT_2026,PeakWE,1.351256
MCLNSLR_RN,OCT_2026,PeakWE,-14.674676
CBECII_CT7,OCT_2026,PeakWE,-0.834705
WILDWIND_ALL,OCT_2026,PeakWE,1.722772
TGCCS_ALL,OCT_2026,PeakWE,1.487625
HB_NORTH,OCT_2026,PeakWE,1.214968
COTPLNS_RN,OCT_2026,PeakWE,5.618512
CISC_RN,OCT_2026,PeakWE,-0.727277
CALAVER_JKS2,OCT_2026,PeakWE,-3.477886
CALAVER_JKS1,OCT_2026,PeakWE,-3.477886
CALAVER_JTD2,OCT_2026,PeakWE,-7.010407
CALAVER_JTD1,OCT_2026,PeakWE,-7.010407
HHGT_KENDAL,OCT_2026,PeakWE,-3.795032
BRPMAGNO_RN,OCT_2026,PeakWE,-27.926627
LASSO_GEN,OCT_2026,PeakWE,-14.931286
LGE_LGE_GT2,OCT_2026,PeakWE,-4.035925
LGE_LGE_GT1,OCT_2026,PeakWE,-4.035925
RIPPEY_ALL,OCT_2026,PeakWE,0.410549
SANDHSYD6_7,OCT_2026,PeakWE,-6.456105
BRP_PBL2_RN,OCT_2026,PeakWE,-18.497041
DC_R,OCT_2026,PeakWE,0.900869
PAVO_ESS_ALL,OCT_2026,PeakWE,-15.429009
DC_N,OCT_2026,PeakWE,3.598581
PISG_RN_ALL,OCT_2026,PeakWE,0.601928
ALGOD_ALL_RN,OCT_2026,PeakWE,1.663445
DC_L,OCT_2026,PeakWE,11.724697
TNSKA_CCU,OCT_2026,PeakWE,2.154054
VANCOURT_RN,OCT_2026,PeakWE,3.909182
LPCCS_UNIT1,OCT_2026,PeakWE,2.114968
DC_E,OCT_2026,PeakWE,1.285833
LPCCS_UNIT2,OCT_2026,PeakWE,2.114968
NCARBID_PUN1,OCT_2026,PeakWE,-4.399097
NCARBID_PUN2,OCT_2026,PeakWE,-4.398457
CN_BRKS_UNT1,OCT_2026,PeakWE,5.538507
QALSW_ALL,OCT_2026,PeakWE,-14.952143
LZ_AEN,OCT_2026,PeakWE,-6.608543
WAP_WAPGT_1,OCT_2026,PeakWE,-3.960355
TXCTY_CTB,OCT_2026,PeakWE,-15.224693
TXCTY_CTC,OCT_2026,PeakWE,-15.224693
TORR_ALL,OCT_2026,PeakWE,9.385685
TXCTY_CTA,OCT_2026,PeakWE,-15.224693
REDFISH_ALL,OCT_2026,PeakWE,5.680601
PANDA_T2_ST1,OCT_2026,PeakWE,-1.387975
SWT_BESS_RN,OCT_2026,PeakWE,-3.523786
DECKER_GT,OCT_2026,PeakWE,-6.532386
OBERON_U1,OCT_2026,PeakWE,-14.522092
MISAE_GEN_RN,OCT_2026,PeakWE,5.267100
N_AL_BESS_RN,OCT_2026,PeakWE,0.623959
ANEM_ESS_RN,OCT_2026,PeakWE,6.536015
ZIER_SLR_ALL,OCT_2026,PeakWE,-13.478688
RSK_RN,OCT_2026,PeakWE,-9.764436
BAYC_BESS_RN,OCT_2026,PeakWE,-34.357080
WHCCS2_4,OCT_2026,PeakWE,1.856374
RN_ECEC_HOLT,OCT_2026,PeakWE,-15.886393
BOSQ_BSQS_12,OCT_2026,PeakWE,0.394319
FLTCK_SSI,OCT_2026,PeakWE,-1.720498
NED_NEDIN_G1,OCT_2026,PeakWE,-0.536750
LONEWOLF_ALL,OCT_2026,PeakWE,2.425438
NED_NEDIN_G2,OCT_2026,PeakWE,-0.536750
NED_NEDIN_G3,OCT_2026,PeakWE,0.593250
BRISCOE_WIND,OCT_2026,PeakWE,5.497649
ELSAUZ_ALL,OCT_2026,PeakWE,3.917979
BOSQ_BSQSU_5,OCT_2026,PeakWE,0.394319
RTLSNAKE_BT,OCT_2026,PeakWE,-15.185897
COTTON_PAP2,OCT_2026,PeakWE,0.947888
JUNCTION_RN,OCT_2026,PeakWE,-11.085885
HI_LONEB_RN1,OCT_2026,PeakWE,-10.549101
