CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
175349682,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWE,40.0,0.378932
175349683,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWE,40.0,0.378932
175349684,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,PeakWE,304.0,3.326244
175349685,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,PeakWE,304.0,3.326244
175349686,XAEN,STP_STP_G1,LZ_AEN,OPT,PeakWE,211.7,6.201786
175349687,XAEN,STP_STP_G2,LZ_AEN,OPT,PeakWE,209.6,6.201786
175349708,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWE,34.7,4.515289
175349709,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,PeakWE,34.7,4.515289
175349710,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWE,34.7,4.515289
175349711,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,PeakWE,19.8,7.896323
175349712,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,PeakWE,39.6,7.896323
175349722,XBTU,ATK_ATKINSG7,LZ_NORTH,OPT,PeakWE,3.1,1.533038
175349723,XBTU,DANSBY_ALL,LZ_NORTH,OPT,PeakWE,15.0,1.517178
175349759,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWE,139.9,0.442163
175349760,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,PeakWE,141.3,0.442163
175349761,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWE,159.9,0.442163
175349762,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,PeakWE,560.0,0.540082
175349763,XCPSE,CALAVER_OWS2,LZ_CPS,OPT,PeakWE,17.4,0.28
175349764,XCPSE,STP_STP_G1,LZ_CPS,OPT,PeakWE,370.4,5.817946
175349765,XCPSE,STP_STP_G2,LZ_CPS,OPT,PeakWE,366.8,5.817946
175349769,XGAR,OLIN_OLING_3,LZ_NORTH,OPT,PeakWE,106.9,0.764809
175349778,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,PeakWE,11.0,0.771912
175349779,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,PeakWE,12.0,0.771912
175349831,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,PeakWE,179.5,3.388387
175349832,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,PeakWE,179.5,3.388387
175349833,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,PeakWE,264.5,3.386504
175349834,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,PeakWE,55.0,3.494511
175349835,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,PeakWE,52.6,3.494511
175349836,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,PeakWE,57.6,3.494511
175349906,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,PeakWE,33.0,4.950723
175349907,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,PeakWE,33.0,4.950723
175349908,XSTEC,FAL_FALCONG1,LZ_SOUTH,OPT,PeakWE,10.5,4.688407
175349909,XSTEC,FAL_FALCONG2,LZ_SOUTH,OPT,PeakWE,10.5,4.688407
175349910,XSTEC,FAL_FALCONG3,LZ_SOUTH,OPT,PeakWE,10.5,4.688407
175349911,XSTEC,NED_NEDIN_G1,LZ_SOUTH,OPT,PeakWE,239.0,4.878894
175349912,XSTEC,NED_NEDIN_G2,LZ_SOUTH,OPT,PeakWE,239.0,4.598894
175349913,XSTEC,NED_NEDIN_G3,LZ_SOUTH,OPT,PeakWE,247.8,4.725168
175349914,XSTEC,SAN_SANMIGG1,LZ_SOUTH,OPT,PeakWE,195.5,3.513949
175349923,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWE,15.7,1.356148
175349924,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWE,15.7,1.356148
175358764,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,25.0,0.152427
175358765,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,25.0,0.152427
175358766,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,Off-peak,304.0,0.963808
175358767,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,Off-peak,304.0,0.963808
175358768,XAEN,STP_STP_G1,LZ_AEN,OPT,Off-peak,211.7,2.735013
175358769,XAEN,STP_STP_G2,LZ_AEN,OPT,Off-peak,209.6,2.735013
175358781,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,34.7,3.732665
175358782,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,Off-peak,34.7,3.732665
175358783,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,34.7,3.732665
