CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
188303427,XCWPEI,LPCCS_UNIT1,VLSES_UNIT3,OPT,Off-peak,6.5,0.063932
188335320,XDCND2,SHANNONW_RN,WHTTAIL_WR1,OBL,Off-peak,5.6,-0.178274
188242796,XBJEN,SHEEPCRK_1,PANDA_S_ST1,OPT,Off-peak,0.5,1.656672
188276523,XEDIS1,SHEEPCRK_1,PANDA_S_ST1,OPT,Off-peak,2.0,1.656672
188276524,XEDIS1,SHEEPCRK_1,PANDA_S_ST1,OPT,Off-peak,2.0,1.656672
188276525,XEDIS1,SHEEPCRK_1,PANDA_S_ST1,OPT,Off-peak,3.0,1.656672
188304105,XINTER,ESTONIAN_ALL,PANDA_S_ST1,OPT,Off-peak,0.5,0.246133
188473191,XENERZ,SHANNONW_RN,PANDA_S_ST1,OPT,Off-peak,0.3,2.181143
188304120,XINTER,TNSKA_CCU,PANDA_S_ST1,OPT,Off-peak,0.5,0.284985
188298548,XSARA3,LZ_RAYBN,PANDA_S_ST1,OPT,Off-peak,10.0,0.274972
188335472,XDCND2,PAVLOV_BT_RN,PALACIOS_RN,OBL,Off-peak,1.1,-0.681573
188321284,XPEAK1,DC2SES_ALL,WHCCS_CT1_ST,OBL,Off-peak,4.0,-0.28977
188469120,XATVU1,DC2SES_ALL,WHCCS_CT1_ST,OPT,Off-peak,5.0,0.181319
188273134,XMEA1,DOWGEN_PUN1,JAR_RN,OPT,Off-peak,5.7,0.497915
188321346,XPEAK1,BRPANGLE_RN,DOWGEN_PUN3,OBL,Off-peak,10.0,-0.774831
188266395,XMEA,LV4_UNIT_1,LV3_RN,OPT,Off-peak,25.7,0.220272
188335335,XDCND2,MIRASOLE_GEN,LV3_RN,OBL,Off-peak,6.7,-0.198188
188318089,XSNDA1,RELOJ_ALL,LV3_RN,OPT,Off-peak,2.0,1.280093
188278566,XEDIS2,WHITE_PT_UN1,LGE_LGE_GT1,OPT,Off-peak,0.6,0.310736
188278567,XEDIS2,WHITE_PT_UN1,LGE_LGE_GT1,OPT,Off-peak,0.9,0.310736
188278568,XEDIS2,WHITE_PT_UN1,LGE_LGE_GT1,OPT,Off-peak,1.2,0.310736
188278569,XEDIS2,WHITE_PT_UN1,LGE_LGE_GT1,OPT,Off-peak,0.9,0.310736
188243409,XBJEN,COTTON_PAP2,LGE_LGE_GT1,OPT,Off-peak,0.4,0.396756
188306592,XALTU2,COTTON_PAP2,LGE_LGE_GT1,OPT,Off-peak,1.2,0.396756
188473144,XENERZ,INGLCO_PUN3,LGE_LGE_GT1,OPT,Off-peak,3.0,0.043157
188460195,XRESI1,ATK_ATKINSG7,BLUEJAY_RN,OPT,Off-peak,10.0,0.085397
188445859,XSCEN2,TNP_TNP_O_2,BLUEJAY_RN,OPT,Off-peak,10.4,0.393269
188547758,XUSRM2,EBELLS_UNIT1,BLUEJAY_RN,OPT,Off-peak,1.3,0.432036
188306945,XALTU2,DANSBY_ALL,BLUEJAY_RN,OPT,Off-peak,0.6,0.11
188460159,XRESI1,DANSBY_ALL,BLUEJAY_RN,OPT,Off-peak,3.8,0.11
188278044,XEDIS2,PHOEBE_ALL,PB2SES_CT5,OBL,Off-peak,0.6,4.415412
188278045,XEDIS2,PHOEBE_ALL,PB2SES_CT5,OBL,Off-peak,0.9,4.415412
188278046,XEDIS2,PHOEBE_ALL,PB2SES_CT5,OBL,Off-peak,1.2,4.415412
188278047,XEDIS2,PHOEBE_ALL,PB2SES_CT5,OBL,Off-peak,0.9,4.415412
188317483,XMUDD,HB_NORTH,FRNYPP_1_CCU,OPT,Off-peak,4.0,0.335031
188398624,XCWPE1,HB_NORTH,FRNYPP_1_CCU,OPT,Off-peak,6.0,0.335031
188335231,XDCND2,HB_NORTH,FRNYPP_1_CCU,OBL,Off-peak,7.1,0.08886
