CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
199425139,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,0.871123
199425140,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.5,0.871123
199425141,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,0.871123
199425142,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.5,0.871123
199425143,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,PeakWD,302.0,7.034826
199425144,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,PeakWD,299.5,7.034826
199425145,XAEN,STP_STP_G1,LZ_AEN,OPT,PeakWD,206.9,11.86523
199425146,XAEN,STP_STP_G2,LZ_AEN,OPT,PeakWD,204.8,11.86523
199425216,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,9.556548
199425217,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,PeakWD,35.0,9.556548
199425218,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,9.556548
199425219,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,PeakWD,20.0,11.765249
199425220,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,PeakWD,38.0,11.765249
199425262,XBTU,ATK_ATKINSG7,LZ_NORTH,OPT,PeakWD,15.0,3.309781
199425263,XBTU,DANSBY_ALL,LZ_NORTH,OPT,PeakWD,100.0,3.425488
199425328,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWD,178.0,3.11988
199425329,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,PeakWD,178.0,3.11988
199425330,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWD,184.0,3.11988
199425331,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,PeakWD,560.0,2.803684
199425332,XCPSE,CALAVER_OWS2,LZ_CPS,OPT,PeakWD,150.0,0.505789
199425333,XCPSE,STP_STP_G1,LZ_CPS,OPT,PeakWD,362.0,9.587511
199425334,XCPSE,STP_STP_G2,LZ_CPS,OPT,PeakWD,358.4,9.587511
199425347,XGAR,OLIN_OLING_2,LZ_NORTH,OPT,PeakWD,107.0,1.105191
199425348,XGAR,OLIN_OLING_3,LZ_NORTH,OPT,PeakWD,146.0,1.105191
199425380,XGEUS,STEA_STEAM_1,LZ_NORTH,OPT,PeakWD,8.8,1.581787
199425381,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,PeakWD,9.0,1.144936
199425382,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,PeakWD,25.2,1.144936
199427053,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,2.0,1.816598
199427054,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,2.0,1.816598
199427055,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,5.1,1.446975
199427056,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,5.1,1.446975
199427057,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,5.6,1.446975
199427058,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,PeakWD,198.1,6.477989
199427059,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,PeakWD,196.5,6.477989
199427060,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,PeakWD,286.7,6.474053
199427061,XLCRA,GID_GIDEONG1,LZ_LCRA,OPT,PeakWD,50.0,3.552318
199427062,XLCRA,GID_GIDEONG2,LZ_LCRA,OPT,PeakWD,49.0,3.552318
199427063,XLCRA,GID_GIDEONG3,LZ_LCRA,OPT,PeakWD,128.0,5.0
199427064,XLCRA,INKS_INKS_G1,LZ_LCRA,OPT,PeakWD,9.1,2.179971
199427065,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,PeakWD,53.7,5.983507
199427066,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,PeakWD,53.7,5.983507
199427067,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,PeakWD,59.4,5.983507
199427068,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,13.6,0.869346
199427069,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,13.0,0.869346
199427070,XLCRA,MAR_MARSFOG1,LZ_LCRA,OPT,PeakWD,23.6,1.360748
199427071,XLCRA,MAR_MARSFOG2,LZ_LCRA,OPT,PeakWD,23.6,1.340748
199427072,XLCRA,MAR_MARSFOG3,LZ_LCRA,OPT,PeakWD,19.0,1.340748
199427073,XLCRA,WIR_WIRTZ_G1,LZ_LCRA,OPT,PeakWD,9.0,1.157192
199427074,XLCRA,WIR_WIRTZ_G2,LZ_LCRA,OPT,PeakWD,9.0,1.157192
199427088,XRBEC,DENISON_G1_2,LZ_RAYBN,OPT,PeakWD,24.3,3.27106
199427089,XRBEC,DENISON_G1_2,LZ_RAYBN,OPT,PeakWD,24.3,3.27106
199427101,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,PeakWD,33.0,6.73066
199427102,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,PeakWD,33.0,6.73066
199427103,XSTEC,FAL_FALCONG1,LZ_SOUTH,OPT,PeakWD,10.5,9.31492
199427104,XSTEC,FAL_FALCONG2,LZ_SOUTH,OPT,PeakWD,10.5,9.31492
199427105,XSTEC,FAL_FALCONG3,LZ_SOUTH,OPT,PeakWD,10.5,9.31492
199427106,XSTEC,NED_NEDIN_G1,LZ_SOUTH,OPT,PeakWD,250.0,9.69192
199427107,XSTEC,NED_NEDIN_G2,LZ_SOUTH,OPT,PeakWD,250.0,9.69192
199427108,XSTEC,NED_NEDIN_G3,LZ_SOUTH,OPT,PeakWD,250.0,10.200402
199427109,XSTEC,SAN_SANMIGG1,LZ_SOUTH,OPT,PeakWD,195.5,5.883839
199427112,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWD,15.7,1.574921
199427113,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWD,15.7,1.574921
199435188,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,30.2,0.121808
199435189,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,30.2,0.121808
199435190,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,Off-peak,302.0,0.755237
199435191,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,Off-peak,299.5,0.755237
199435192,XAEN,STP_STP_G1,LZ_AEN,OPT,Off-peak,206.9,1.616791
