CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
199427649,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,29.8,0.110997
199427650,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,29.8,0.110997
199427651,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,Off-peak,304.0,0.93723
199427652,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,Off-peak,304.0,0.93723
199427653,XAEN,STP_STP_G1,LZ_AEN,OPT,Off-peak,211.7,2.156708
199427654,XAEN,STP_STP_G2,LZ_AEN,OPT,Off-peak,209.6,2.156708
199427682,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,27.0,0.603903
199427683,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,27.0,0.603903
199427684,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,PeakWD,304.0,4.629753
199427685,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,PeakWD,304.0,4.629753
199427686,XAEN,STP_STP_G1,LZ_AEN,OPT,PeakWD,211.7,7.932157
199427687,XAEN,STP_STP_G2,LZ_AEN,OPT,PeakWD,209.6,7.932157
199427698,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,4.830143
199427699,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,Off-peak,35.0,4.830143
199427700,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,4.830143
199427701,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,Off-peak,20.0,6.086062
199427702,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,Off-peak,40.0,6.086062
199427736,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,7.114554
199427737,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,PeakWD,35.0,7.114554
199427738,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,7.114554
199427739,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,PeakWD,20.0,9.91516
199427740,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,PeakWD,40.0,9.91516
199427760,XBTU,ATK_ATKINSG7,LZ_NORTH,OPT,PeakWD,12.0,2.704551
199427761,XBTU,DANSBY_ALL,LZ_NORTH,OPT,PeakWD,66.0,2.8536
199427762,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,178.0,0.534795
199427763,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,Off-peak,178.0,0.534795
199427764,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,184.0,0.534795
199427765,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,Off-peak,560.0,0.715873
199427766,XCPSE,STP_STP_G1,LZ_CPS,OPT,Off-peak,370.4,3.205745
199427767,XCPSE,STP_STP_G2,LZ_CPS,OPT,Off-peak,366.8,3.205745
199427774,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,Off-peak,2.0,0.880377
199427775,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,Off-peak,8.0,0.880377
199427804,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWD,178.0,1.627142
199427805,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,PeakWD,178.0,1.627142
199427806,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWD,184.0,1.627142
199427807,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,PeakWD,560.0,1.788641
199427808,XCPSE,CALAVER_OWS2,LZ_CPS,OPT,PeakWD,150.0,0.29925
199427809,XCPSE,STP_STP_G1,LZ_CPS,OPT,PeakWD,370.4,7.570479
199427810,XCPSE,STP_STP_G2,LZ_CPS,OPT,PeakWD,366.8,7.570479
199427819,XGAR,OLIN_OLING_2,LZ_NORTH,OPT,PeakWD,83.0,1.397647
199427820,XGAR,OLIN_OLING_3,LZ_NORTH,OPT,PeakWD,95.0,1.397647
199427833,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,PeakWD,13.0,1.553523
199427834,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,PeakWD,14.0,1.553523
199427838,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,Off-peak,199.4,1.10077
199427839,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,Off-peak,199.4,1.10077
199427840,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,Off-peak,293.9,1.100437
199427841,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,Off-peak,57.8,0.971256
199427842,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,Off-peak,55.3,0.971256
199427843,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,Off-peak,60.6,0.971256
199427925,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,Off-peak,33.0,1.55084
199427926,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,Off-peak,33.0,1.55084
199427927,XSTEC,FAL_FALCONG1,LZ_SOUTH,OPT,Off-peak,10.5,9.405056
199427928,XSTEC,FAL_FALCONG2,LZ_SOUTH,OPT,Off-peak,10.5,9.405056
199427929,XSTEC,FAL_FALCONG3,LZ_SOUTH,OPT,Off-peak,10.5,9.405056
199427930,XSTEC,NED_NEDIN_G1,LZ_SOUTH,OPT,Off-peak,247.3,5.468995
199427931,XSTEC,NED_NEDIN_G2,LZ_SOUTH,OPT,Off-peak,247.3,5.161062
199427932,XSTEC,NED_NEDIN_G3,LZ_SOUTH,OPT,Off-peak,250.0,5.161062
199427933,XSTEC,SAN_SANMIGG1,LZ_SOUTH,OPT,Off-peak,195.5,1.795527
199427944,XETEC,DENISON_G1_2,LZ_NORTH,OPT,Off-peak,15.7,1.417312
199427945,XETEC,DENISON_G1_2,LZ_NORTH,OPT,Off-peak,15.7,1.417312
199435044,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,5.2,1.419357
199435045,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,5.9,1.419357
199435046,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,10.0,1.4672
199435047,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,10.0,1.4672
199435048,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,11.0,1.4672
199435049,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,PeakWD,199.4,4.0
199435050,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,PeakWD,199.4,4.0
199435051,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,PeakWD,293.9,3.996727
199435052,XLCRA,GID_GIDEONG1,LZ_LCRA,OPT,PeakWD,41.0,2.734131
199435053,XLCRA,GID_GIDEONG2,LZ_LCRA,OPT,PeakWD,44.0,2.734131
199435054,XLCRA,GID_GIDEONG3,LZ_LCRA,OPT,PeakWD,200.0,4.0
199435055,XLCRA,INKS_INKS_G1,LZ_LCRA,OPT,PeakWD,4.5,2.469556
199435056,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,PeakWD,57.8,3.702933
199435057,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,PeakWD,55.3,3.702933
199435058,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,PeakWD,60.6,3.702933
199435059,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,7.0,1.009965
199435060,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,6.6,1.009965
199435061,XLCRA,MAR_MARSFOG1,LZ_LCRA,OPT,PeakWD,12.0,0.986325
199435062,XLCRA,MAR_MARSFOG2,LZ_LCRA,OPT,PeakWD,12.0,0.966325
199435063,XLCRA,MAR_MARSFOG3,LZ_LCRA,OPT,PeakWD,8.6,0.966325
