CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
135157623,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,9.050866
135157624,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,PeakWD,35.0,9.050866
135157625,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,9.050866
135157626,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,PeakWD,20.0,13.775829
135157627,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,PeakWD,40.0,13.775829
135157633,XBTU,ATK_ATKINSG7,LZ_NORTH,OPT,PeakWD,12.0,2.493874
135157634,XBTU,DANSBY_ALL,LZ_NORTH,OPT,PeakWD,65.5,2.543823
135157672,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWD,82.5,1.664787
135157673,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,PeakWD,71.0,1.664787
135157674,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWD,102.5,1.664787
135157678,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,PeakWD,560.0,1.856689
135157679,XCPSE,CALAVER_OWS1,LZ_CPS,OPT,PeakWD,210.0,0.483831
135157680,XCPSE,CALAVER_OWS2,LZ_CPS,OPT,PeakWD,205.0,0.483831
135157681,XCPSE,STP_STP_G1,LZ_CPS,OPT,PeakWD,370.4,7.369142
135157682,XCPSE,STP_STP_G2,LZ_CPS,OPT,PeakWD,366.8,7.369142
135157686,XGAR,OLIN_OLING_3,LZ_NORTH,OPT,PeakWD,65.0,0.846951
135157695,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,PeakWD,12.0,0.859321
135157696,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,PeakWD,20.0,0.859321
135157736,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,40.0,0.137424
135157737,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,40.0,0.137424
135157738,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,Off-peak,304.0,0.722041
135157739,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,Off-peak,304.0,0.722041
135157740,XAEN,STP_STP_G1,LZ_AEN,OPT,Off-peak,211.7,2.256018
135157741,XAEN,STP_STP_G2,LZ_AEN,OPT,Off-peak,209.6,2.256018
135157807,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,2.2,3.575432
135157808,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,2.5,3.575432
135157809,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,3.4,5.227988
135157810,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,3.4,5.227988
135157811,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,3.4,5.227988
135157812,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,PeakWD,179.5,6.601538
135157813,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,PeakWD,179.5,6.601538
135157814,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,PeakWD,264.5,6.605301
135157815,XLCRA,GID_GIDEONG1,LZ_LCRA,OPT,PeakWD,25.5,4.42687
135157816,XLCRA,GID_GIDEONG2,LZ_LCRA,OPT,PeakWD,25.5,4.42687
135157817,XLCRA,GID_GIDEONG3,LZ_LCRA,OPT,PeakWD,85.0,4.42687
135157818,XLCRA,INKS_INKS_G1,LZ_LCRA,OPT,PeakWD,3.7,13.086021
135157819,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,PeakWD,52.0,5.0
135157820,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,PeakWD,49.8,5.0
135157821,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,PeakWD,54.5,5.0
135157822,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,5.6,6.802598
135157823,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,4.2,6.802598
135157824,XLCRA,MAR_MARSFOG1,LZ_LCRA,OPT,PeakWD,9.6,3.179735
135157825,XLCRA,MAR_MARSFOG2,LZ_LCRA,OPT,PeakWD,9.6,3.149735
135157826,XLCRA,MAR_MARSFOG3,LZ_LCRA,OPT,PeakWD,8.0,3.209735
135157827,XLCRA,WIR_WIRTZ_G1,LZ_LCRA,OPT,PeakWD,15.2,7.285445
135157828,XLCRA,WIR_WIRTZ_G2,LZ_LCRA,OPT,PeakWD,15.2,7.285445
