SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,APR_2025,PeakWD,-8.839096
DSWL_BES1,APR_2025,PeakWD,1.940862
WRSBES_BESS1,APR_2025,PeakWD,-9.510014
SBEAN_BESS,APR_2025,PeakWD,-9.041423
REDBARN_RN,APR_2025,PeakWD,-5.525602
PERE_SLR_RN,APR_2025,PeakWD,2.503838
VIC_VICTORG6,APR_2025,PeakWD,0.566557
VIC_VICTORG5,APR_2025,PeakWD,0.566557
HRNT_SLR_RN,APR_2025,PeakWD,12.158646
VISION_RN,APR_2025,PeakWD,1.596309
GRIF_TRL_RN,APR_2025,PeakWD,7.561099
MYR_ALL,APR_2025,PeakWD,-2.321467
CEDROHI_CHW1,APR_2025,PeakWD,4.560159
HAMI_BESS_RN,APR_2025,PeakWD,-7.447593
CMPD_SLR_RN,APR_2025,PeakWD,9.357835
BRP_ZPT1_RN,APR_2025,PeakWD,-6.832520
N_MRD_ESR_RN,APR_2025,PeakWD,-15.749173
SPNC_SPNCE_5,APR_2025,PeakWD,4.430681
RIOG_ESR2_RN,APR_2025,PeakWD,-5.953663
VORT_ALL_RN,APR_2025,PeakWD,5.822014
SPNC_SPNCE_4,APR_2025,PeakWD,4.430681
SAN_SANMIGG1,APR_2025,PeakWD,1.502833
SC2SES_UNIT1,APR_2025,PeakWD,1.001965
MCLNSLR_RN,APR_2025,PeakWD,-6.387593
CBECII_CT7,APR_2025,PeakWD,-0.224790
MU_RN,APR_2025,PeakWD,-3.882849
WILDWIND_ALL,APR_2025,PeakWD,2.601054
TGCCS_ALL,APR_2025,PeakWD,1.493381
HB_NORTH,APR_2025,PeakWD,2.207080
COTPLNS_RN,APR_2025,PeakWD,12.031121
SIG_SLR_RN,APR_2025,PeakWD,1.176880
CISC_RN,APR_2025,PeakWD,-3.825968
CALAVER_JKS2,APR_2025,PeakWD,-3.932298
CALAVER_JKS1,APR_2025,PeakWD,-3.932298
FALFUR_RN2,APR_2025,PeakWD,1.592418
FORTMA_RN,APR_2025,PeakWD,-3.964284
CALAVER_JTD2,APR_2025,PeakWD,-3.999903
CALAVER_JTD1,APR_2025,PeakWD,-3.999903
HHGT_KENDAL,APR_2025,PeakWD,-0.030436
BRPMAGNO_RN,APR_2025,PeakWD,-4.927033
PEARSALL_RN,APR_2025,PeakWD,-3.904429
LASSO_GEN,APR_2025,PeakWD,-7.859915
LGE_LGE_GT2,APR_2025,PeakWD,0.200912
LGE_LGE_GT1,APR_2025,PeakWD,0.200912
RIPPEY_ALL,APR_2025,PeakWD,2.603886
SANDHSYD6_7,APR_2025,PeakWD,-3.171316
BRP_PBL2_RN,APR_2025,PeakWD,-8.843690
DC_R,APR_2025,PeakWD,-3.586668
PAVO_ESS_ALL,APR_2025,PeakWD,-6.518108
DC_N,APR_2025,PeakWD,7.266682
PISG_RN_ALL,APR_2025,PeakWD,1.576774
ALGOD_ALL_RN,APR_2025,PeakWD,3.668931
DC_L,APR_2025,PeakWD,7.440159
TNSKA_CCU,APR_2025,PeakWD,2.650600
VANCOURT_RN,APR_2025,PeakWD,5.308404
LPCCS_UNIT1,APR_2025,PeakWD,2.959399
DC_E,APR_2025,PeakWD,2.886462
