DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
10002 FOUNDRY 71199 L_ARCO_ 1,Line,To - From,-125.2,125.2,Hard Constraint,SCRNODE8,APR_2026,Off-peak,1056.49
10002 FOUNDRY 71199 L_ARCO_ 1,Line,To - From,-117.9,117.9,Hard Constraint,SCRNODE8,APR_2026,PeakWE,136.7
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,338.2,338.2,Hard Constraint,DWLFMET5,APR_2026,Off-peak,106.86
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,338.2,338.2,Hard Constraint,DWLFMET5,APR_2026,PeakWD,54.54
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,338.2,338.2,Hard Constraint,DWLFMET5,APR_2026,PeakWE,37.96
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1467.1,1467.1,Hard Constraint,DMGSBIT5,APR_2026,Off-peak,882.53
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1467.1,1467.1,Hard Constraint,DMGSBTR5,APR_2026,Off-peak,2109.54
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1467.1,1467.1,Hard Constraint,DMGSBIT5,APR_2026,PeakWD,646.76
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1467.1,1467.1,Hard Constraint,DMGSBTR5,APR_2026,PeakWD,509.09
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1467.1,1467.1,Hard Constraint,DMGSBIT5,APR_2026,PeakWE,313.8
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1467.1,1467.1,Hard Constraint,DMGSBTR5,APR_2026,PeakWE,113.16
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1018.6,1018.6,Hard Constraint,DBAKCED5,APR_2026,Off-peak,7724.99
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1018.6,1018.6,Hard Constraint,DNOETWL5,APR_2026,Off-peak,7.09
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1018.6,1018.6,Hard Constraint,DBAKCED5,APR_2026,PeakWD,3117.11
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1018.6,1018.6,Hard Constraint,DBAKRED5,APR_2026,PeakWD,0
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1018.6,1018.6,Hard Constraint,DNOETWL5,APR_2026,PeakWD,0.92
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1018.6,1018.6,Hard Constraint,DTWLCED5,APR_2026,PeakWD,10.65
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1018.6,1018.6,Hard Constraint,DBAKCED5,APR_2026,PeakWE,1113.13
1074 WINKSS_8 18692 WHITEDU 2,Line,From - To,360.3,360.3,Hard Constraint,SARYYUC8,APR_2026,Off-peak,99.52
1074 WINKSS_8 18692 WHITEDU 2,Line,From - To,360.3,360.3,Hard Constraint,SARYYUC8,APR_2026,PeakWD,6.53
1074 WINKSS_8 18692 WHITEDU 2,Line,From - To,360.3,360.3,Hard Constraint,SARYYUC8,APR_2026,PeakWE,3.59
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-443.7,443.7,Hard Constraint,DSLKSOL5,APR_2026,PeakWD,14.62
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-443.7,443.7,Hard Constraint,SCARFRI8,APR_2026,PeakWE,0.21
1101 EDWARDS_ 1110 EDWARD_T 1,Line,To - From,-117.9,117.9,Hard Constraint,DWLFMET5,APR_2026,Off-peak,95.78
1101 EDWARDS_ 1110 EDWARD_T 1,Line,To - From,-117.9,117.9,Hard Constraint,DMOSME25,APR_2026,PeakWD,233.65
11016 QUAILSW 11028 ODESEHV 1,Line,From - To,1018.8,1018.8,Hard Constraint,SODETES5,APR_2026,Off-peak,80.33
11083 RIVERTO 133342 W_PECO 1,Line,From - To,360.0,360.0,Hard Constraint,,APR_2026,Off-peak,4.32
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,561.6,561.6,Hard Constraint,SSL2CED8,APR_2026,Off-peak,0.06
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,561.6,561.6,Hard Constraint,SSL2CED8,APR_2026,PeakWD,4.47
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,360.0,360.0,Hard Constraint,DODEMOS5,APR_2026,Off-peak,250.41
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,360.0,360.0,Hard Constraint,DODEMOS5,APR_2026,PeakWD,332.44
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,360.0,360.0,Hard Constraint,DODEMOS5,APR_2026,PeakWE,16.4
11149 HOWDEN_ 11362 FLOWRGR 1,Line,To - From,-117.9,117.9,Hard Constraint,STRBCGR8,APR_2026,Off-peak,269.72
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-371.7,371.7,Hard Constraint,DODEMOS5,APR_2026,Off-peak,1876.2
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-371.7,371.7,Hard Constraint,DODEMOS5,APR_2026,PeakWD,1142.55
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-371.7,371.7,Hard Constraint,DODEMOS5,APR_2026,PeakWE,340.63
