CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
173199540,XSNDAL,WLTC_ESR_RN,CCEC_PUN1,OPT,PeakWE,3.2,0.26
173216881,XSNDAL,WLTC_ESR_RN,CCEC_PUN1,OPT,PeakWD,1.5,0.525338
173123828,XMEA,PANDA_T2_ST1,AURO_SLR_RN,OPT,PeakWE,2.4,0.796226
173123829,XMEA,PANDA_T2_ST1,AURO_SLR_RN,OPT,PeakWE,6.3,0.796226
173322767,XUNCIE,AQUI_ALL,FILESSLR_PV1,OPT,Off-peak,1.1,0.1
173459216,XUNTX3,AQUI_ALL,FILESSLR_PV1,OPT,PeakWD,1.5,0.29
173096091,XEDISO,MDANP_CT5_6,FILESSLR_PV1,OPT,Off-peak,7.0,0.372564
173151686,XSUEZI,MDANP_CT5_6,FILESSLR_PV1,OBL,PeakWE,0.8,-4.708471
173183032,XSUEZI,MDANP_CT5_6,FILESSLR_PV1,OBL,PeakWD,1.7,-5.354685
173245555,XSNDA1,SHEEPCRK_1,FILESSLR_PV1,OBL,PeakWD,2.0,-2.347691
173150989,XSUEZI,MDANP_CT3_4,FILESSLR_PV1,OBL,Off-peak,0.8,0.045756
173218413,XSNDA1,MDANP_CT3_4,FILESSLR_PV1,OBL,PeakWE,2.0,-5.098548
173460158,XUNTX3,STRATEGC_RN,FILESSLR_PV1,OPT,PeakWD,1.0,0.910128
173152167,XLUMN,SUNVASLR_ALL,FILESSLR_PV1,OPT,PeakWD,5.5,0.413593
173168865,XMAGE,OXY_PUN1,WLTC_ESR_RN,OPT,PeakWE,20.0,0.4
173142801,XVITO1,OXY_PUN2,WLTC_ESR_RN,OPT,PeakWE,1.4,0.4
173392404,XDEN2,BRP_SWNY_RN,BRPANGLE_RN,OBL,PeakWD,9.9,-0.088251
173381927,XPENLO,BRP_SWNY_RN,BRPANGLE_RN,OBL,PeakWE,8.0,-0.139265
173458789,XUNTX3,BRP_SWNY_RN,BRPANGLE_RN,OPT,PeakWD,1.0,0.22
173127909,XTENS3,GAMBIT_RN,BRPANGLE_RN,OPT,PeakWE,10.0,0.0
173129163,XTENS3,GAMBIT_RN,BRPANGLE_RN,OPT,Off-peak,10.0,0.0
173144563,XTENS3,GAMBIT_RN,BRPANGLE_RN,OPT,PeakWD,10.0,0.0
173228638,XCWPE1,GAMBIT_RN,BRPANGLE_RN,OPT,PeakWE,19.0,0.0
173319989,XRESI1,GAMBIT_RN,BRPANGLE_RN,OPT,Off-peak,14.7,0.0
