DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-166.5,166.5,Hard Constraint,DMOSME25,AUG_2025,Off-peak,616.89
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-166.5,166.5,Hard Constraint,DMOSME25,AUG_2025,PeakWD,179.59
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DWLFMET5,AUG_2025,Off-peak,27.29
1019 MOSS_8 1292 ECTRHARP 1,Line,To - From,-327.8,327.8,Hard Constraint,SWLFECT8,AUG_2025,Off-peak,10.01
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,191.7,191.7,Hard Constraint,DMOSME25,AUG_2025,Off-peak,9970.4
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,191.7,191.7,Hard Constraint,DMOSME25,AUG_2025,PeakWD,3597.64
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,191.7,191.7,Hard Constraint,DMOSME25,AUG_2025,PeakWE,1323.03
1030 MRGNCRK_ 1058 LONGSHOR 1,Line,From - To,958.5,958.5,Hard Constraint,SW_BW_25,AUG_2025,Off-peak,29.96
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1432.7,1432.7,Hard Constraint,DMGSBTR5,AUG_2025,Off-peak,216.55
1058 LONGSHOR 11387 CONSAVV 9,Line,From - To,958.4,958.4,Hard Constraint,DBAKCED5,AUG_2025,Off-peak,5283.7
1058 LONGSHOR 11387 CONSAVV 9,Line,From - To,958.4,958.4,Hard Constraint,DCONLNG5,AUG_2025,Off-peak,888.76
1058 LONGSHOR 11387 CONSAVV 9,Line,From - To,958.4,958.4,Hard Constraint,DBAKCED5,AUG_2025,PeakWD,417.39
1058 LONGSHOR 11387 CONSAVV 9,Line,From - To,958.4,958.4,Hard Constraint,DCONLNG5,AUG_2025,PeakWD,832.71
1058 LONGSHOR 11387 CONSAVV 9,Line,From - To,958.4,958.4,Hard Constraint,DBAKCED5,AUG_2025,PeakWE,263.16
1058 LONGSHOR 11387 CONSAVV 9,Line,From - To,958.4,958.4,Hard Constraint,DCONLNG5,AUG_2025,PeakWE,485.99
1095 SCRWBEAN 11224 CRATERC 1,Line,To - From,-551.7,551.7,Hard Constraint,DRVRTMD8,AUG_2025,PeakWD,2.11
1097 CULBERSO 7389 L_PINNAC 1,Line,From - To,435.6,435.6,Hard Constraint,,AUG_2025,PeakWD,0.15
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-435.6,435.6,Hard Constraint,DBRNCMN8,AUG_2025,PeakWE,0.12
11016 QUAILSW 11028 ODESEHV 1,Line,From - To,958.5,958.5,Hard Constraint,SODETES5,AUG_2025,Off-peak,189.53
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,551.7,551.7,Hard Constraint,SSL2CED8,AUG_2025,Off-peak,70.92
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,551.7,551.7,Hard Constraint,SSL2CED8,AUG_2025,PeakWD,11.48
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,551.7,551.7,Hard Constraint,SSL2CED8,AUG_2025,PeakWE,2.3
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,353.7,353.7,Hard Constraint,DODEMOS5,AUG_2025,PeakWD,36.81
11149 HOWDEN_ 11362 FLOWRGR 1,Line,To - From,-111.6,111.6,Hard Constraint,STRBCGR8,AUG_2025,Off-peak,1651.29
11182 MCLLVAI 38105 TNSANDL 1,Line,From - To,217.8,217.8,Hard Constraint,SSALCHL5,AUG_2025,PeakWD,5.32
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-364.5,364.5,Hard Constraint,DODEMOS5,AUG_2025,PeakWD,87.67
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-364.5,364.5,Hard Constraint,DODEMOS5,AUG_2025,PeakWE,151.79
11260 DUNE_8 182301 PHOEBE 1,Line,To - From,-291.6,291.6,Hard Constraint,SBATPAL8,AUG_2025,Off-peak,1.05
1141 HOLTSS_8 11211 TURNBAU 1,Line,From - To,166.5,166.5,Hard Constraint,DWLFMET5,AUG_2025,Off-peak,8.31
1141 HOLTSS_8 11211 TURNBAU 1,Line,From - To,166.5,166.5,Hard Constraint,DWLFMET5,AUG_2025,PeakWD,23.68
