SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,AUG_2025,PeakWD,-11.802362
DSWL_BES1,AUG_2025,PeakWD,-6.956785
WRSBES_BESS1,AUG_2025,PeakWD,-11.889557
HRNT_SLR_RN,AUG_2025,PeakWD,-2.497742
SBEAN_BESS,AUG_2025,PeakWD,-11.784304
REDBARN_RN,AUG_2025,PeakWD,-11.325464
VISION_RN,AUG_2025,PeakWD,-7.017410
GRIF_TRL_RN,AUG_2025,PeakWD,-4.315667
PERE_SLR_RN,AUG_2025,PeakWD,9.286472
VIC_VICTORG6,AUG_2025,PeakWD,4.626344
VIC_VICTORG5,AUG_2025,PeakWD,4.626344
MYR_ALL,AUG_2025,PeakWD,-5.583111
CEDROHI_CHW1,AUG_2025,PeakWD,12.059903
HAMI_BESS_RN,AUG_2025,PeakWD,-15.178774
CMPD_SLR_RN,AUG_2025,PeakWD,-1.448841
BRP_ZPT1_RN,AUG_2025,PeakWD,1.250110
N_MRD_ESR_RN,AUG_2025,PeakWD,3.496599
SPNC_SPNCE_5,AUG_2025,PeakWD,-9.522613
RIOG_ESR2_RN,AUG_2025,PeakWD,3.817569
VORT_ALL_RN,AUG_2025,PeakWD,-4.524018
SPNC_SPNCE_4,AUG_2025,PeakWD,-9.522613
SAN_SANMIGG1,AUG_2025,PeakWD,4.120389
SC2SES_UNIT1,AUG_2025,PeakWD,-6.780400
MCLNSLR_RN,AUG_2025,PeakWD,-7.544717
CBECII_CT7,AUG_2025,PeakWD,-0.961754
WILDWIND_ALL,AUG_2025,PeakWD,-7.290059
MU_RN,AUG_2025,PeakWD,-9.515394
TGCCS_ALL,AUG_2025,PeakWD,-6.663346
HB_NORTH,AUG_2025,PeakWD,-6.448841
COTPLNS_RN,AUG_2025,PeakWD,-3.048361
SIG_SLR_RN,AUG_2025,PeakWD,-7.796220
CISC_RN,AUG_2025,PeakWD,-18.682186
TYSN_SLR_RN,AUG_2025,PeakWD,-5.436160
CALAVER_JKS2,AUG_2025,PeakWD,-8.590683
CALAVER_JKS1,AUG_2025,PeakWD,-8.590683
FALFUR_RN2,AUG_2025,PeakWD,8.684443
FORTMA_RN,AUG_2025,PeakWD,-11.447590
CALAVER_JTD2,AUG_2025,PeakWD,-8.394674
CALAVER_JTD1,AUG_2025,PeakWD,-8.394674
HHGT_KENDAL,AUG_2025,PeakWD,-6.446943
BRPMAGNO_RN,AUG_2025,PeakWD,-10.309066
PEARSALL_RN,AUG_2025,PeakWD,2.617767
LASSO_GEN,AUG_2025,PeakWD,-12.005082
LGE_LGE_GT2,AUG_2025,PeakWD,9.339071
LGE_LGE_GT1,AUG_2025,PeakWD,9.339071
RIPPEY_ALL,AUG_2025,PeakWD,-7.555655
SANDHSYD6_7,AUG_2025,PeakWD,-8.664737
BRP_PBL2_RN,AUG_2025,PeakWD,-10.510884
DC_R,AUG_2025,PeakWD,5.865077
PAVO_ESS_ALL,AUG_2025,PeakWD,-12.275118
