DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-220.1,220.1,Hard Constraint,DCONLNG5,DEC_2025,Off-peak,3939.95
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-220.1,220.1,Hard Constraint,DCONLNG5,DEC_2025,PeakWD,2950.92
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-220.1,220.1,Hard Constraint,DCONLNG5,DEC_2025,PeakWE,414.65
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-226.7,226.7,Hard Constraint,DMOSME25,DEC_2025,Off-peak,3701.3
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-237.4,237.4,Hard Constraint,DMOSME25,DEC_2025,PeakWD,2495.17
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-219.2,219.2,Hard Constraint,DMOSME25,DEC_2025,PeakWE,662.36
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-219.2,219.2,Hard Constraint,DWLFMET5,DEC_2025,PeakWE,6.61
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,353.7,353.7,Hard Constraint,DWLFMET5,DEC_2025,Off-peak,112.88
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,220.1,220.1,Hard Constraint,DMOSME25,DEC_2025,Off-peak,3794.7
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,220.1,220.1,Hard Constraint,DWLFMET5,DEC_2025,Off-peak,6859.6
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,230.1,230.1,Hard Constraint,DMOSME25,DEC_2025,PeakWD,5267.24
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,220.1,220.1,Hard Constraint,DMOSME25,DEC_2025,PeakWE,2416.61
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1516.6,1516.6,Hard Constraint,DMGSBIT5,DEC_2025,PeakWD,163.58
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1516.6,1516.6,Hard Constraint,DMGSBTR5,DEC_2025,PeakWD,51.52
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1100.7,1100.7,Hard Constraint,SCONMGS5,DEC_2025,Off-peak,6290.15
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1100.7,1100.7,Hard Constraint,SCONMGS5,DEC_2025,PeakWD,3200.42
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1100.7,1100.7,Hard Constraint,SCONMGS5,DEC_2025,PeakWE,1118.52
1064 SUN_8 1067 GOLDENSW 1,Line,To - From,-369.4,369.4,Hard Constraint,DMTSCOS5,DEC_2025,PeakWE,37.07
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-454.5,454.5,Hard Constraint,,DEC_2025,PeakWD,45.8
11016 QUAILSW 11028 ODESEHV 1,Line,From - To,1100.7,1100.7,Hard Constraint,SODETES5,DEC_2025,Off-peak,25.36
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,575.1,575.1,Hard Constraint,SSL2CED8,DEC_2025,Off-peak,24.49
