SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,DEC_2025,PeakWD,-12.761694
DSWL_BES1,DEC_2025,PeakWD,-0.814101
HRNT_SLR_RN,DEC_2025,PeakWD,5.103897
SBEAN_BESS,DEC_2025,PeakWD,-12.796539
REDBARN_RN,DEC_2025,PeakWD,-8.679023
VISION_RN,DEC_2025,PeakWD,-0.641578
PERE_SLR_RN,DEC_2025,PeakWD,1.669459
VIC_VICTORG6,DEC_2025,PeakWD,1.998726
VIC_VICTORG5,DEC_2025,PeakWD,1.998726
WRSBES_BESS1,DEC_2025,PeakWD,-13.203468
GRIF_TRL_RN,DEC_2025,PeakWD,2.592968
MYR_ALL,DEC_2025,PeakWD,-1.190565
CEDROHI_CHW1,DEC_2025,PeakWD,5.035331
HAMI_BESS_RN,DEC_2025,PeakWD,-10.301586
CMPD_SLR_RN,DEC_2025,PeakWD,7.247817
BRP_ZPT1_RN,DEC_2025,PeakWD,-0.963700
N_MRD_ESR_RN,DEC_2025,PeakWD,-3.768198
HARLIN_1_RN,DEC_2025,PeakWD,-4.803964
SPNC_SPNCE_5,DEC_2025,PeakWD,0.607895
RIOG_ESR2_RN,DEC_2025,PeakWD,-0.356649
VORT_ALL_RN,DEC_2025,PeakWD,2.228583
SPNC_SPNCE_4,DEC_2025,PeakWD,0.607895
SAN_SANMIGG1,DEC_2025,PeakWD,-1.057511
SC2SES_UNIT1,DEC_2025,PeakWD,0.013062
MCLNSLR_RN,DEC_2025,PeakWD,-6.218561
CBECII_CT7,DEC_2025,PeakWD,-0.128081
WILDWIND_ALL,DEC_2025,PeakWD,-0.164743
MU_RN,DEC_2025,PeakWD,-2.309703
TGCCS_ALL,DEC_2025,PeakWD,-0.009078
HB_NORTH,DEC_2025,PeakWD,-0.451589
COTPLNS_RN,DEC_2025,PeakWD,5.158794
SIG_SLR_RN,DEC_2025,PeakWD,-0.964458
CISC_RN,DEC_2025,PeakWD,-5.651188
TYSN_SLR_RN,DEC_2025,PeakWD,1.164237
CALAVER_JKS2,DEC_2025,PeakWD,-6.809818
CALAVER_JKS1,DEC_2025,PeakWD,-6.809818
FALFUR_RN2,DEC_2025,PeakWD,3.555666
FORTMA_RN,DEC_2025,PeakWD,-6.251333
CALAVER_JTD2,DEC_2025,PeakWD,-6.134274
CALAVER_JTD1,DEC_2025,PeakWD,-6.134274
HHGT_KENDAL,DEC_2025,PeakWD,-4.516652
BRPMAGNO_RN,DEC_2025,PeakWD,-2.650763
PEARSALL_RN,DEC_2025,PeakWD,-2.801586
LASSO_GEN,DEC_2025,PeakWD,-11.184663
HEN_RN,DEC_2025,PeakWD,0.269601
LGE_LGE_GT2,DEC_2025,PeakWD,1.414818
LGE_LGE_GT1,DEC_2025,PeakWD,1.414818
RIPPEY_ALL,DEC_2025,PeakWD,-0.293373
SANDHSYD6_7,DEC_2025,PeakWD,-6.622337
BRP_PBL2_RN,DEC_2025,PeakWD,-7.901586
DC_R,DEC_2025,PeakWD,0.513712
PAVO_ESS_ALL,DEC_2025,PeakWD,-11.346836
