DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-220.1,220.1,Hard Constraint,SW_BLNG5,FEB_2026,Off-peak,369.82
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-220.1,220.1,Hard Constraint,SW_BLNG5,FEB_2026,PeakWD,1899.07
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-220.1,220.1,Hard Constraint,SW_BLNG5,FEB_2026,PeakWE,62.34
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-205.6,205.6,Hard Constraint,DWLFMET5,FEB_2026,Off-peak,2449.54
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-207.4,207.4,Hard Constraint,DWLFMET5,FEB_2026,PeakWD,898.32
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-203.8,203.8,Hard Constraint,DWLFMET5,FEB_2026,PeakWE,130.15
1019 MOSS_8 1113 ODESASW1 1,Line,To - From,-369.0,369.0,Hard Constraint,DODEMOS5,FEB_2026,PeakWD,46.09
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,353.7,353.7,Hard Constraint,DWLFMET5,FEB_2026,Off-peak,284.31
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,353.7,353.7,Hard Constraint,DWLFMET5,FEB_2026,PeakWD,57.9
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,353.7,353.7,Hard Constraint,DWLFMET5,FEB_2026,PeakWE,18.55
1027 ODESEHV_ 18545 REITER_ 3,Line,From - To,369.4,369.4,Hard Constraint,DODEMOS5,FEB_2026,Off-peak,774.64
1027 ODESEHV_ 18545 REITER_ 3,Line,From - To,379.0,379.0,Hard Constraint,DODEMOS5,FEB_2026,PeakWD,356.66
1027 ODESEHV_ 18545 REITER_ 3,Line,From - To,370.1,370.1,Hard Constraint,DODEMOS5,FEB_2026,PeakWE,139.33
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1532.7,1532.7,Hard Constraint,DMGSBIT5,FEB_2026,Off-peak,163.13
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1532.7,1532.7,Hard Constraint,DMGSBTR5,FEB_2026,Off-peak,1086.44
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1532.7,1532.7,Hard Constraint,DMGSBIT5,FEB_2026,PeakWD,184.08
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1532.7,1532.7,Hard Constraint,DMGSBTR5,FEB_2026,PeakWD,137.08
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1532.7,1532.7,Hard Constraint,DMGSBIT5,FEB_2026,PeakWE,69.48
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1532.7,1532.7,Hard Constraint,DMGSBTR5,FEB_2026,PeakWE,210.44
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1100.3,1100.3,Hard Constraint,SW_BW_25,FEB_2026,Off-peak,112.68
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1100.3,1100.3,Hard Constraint,SW_SBRN5,FEB_2026,Off-peak,93.45
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1100.3,1100.3,Hard Constraint,SW_BW_25,FEB_2026,PeakWD,298.82
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1100.3,1100.3,Hard Constraint,SW_SBRN5,FEB_2026,PeakWD,557.73
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1100.3,1100.3,Hard Constraint,SW_BW_25,FEB_2026,PeakWE,72.2
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1100.3,1100.3,Hard Constraint,SW_SBRN5,FEB_2026,PeakWE,105.12
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1100.3,1100.3,Hard Constraint,DBAKCED5,FEB_2026,Off-peak,3793.71
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1100.3,1100.3,Hard Constraint,SPRMRGR5,FEB_2026,Off-peak,1380.7
