SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,FEB_2026,PeakWD,-12.274909
LMWD_SLR_RN,FEB_2026,PeakWD,-3.445746
WRSBES_BESS1,FEB_2026,PeakWD,-12.445196
GRIF_TRL_RN,FEB_2026,PeakWD,-1.606286
PERE_SLR_RN,FEB_2026,PeakWD,1.589276
DSWL_BES1,FEB_2026,PeakWD,-5.785219
SBEAN_BESS,FEB_2026,PeakWD,-12.127540
REDBARN_RN,FEB_2026,PeakWD,-12.084985
VISION_RN,FEB_2026,PeakWD,-4.827882
HRNT_SLR_RN,FEB_2026,PeakWD,2.494742
VIC_VICTORG6,FEB_2026,PeakWD,0.588423
VIC_VICTORG5,FEB_2026,PeakWD,0.588423
MYR_ALL,FEB_2026,PeakWD,-1.949962
CEDROHI_CHW1,FEB_2026,PeakWD,4.883510
HAMI_BESS_RN,FEB_2026,PeakWD,-15.899013
CMPD_SLR_RN,FEB_2026,PeakWD,-0.909628
BRP_ZPT1_RN,FEB_2026,PeakWD,-1.360197
N_MRD_ESR_RN,FEB_2026,PeakWD,-3.033355
HARLIN_1_RN,FEB_2026,PeakWD,-4.715152
SPNC_SPNCE_5,FEB_2026,PeakWD,4.983961
RIOG_ESR2_RN,FEB_2026,PeakWD,0.634689
VORT_ALL_RN,FEB_2026,PeakWD,-2.143650
SPNC_SPNCE_4,FEB_2026,PeakWD,4.983961
SAN_SANMIGG1,FEB_2026,PeakWD,-1.012321
SC2SES_UNIT1,FEB_2026,PeakWD,-4.833889
MCLNSLR_RN,FEB_2026,PeakWD,-6.782773
CBECII_CT7,FEB_2026,PeakWD,-0.897763
WILDWIND_ALL,FEB_2026,PeakWD,-3.534058
MU_RN,FEB_2026,PeakWD,-2.859957
TGCCS_ALL,FEB_2026,PeakWD,-4.799441
HB_NORTH,FEB_2026,PeakWD,-4.921577
COTPLNS_RN,FEB_2026,PeakWD,2.239061
SIG_SLR_RN,FEB_2026,PeakWD,-6.229626
CISC_RN,FEB_2026,PeakWD,-9.356116
TYSN_SLR_RN,FEB_2026,PeakWD,-5.488013
CALAVER_JKS2,FEB_2026,PeakWD,-6.925773
CALAVER_JKS1,FEB_2026,PeakWD,-6.925773
FALFUR_RN2,FEB_2026,PeakWD,2.149070
FORTMA_RN,FEB_2026,PeakWD,-5.452327
CALAVER_JTD2,FEB_2026,PeakWD,-6.330928
CALAVER_JTD1,FEB_2026,PeakWD,-6.330928
HHGT_KENDAL,FEB_2026,PeakWD,-5.188607
BRPMAGNO_RN,FEB_2026,PeakWD,-3.268305
PEARSALL_RN,FEB_2026,PeakWD,-4.192773
LASSO_GEN,FEB_2026,PeakWD,-12.440620
HEN_RN,FEB_2026,PeakWD,-1.649162
LGE_LGE_GT2,FEB_2026,PeakWD,1.620345
LGE_LGE_GT1,FEB_2026,PeakWD,1.620345
RIPPEY_ALL,FEB_2026,PeakWD,2.592537
SANDHSYD6_7,FEB_2026,PeakWD,-7.276220
BRP_PBL2_RN,FEB_2026,PeakWD,-9.640043
DC_R,FEB_2026,PeakWD,1.549424
PAVO_ESS_ALL,FEB_2026,PeakWD,-13.706914
ESCONDID_ESR,FEB_2026,PeakWD,-9.879136
PINEFRST_RN,FEB_2026,PeakWD,-6.223629
SYBR_SLR_RN,FEB_2026,PeakWD,-4.029120
DC_N,FEB_2026,PeakWD,-1.718655
PISG_RN_ALL,FEB_2026,PeakWD,-4.589514
ALGOD_ALL_RN,FEB_2026,PeakWD,2.341943
DC_L,FEB_2026,PeakWD,5.024597
TNSKA_CCU,FEB_2026,PeakWD,-5.429562
VANCOURT_RN,FEB_2026,PeakWD,2.255756
LPCCS_UNIT1,FEB_2026,PeakWD,-5.520341
DC_E,FEB_2026,PeakWD,-6.068444
LPCCS_UNIT2,FEB_2026,PeakWD,-5.520341
NCARBID_PUN1,FEB_2026,PeakWD,-1.567088
NCARBID_PUN2,FEB_2026,PeakWD,-1.566438
K2_DGR1_RN,FEB_2026,PeakWD,-6.350637
CN_BRKS_UNT1,FEB_2026,PeakWD,2.327530
FAGUSSLR_RN,FEB_2026,PeakWD,1.276896
QALSW_ALL,FEB_2026,PeakWD,-10.268398
LZ_AEN,FEB_2026,PeakWD,-7.163845
WAP_WAPGT_1,FEB_2026,PeakWD,-2.612757
TXCTY_CTB,FEB_2026,PeakWD,-3.227601
TXCTY_CTC,FEB_2026,PeakWD,-3.227601
TORR_ALL,FEB_2026,PeakWD,5.024597
TXCTY_CTA,FEB_2026,PeakWD,-3.227601
REDFISH_ALL,FEB_2026,PeakWD,2.249996
PANDA_T2_ST1,FEB_2026,PeakWD,-3.495947
SWT_BESS_RN,FEB_2026,PeakWD,-7.431001
DECKER_GT,FEB_2026,PeakWD,-7.313732
OBERON_U1,FEB_2026,PeakWD,-11.917244
GRAN_SLR_RN,FEB_2026,PeakWD,-5.209055
MISAE_GEN_RN,FEB_2026,PeakWD,1.304272
N_AL_BESS_RN,FEB_2026,PeakWD,-0.217062
ANEM_ESS_RN,FEB_2026,PeakWD,3.890356
KNAPP_RN,FEB_2026,PeakWD,-14.316281
ASCK_SLR_RN,FEB_2026,PeakWD,0.425660
LOWR_ESS_RN,FEB_2026,PeakWD,-1.073621
ZIER_SLR_ALL,FEB_2026,PeakWD,-11.135795
RSK_RN,FEB_2026,PeakWD,-4.510388
BAYC_BESS_RN,FEB_2026,PeakWD,-3.783267
WHCCS2_4,FEB_2026,PeakWD,-4.399203
RN_ECEC_HOLT,FEB_2026,PeakWD,-11.952315
BOSQ_BSQS_12,FEB_2026,PeakWD,-3.434002
FLTCK_SSI,FEB_2026,PeakWD,-5.856360
NED_NEDIN_G1,FEB_2026,PeakWD,1.913435
LONEWOLF_ALL,FEB_2026,PeakWD,-4.855123
NED_NEDIN_G2,FEB_2026,PeakWD,1.788423
NED_NEDIN_G3,FEB_2026,PeakWD,2.103435
BRISCOE_WIND,FEB_2026,PeakWD,2.031006
ELSAUZ_ALL,FEB_2026,PeakWD,7.393854
BOSQ_BSQSU_5,FEB_2026,PeakWD,-3.434002
RTLSNAKE_BT,FEB_2026,PeakWD,-12.177401
COTTON_PAP2,FEB_2026,PeakWD,1.285321
JUNCTION_RN,FEB_2026,PeakWD,-32.134231
HI_LONEB_RN1,FEB_2026,PeakWD,-7.505325
WAL_RN,FEB_2026,PeakWD,-3.154028
TGS_GT01,FEB_2026,PeakWD,-1.972500
CRWN_SLR_UN1,FEB_2026,PeakWD,-3.217915
FERGCC_GT2_3,FEB_2026,PeakWD,-5.538004
MLSES_UNIT1,FEB_2026,PeakWD,-4.845200
MLSES_UNIT2,FEB_2026,PeakWD,-4.845200
MLSES_UNIT3,FEB_2026,PeakWD,-4.845200
ROW_ALL,FEB_2026,PeakWD,-1.164994
MWEC_G1,FEB_2026,PeakWD,-3.892484
E_BLACK_RN,FEB_2026,PeakWD,-5.495362
JAR_RN,FEB_2026,PeakWD,-1.668161
MILTON_RN,FEB_2026,PeakWD,-3.128925
CHE_PUN2,FEB_2026,PeakWD,-1.815585
CHE_PUN1,FEB_2026,PeakWD,-1.815585
THW_1_CCU,FEB_2026,PeakWD,-3.593365
BAKE_RN_ALL,FEB_2026,PeakWD,-5.427230
JC_BAT_RN,FEB_2026,PeakWD,-6.496439
HB_PAN,FEB_2026,PeakWD,1.787319
SANDLAKE_RN,FEB_2026,PeakWD,-12.247758
DIVR_SLR_RN,FEB_2026,PeakWD,-3.317189
BOSQ_BSQS_34,FEB_2026,PeakWD,-3.688654
TNS_SLR_ALL,FEB_2026,PeakWD,-3.156451
GZ_RN,FEB_2026,PeakWD,-3.779739
GBY_GT,FEB_2026,PeakWD,-3.863893
FLCNS_UNIT3,FEB_2026,PeakWD,-8.288741
FENCESLR_ALL,FEB_2026,PeakWD,-4.847882
FLCNS_UNIT2,FEB_2026,PeakWD,-8.288741
FLCNS_UNIT1,FEB_2026,PeakWD,-8.288741
TOPAZ_ALL,FEB_2026,PeakWD,-3.229549
CORAZON_RN,FEB_2026,PeakWD,5.034597
LGW_UNIT_ALL,FEB_2026,PeakWD,-4.021090
JAG_SLR_RN,FEB_2026,PeakWD,-2.230199
GWEC_G1,FEB_2026,PeakWD,-5.740419
PANDA_S_ST1,FEB_2026,PeakWD,-4.696868
WHCCS_CT1_ST,FEB_2026,PeakWD,-4.395177
BOCO_ESS_RN,FEB_2026,PeakWD,-5.839622
FRNYPP_1_CCU,FEB_2026,PeakWD,-6.068501
TGW_T1_T2,FEB_2026,PeakWD,6.544597
CHIL_SLR,FEB_2026,PeakWD,-3.626825
COYOTSPR_RN,FEB_2026,PeakWD,-12.445196
SAMSON_ALL,FEB_2026,PeakWD,-6.019423
TTWEC_G1,FEB_2026,PeakWD,-6.013078
WIPOPA_3_4,FEB_2026,PeakWD,-3.999699
JUNG_SLR_RN,FEB_2026,PeakWD,-11.673841
WOODWRD1_RN,FEB_2026,PeakWD,-13.665131
LAPETUS_U1,FEB_2026,PeakWD,-11.514596
LV5_UNIT1,FEB_2026,PeakWD,0.879459
FRNYPP_2_CCU,FEB_2026,PeakWD,-6.068501
FLOWERII_RN,FEB_2026,PeakWD,-13.342577
PNPI_GT2_RN,FEB_2026,PeakWD,-2.612757
LFSTH_RN,FEB_2026,PeakWD,-4.986069
CONIGLIO_RN,FEB_2026,PeakWD,-5.499833
MARBFA,FEB_2026,PeakWD,-6.855472
HAYSEN1_2,FEB_2026,PeakWD,-3.687847
HDNLAKES_RN,FEB_2026,PeakWD,-3.358285
FLUVANNA_1_2,FEB_2026,PeakWD,-0.419372
TNG_RN,FEB_2026,PeakWD,-1.279967
CBY4_ALL,FEB_2026,PeakWD,-3.600670
ROSELAND_ALL,FEB_2026,PeakWD,-3.111713
TC_PUN1,FEB_2026,PeakWD,-2.883508
TC_PUN2,FEB_2026,PeakWD,-2.883508
TURQ_BESS1,FEB_2026,PeakWD,-6.327452
LZ_CPS,FEB_2026,PeakWD,-6.262050
PHOEBE_ALL,FEB_2026,PeakWD,-11.835759
AMADEUS_ALL,FEB_2026,PeakWD,-1.676143
FERGCC_ST1_5,FEB_2026,PeakWD,-5.538004
HHOLLW2_WND1,FEB_2026,PeakWD,-3.613078
SLK_BESS_RN,FEB_2026,PeakWD,-13.434222
HOL_ALL,FEB_2026,PeakWD,-0.812284
FAL_FALCONG1,FEB_2026,PeakWD,0.469468
FAL_FALCONG2,FEB_2026,PeakWD,0.469468
EL_RAYO_ALL,FEB_2026,PeakWD,5.116240
FAL_FALCONG3,FEB_2026,PeakWD,0.469468
CNTRY_RN,FEB_2026,PeakWD,-4.826991
FRYE_SLR_ALL,FEB_2026,PeakWD,2.195580
CPSES_UNIT2,FEB_2026,PeakWD,-4.133662
THW_THWGT5X,FEB_2026,PeakWD,-3.959307
TAV_RN,FEB_2026,PeakWD,-2.214784
CPSES_UNIT1,FEB_2026,PeakWD,-4.133662
MIL_MILG1_2,FEB_2026,PeakWD,-4.298787
SWOOSEII_RN,FEB_2026,PeakWD,-12.282844
GRANDVW1_A_B,FEB_2026,PeakWD,2.015133
HB_HOUSTON,FEB_2026,PeakWD,-2.916876
PALMVIEW_RN,FEB_2026,PeakWD,1.205986
ETCCS_CCU,FEB_2026,PeakWD,-5.106991
SCSES_UNIT2,FEB_2026,PeakWD,-4.833889
SPLAIN1_RN,FEB_2026,PeakWD,2.239061
NBOHR_RN,FEB_2026,PeakWD,-4.510388
MONTECR1_RN,FEB_2026,PeakWD,4.503377
WIPOPA_1_2,FEB_2026,PeakWD,-3.999699
LON_RN1,FEB_2026,PeakWD,-2.265207
WHMESA_U1,FEB_2026,PeakWD,-6.805927
BOARDCRK_ALL,FEB_2026,PeakWD,-4.589514
JAY_RN_1,FEB_2026,PeakWD,-1.287400
BYRDR_ES_ALL,FEB_2026,PeakWD,-1.977258
SBE_RN_1,FEB_2026,PeakWD,-2.561296
PHO_ALL,FEB_2026,PeakWD,-0.917763
REDGATE_RN,FEB_2026,PeakWD,1.718423
TV_RN,FEB_2026,PeakWD,-3.073508
CFLATS_UNIT,FEB_2026,PeakWD,-17.764231
AMO_AMOCO_G1,FEB_2026,PeakWD,-3.286292
AMO_AMOCO_G2,FEB_2026,PeakWD,-3.286292
MERCURY_ALL,FEB_2026,PeakWD,0.435660
JCKCNTY2_ST2,FEB_2026,PeakWD,-3.071691
AMO_AMOCO_G3,FEB_2026,PeakWD,-3.286292
DOWGEN_PUN4,FEB_2026,PeakWD,-1.095195
FORMOSA_PUN2,FEB_2026,PeakWD,-1.220719
DOWGEN_PUN5,FEB_2026,PeakWD,-1.095195
FORMOSA_PUN1,FEB_2026,PeakWD,-1.220719
DOWGEN_PUN2,FEB_2026,PeakWD,-1.095195
CBECII_89,FEB_2026,PeakWD,-0.897763
S_HILLS_RN,FEB_2026,PeakWD,-1.998191
DOWGEN_PUN3,FEB_2026,PeakWD,-1.095195
L_FRE_ESR_RN,FEB_2026,PeakWD,6.282360
DOWGEN_PUN1,FEB_2026,PeakWD,-1.095195
SIL_SILAS_9,FEB_2026,PeakWD,2.522360
MGSES_CT123,FEB_2026,PeakWD,-5.271049
ANSON1_ALL,FEB_2026,PeakWD,-2.827079
SGM_SIGNALMT,FEB_2026,PeakWD,-10.525496
CANYONWD_ALL,FEB_2026,PeakWD,-3.986822
SIL_SILAS_6,FEB_2026,PeakWD,2.522360
A4_DGR2_RN,FEB_2026,PeakWD,-6.710709
DOWGEN_PUN6,FEB_2026,PeakWD,-1.095195
PRSPERO2_ALL,FEB_2026,PeakWD,-11.091950
BRP_SWNY_RN,FEB_2026,PeakWD,-1.977258
FAULKNER_RN,FEB_2026,PeakWD,-12.445196
BRTSW_BCW1,FEB_2026,PeakWD,-3.010124
BCK_RN,FEB_2026,PeakWD,-1.084745
WEBBER_WS_T1,FEB_2026,PeakWD,-6.118147
TRINITY_ALL,FEB_2026,PeakWD,-2.412034
COTULLA_RN,FEB_2026,PeakWD,-7.547877
HEARN_RD_RN,FEB_2026,PeakWD,1.229329
SANTACRU_ALL,FEB_2026,PeakWD,2.257497
DDPEC_GT6,FEB_2026,PeakWD,-3.068285
PAVLOV_BT_RN,FEB_2026,PeakWD,-3.629503
EBELLS_UNIT1,FEB_2026,PeakWD,-3.669107
DDPEC_GT1,FEB_2026,PeakWD,-3.068285
DDPEC_GT4,FEB_2026,PeakWD,-3.068285
DDPEC_GT2,FEB_2026,PeakWD,-3.068285
DDPEC_GT3,FEB_2026,PeakWD,-3.068285
PCT_RN,FEB_2026,PeakWD,-0.234136
FOXTROT_ALL,FEB_2026,PeakWD,2.515722
PSA_PUN4,FEB_2026,PeakWD,-3.539733
PSA_PUN5,FEB_2026,PeakWD,-3.485177
ELMCRK_RN,FEB_2026,PeakWD,-10.566360
PSA_PUN2,FEB_2026,PeakWD,-3.485177
PSA_PUN3,FEB_2026,PeakWD,-3.541605
JUNO_ALL,FEB_2026,PeakWD,-5.759622
