DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-225.2,225.2,Hard Constraint,SW_BLNG5,JAN_2026,Off-peak,1578.36
10018 CARTVLR 23853 SU_EILA 2,Line,From - To,225.2,225.2,Hard Constraint,SW_BLNG5,JAN_2026,PeakWD,1080.31
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-195.3,195.3,Hard Constraint,DMOSME25,JAN_2026,Off-peak,4096.6
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-195.3,195.3,Hard Constraint,DWLFMET5,JAN_2026,PeakWD,1811.62
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-195.3,195.3,Hard Constraint,DWLFMET5,JAN_2026,PeakWE,563.46
1019 MOSS_8 1129 WESTOVER 1,Line,From - To,372.6,372.6,Hard Constraint,SODNOD38,JAN_2026,Off-peak,178.87
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,372.6,372.6,Hard Constraint,DODEMOS5,JAN_2026,PeakWD,508.78
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,372.6,372.6,Hard Constraint,DODEMOS5,JAN_2026,PeakWE,112.85
1027 ODESEHV_ 18545 REITER_ 2,Line,From - To,225.2,225.2,Hard Constraint,DMOSME25,JAN_2026,Off-peak,1495.73
1027 ODESEHV_ 18545 REITER_ 2,Line,From - To,225.2,225.2,Hard Constraint,DWLFMET5,JAN_2026,Off-peak,15847.31
1027 ODESEHV_ 18545 REITER_ 2,Line,From - To,225.2,225.2,Hard Constraint,DMOSME25,JAN_2026,PeakWD,3843.88
1027 ODESEHV_ 18545 REITER_ 2,Line,From - To,225.2,225.2,Hard Constraint,DWLFMET5,JAN_2026,PeakWD,6792.46
1027 ODESEHV_ 18545 REITER_ 2,Line,From - To,225.2,225.2,Hard Constraint,DMOSME25,JAN_2026,PeakWE,1878.94
1027 ODESEHV_ 18545 REITER_ 2,Line,From - To,225.2,225.2,Hard Constraint,DWLFMET5,JAN_2026,PeakWE,982.86
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1516.6,1516.6,Hard Constraint,DMGSBIT5,JAN_2026,Off-peak,375.06
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1516.6,1516.6,Hard Constraint,DMGSBTR5,JAN_2026,Off-peak,327.18
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1516.6,1516.6,Hard Constraint,DMGSBIT5,JAN_2026,PeakWD,53.93
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1516.6,1516.6,Hard Constraint,DMGSBTR5,JAN_2026,PeakWD,239.42
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1516.6,1516.6,Hard Constraint,DMGSBIT5,JAN_2026,PeakWE,18.71
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1516.6,1516.6,Hard Constraint,DMGSBTR5,JAN_2026,PeakWE,82.27
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1100.3,1100.3,Hard Constraint,SW_BW_25,JAN_2026,Off-peak,163.46
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1100.3,1100.3,Hard Constraint,SW_BW_25,JAN_2026,PeakWD,0.03
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1238.5,1238.5,Hard Constraint,SCATMGS5,JAN_2026,Off-peak,8032.5
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1213.6,1213.6,Hard Constraint,SCATMGS5,JAN_2026,PeakWD,4022.57
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1206.7,1206.7,Hard Constraint,SCATMGS5,JAN_2026,PeakWE,2106.96
1064 SUN_8 1067 GOLDENSW 1,Line,To - From,-369.4,369.4,Hard Constraint,DMTSCOS5,JAN_2026,PeakWD,9.73
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-458.1,458.1,Hard Constraint,,JAN_2026,PeakWD,35.82
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-458.1,458.1,Hard Constraint,,JAN_2026,PeakWE,6.65
1101 EDWARDS_ 1110 EDWARD_T 1,Line,To - From,-130.5,130.5,Hard Constraint,DWLFMET5,JAN_2026,PeakWD,686.8
1101 EDWARDS_ 1110 EDWARD_T 1,Line,To - From,-130.5,130.5,Hard Constraint,DWLFMET5,JAN_2026,PeakWE,233.37
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,372.6,372.6,Hard Constraint,DODEMOS5,JAN_2026,Off-peak,872.61
11149 HOWDEN_ 11362 FLOWRGR 1,Line,To - From,-130.5,130.5,Hard Constraint,SBSPBUZ8,JAN_2026,PeakWD,440.62
11149 HOWDEN_ 11362 FLOWRGR 1,Line,To - From,-130.5,130.5,Hard Constraint,STRBCGR8,JAN_2026,PeakWD,285.43
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-384.3,384.3,Hard Constraint,DODEMOS5,JAN_2026,Off-peak,692.36
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-384.3,384.3,Hard Constraint,DODEMOS5,JAN_2026,PeakWD,852.32
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-384.3,384.3,Hard Constraint,DODEMOS5,JAN_2026,PeakWE,248.8
116 SALTY 13430 SAND_TX 1,Line,To - From,-430.2,430.2,Hard Constraint,DSALHUT5,JAN_2026,Off-peak,94.31
116 SALTY 13430 SAND_TX 1,Line,To - From,-430.2,430.2,Hard Constraint,DSALHUT5,JAN_2026,PeakWE,5.43
12527 FRMVLWS 37291 TNFRMRS 1,Line,From - To,216.0,216.0,Hard Constraint,DALNANA8,JAN_2026,PeakWD,67.74
12527 FRMVLWS 37291 TNFRMRS 1,Line,From - To,216.0,216.0,Hard Constraint,DALNANA8,JAN_2026,PeakWE,17.87
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,212.8,212.8,Hard Constraint,SW_LVLT5,JAN_2026,Off-peak,5030.62
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,209.5,209.5,Hard Constraint,SW_LVLT5,JAN_2026,PeakWD,3638.92
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,209.2,209.2,Hard Constraint,SW_LVLT5,JAN_2026,PeakWE,1415.05
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-179.1,179.1,Hard Constraint,DMTSCOS5,JAN_2026,Off-peak,303.59
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-179.1,179.1,Hard Constraint,DMTSCOS5,JAN_2026,PeakWD,244.44
1309 BLUFCKTA 1310 KNAPP_8 1,Line,To - From,-190.8,190.8,Hard Constraint,DMTSCOS5,JAN_2026,Off-peak,270.02
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,190.8,190.8,Hard Constraint,SECRDMT8,JAN_2026,Off-peak,973.17
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,190.8,190.8,Hard Constraint,SECRDMT8,JAN_2026,PeakWD,3251.19
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,190.8,190.8,Hard Constraint,SECRDMT8,JAN_2026,PeakWE,1112.93
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,DMTSCOS5,JAN_2026,Off-peak,13648.77
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,DMTSCOS5,JAN_2026,PeakWD,12803.88
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,XWLV258,JAN_2026,PeakWD,433.2
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,DMTSCOS5,JAN_2026,PeakWE,4330.94
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-190.8,190.8,Hard Constraint,XWLV258,JAN_2026,PeakWE,1125.58
1318 CHINAGRV 10119 TRIBUTA 1,Line,From - To,190.8,190.8,Hard Constraint,SW_LVLT5,JAN_2026,Off-peak,7390.64
1318 CHINAGRV 10119 TRIBUTA 1,Line,From - To,190.8,190.8,Hard Constraint,SW_LVLT5,JAN_2026,PeakWD,2478.5
1318 CHINAGRV 10119 TRIBUTA 1,Line,From - To,190.8,190.8,Hard Constraint,SW_LVLT5,JAN_2026,PeakWE,1656.71
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,195.3,195.3,Hard Constraint,XEI258,JAN_2026,Off-peak,896.02
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,195.3,195.3,Hard Constraint,XEI258,JAN_2026,PeakWD,687.69
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,195.3,195.3,Hard Constraint,XEI258,JAN_2026,PeakWE,331.81
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-195.3,195.3,Hard Constraint,SMCDNAV8,JAN_2026,Off-peak,86.71
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-195.3,195.3,Hard Constraint,SMCDNAV8,JAN_2026,PeakWD,106.31
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-195.3,195.3,Hard Constraint,SMCDNAV8,JAN_2026,PeakWE,22.63
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-194.4,194.4,Hard Constraint,SMCDNAV8,JAN_2026,Off-peak,2106.56
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-194.4,194.4,Hard Constraint,SMCDNAV8,JAN_2026,PeakWD,682.79
