SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,JAN_2026,PeakWD,-18.339862
LMWD_SLR_RN,JAN_2026,PeakWD,-5.103827
DSWL_BES1,JAN_2026,PeakWD,-8.243405
HRNT_SLR_RN,JAN_2026,PeakWD,-0.691105
WRSBES_BESS1,JAN_2026,PeakWD,-18.671067
SBEAN_BESS,JAN_2026,PeakWD,-18.413432
REDBARN_RN,JAN_2026,PeakWD,-16.790827
VISION_RN,JAN_2026,PeakWD,-6.900550
GRIF_TRL_RN,JAN_2026,PeakWD,-3.649956
PERE_SLR_RN,JAN_2026,PeakWD,1.251172
VIC_VICTORG6,JAN_2026,PeakWD,-1.585295
VIC_VICTORG5,JAN_2026,PeakWD,-1.585295
MYR_ALL,JAN_2026,PeakWD,-2.510562
CEDROHI_CHW1,JAN_2026,PeakWD,3.294872
HAMI_BESS_RN,JAN_2026,PeakWD,-19.214350
CMPD_SLR_RN,JAN_2026,PeakWD,1.870527
BRP_ZPT1_RN,JAN_2026,PeakWD,-3.592898
N_MRD_ESR_RN,JAN_2026,PeakWD,-2.949549
HARLIN_1_RN,JAN_2026,PeakWD,-3.770064
SPNC_SPNCE_5,JAN_2026,PeakWD,-2.436864
RIOG_ESR2_RN,JAN_2026,PeakWD,-0.609616
VORT_ALL_RN,JAN_2026,PeakWD,-4.233778
SPNC_SPNCE_4,JAN_2026,PeakWD,-2.436864
SAN_SANMIGG1,JAN_2026,PeakWD,-3.600254
SC2SES_UNIT1,JAN_2026,PeakWD,-6.776997
MCLNSLR_RN,JAN_2026,PeakWD,-11.373801
CBECII_CT7,JAN_2026,PeakWD,-1.397897
WILDWIND_ALL,JAN_2026,PeakWD,-6.553561
MU_RN,JAN_2026,PeakWD,-3.331486
TGCCS_ALL,JAN_2026,PeakWD,-6.807284
HB_NORTH,JAN_2026,PeakWD,-6.970000
COTPLNS_RN,JAN_2026,PeakWD,-0.813993
SIG_SLR_RN,JAN_2026,PeakWD,-8.161857
CISC_RN,JAN_2026,PeakWD,-11.278714
TYSN_SLR_RN,JAN_2026,PeakWD,-6.971082
CALAVER_JKS2,JAN_2026,PeakWD,-14.843836
CALAVER_JKS1,JAN_2026,PeakWD,-14.843836
FALFUR_RN2,JAN_2026,PeakWD,0.924433
FORTMA_RN,JAN_2026,PeakWD,-12.202423
