CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
135157113,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWE,40.0,0.53
135157114,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWE,40.0,0.53
135157115,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWE,40.0,0.53
135157116,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWE,40.0,0.53
135157117,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,PeakWE,271.8,5.573333
135157118,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,PeakWE,269.5,5.573333
135157119,XAEN,STP_STP_G1,LZ_AEN,OPT,PeakWE,196.6,10.764666
135157120,XAEN,STP_STP_G2,LZ_AEN,OPT,PeakWE,194.6,10.764666
135157220,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWE,35.0,10.117615
135157221,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,PeakWE,35.0,10.117615
135157222,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWE,35.0,10.117615
135157223,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,PeakWE,20.0,16.127046
135157224,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,PeakWE,38.0,16.127046
135157228,XBTU,ATK_ATKINSG7,LZ_NORTH,OPT,PeakWE,14.0,3.018151
135157229,XBTU,DANSBY_ALL,LZ_NORTH,OPT,PeakWE,82.0,2.996788
135157283,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWE,164.0,3.508556
135157284,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,PeakWE,97.4,3.508556
135157285,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWE,184.0,3.508556
135157289,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,PeakWE,560.0,2.376023
135157290,XCPSE,CALAVER_OWS1,LZ_CPS,OPT,PeakWE,210.1,0.361644
135157291,XCPSE,CALAVER_OWS2,LZ_CPS,OPT,PeakWE,204.9,0.361644
135157292,XCPSE,STP_STP_G1,LZ_CPS,OPT,PeakWE,362.0,10.698951
135157293,XCPSE,STP_STP_G2,LZ_CPS,OPT,PeakWE,358.4,10.698951
135157299,XGAR,OLIN_OLING_3,LZ_NORTH,OPT,PeakWE,146.0,0.933245
135157307,XGEUS,STEA_STEAM_1,LZ_NORTH,OPT,PeakWE,10.7,0.954961
135157308,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,PeakWE,13.0,0.905221
135157309,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,PeakWE,30.0,0.905221
135157386,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWE,8.6,2.403294
135157298,XGAR,OLIN_OLING_2,LZ_NORTH,OPT,PeakWE,107.0,0.933245
135157385,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWE,4.2,2.89575
135157387,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWE,8.6,2.403294
135157388,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWE,9.1,2.403294
135157389,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,PeakWE,198.1,7.0
135157390,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,PeakWE,196.5,7.0
135157391,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,PeakWE,286.7,6.995204
135157392,XLCRA,GID_GIDEONG1,LZ_LCRA,OPT,PeakWE,20.0,4.0
135157393,XLCRA,GID_GIDEONG2,LZ_LCRA,OPT,PeakWE,20.0,4.0
135157394,XLCRA,GID_GIDEONG3,LZ_LCRA,OPT,PeakWE,60.0,4.683902
135157395,XLCRA,INKS_INKS_G1,LZ_LCRA,OPT,PeakWE,8.0,2.588846
135157396,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,PeakWE,53.7,5.591408
135157397,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,PeakWE,53.7,5.591408
135157398,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,PeakWE,59.4,5.591408
135157399,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWE,13.7,2.354726
135157400,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWE,13.1,2.354726
135157401,XLCRA,MAR_MARSFOG1,LZ_LCRA,OPT,PeakWE,23.6,2.577968
135157402,XLCRA,MAR_MARSFOG2,LZ_LCRA,OPT,PeakWE,23.6,2.566695
135157403,XLCRA,MAR_MARSFOG3,LZ_LCRA,OPT,PeakWE,19.0,2.607968
135157432,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,PeakWE,33.0,6.54918
135157433,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,PeakWE,33.0,6.54918
135157434,XSTEC,FAL_FALCONG1,LZ_SOUTH,OPT,PeakWE,10.5,10.921592
135157435,XSTEC,FAL_FALCONG2,LZ_SOUTH,OPT,PeakWE,10.5,10.921592
135157436,XSTEC,FAL_FALCONG3,LZ_SOUTH,OPT,PeakWE,10.5,10.921592
135157437,XSTEC,NED_NEDIN_G1,LZ_SOUTH,OPT,PeakWE,218.1,10.577887
135157438,XSTEC,NED_NEDIN_G2,LZ_SOUTH,OPT,PeakWE,218.1,10.577887
135157439,XSTEC,NED_NEDIN_G3,LZ_SOUTH,OPT,PeakWE,239.4,11.403329
135157440,XSTEC,SAN_SANMIGG1,LZ_SOUTH,OPT,PeakWE,195.5,6.66864
135157443,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWE,15.7,1.191229
135157444,XETEC,DENISON_G1_2,LZ_NORTH,OPT,PeakWE,15.7,1.191229
135158532,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,0.702315
135158533,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,0.702315
135158534,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,0.702315
135158535,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,0.702315
135166561,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,30.0,0.057442
135166562,XAEN,DECKER_GT,LZ_AEN,OPT,Off-peak,30.0,0.057442
135166563,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,Off-peak,271.8,0.399761
135166564,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,Off-peak,269.5,0.399761
135166565,XAEN,STP_STP_G1,LZ_AEN,OPT,Off-peak,196.6,1.260755
135166566,XAEN,STP_STP_G2,LZ_AEN,OPT,Off-peak,194.6,1.260755
135166689,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,4.488246
135166690,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,Off-peak,35.0,4.488246
135166691,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,4.488246
135166692,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,Off-peak,20.0,5.275976
135166693,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,Off-peak,38.0,5.275976
135166729,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,147.1,0.49805
135166730,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,Off-peak,116.1,0.49805
135166731,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,167.1,0.49805
135166732,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,Off-peak,560.0,0.518882
135166733,XCPSE,STP_STP_G1,LZ_CPS,OPT,Off-peak,362.0,2.16751
135166734,XCPSE,STP_STP_G2,LZ_CPS,OPT,Off-peak,358.4,2.16751
135166791,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,Off-peak,198.1,0.647849
135166792,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,Off-peak,196.5,0.647849
135166793,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,Off-peak,286.7,0.647998
135166794,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,Off-peak,53.7,0.538667
135166795,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,Off-peak,53.7,0.538667
135166796,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,Off-peak,59.4,0.538667
135166833,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,Off-peak,33.0,3.035356
135166834,XSTEC,AMISTAD_ALL,LZ_SOUTH,OPT,Off-peak,33.0,3.035356
135166835,XSTEC,FAL_FALCONG1,LZ_SOUTH,OPT,Off-peak,10.5,8.19004
135166836,XSTEC,FAL_FALCONG2,LZ_SOUTH,OPT,Off-peak,10.5,8.19004
135166837,XSTEC,FAL_FALCONG3,LZ_SOUTH,OPT,Off-peak,10.5,8.19004
135166838,XSTEC,NED_NEDIN_G1,LZ_SOUTH,OPT,Off-peak,218.1,4.516254
135166839,XSTEC,NED_NEDIN_G2,LZ_SOUTH,OPT,Off-peak,218.1,4.516254
135166840,XSTEC,NED_NEDIN_G3,LZ_SOUTH,OPT,Off-peak,239.4,5.002948
135166841,XSTEC,SAN_SANMIGG1,LZ_SOUTH,OPT,Off-peak,195.5,1.213889
135166847,XETEC,DENISON_G1_2,LZ_NORTH,OPT,Off-peak,15.7,0.383153
135166848,XETEC,DENISON_G1_2,LZ_NORTH,OPT,Off-peak,15.7,0.383153
135167036,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,PeakWD,271.8,7.41993
135167037,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,PeakWD,269.5,7.41993
135167038,XAEN,STP_STP_G1,LZ_AEN,OPT,PeakWD,196.6,13.371166
135167039,XAEN,STP_STP_G2,LZ_AEN,OPT,PeakWD,194.6,13.371166
135167178,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,12.059773
135167179,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,PeakWD,35.0,12.059773
135167180,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,12.059773
135167181,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,PeakWD,20.0,18.213666
135167182,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,PeakWD,38.0,18.213666
135167187,XBTU,ATK_ATKINSG7,LZ_NORTH,OPT,PeakWD,18.0,3.6449
135167188,XBTU,DANSBY_ALL,LZ_NORTH,OPT,PeakWD,107.0,3.913257
