DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-191.7,191.7,Hard Constraint,DCONLNG5,JUL_2025,PeakWD,472.24
10018 CARTVLR 23853 SU_EILA 2,Line,From - To,191.7,191.7,Hard Constraint,DCONLNG5,JUL_2025,Off-peak,298.86
10018 CARTVLR 23853 SU_EILA 2,Line,From - To,191.7,191.7,Hard Constraint,DCONLNG5,JUL_2025,PeakWE,222.26
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-166.5,166.5,Hard Constraint,DWLFMET5,JUL_2025,Off-peak,524.93
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-166.5,166.5,Hard Constraint,DMOSME25,JUL_2025,PeakWD,216.55
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-166.5,166.5,Hard Constraint,DWLFMET5,JUL_2025,PeakWE,55.61
1019 MOSS_8 11128 SHINOAK 2,Line,From - To,189.0,189.0,Hard Constraint,DWLFMET5,JUL_2025,Off-peak,5357.17
1019 MOSS_8 11128 SHINOAK 2,Line,From - To,189.0,189.0,Hard Constraint,DMOSME25,JUL_2025,PeakWD,1264.33
1019 MOSS_8 11128 SHINOAK 2,Line,From - To,189.0,189.0,Hard Constraint,DMOSME25,JUL_2025,PeakWE,326.58
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DWLFMET5,JUL_2025,Off-peak,368.06
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DMOSME25,JUL_2025,PeakWD,41.23
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DWLFMET5,JUL_2025,PeakWE,1.98
1025 FSCOGEN_ 10062 ROCKHOU 1,Line,From - To,958.4,958.4,Hard Constraint,DCONLNG5,JUL_2025,Off-peak,62.81
1030 MRGNCRK_ 1058 LONGSHOR 1,Line,From - To,958.5,958.5,Hard Constraint,SW_BW_25,JUL_2025,PeakWD,0.37
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,958.5,958.5,Hard Constraint,DBAKCED5,JUL_2025,Off-peak,4772.11
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,958.5,958.5,Hard Constraint,DBAKCED5,JUL_2025,PeakWD,688.36
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,958.5,958.5,Hard Constraint,DNOETWE5,JUL_2025,PeakWD,81.57
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,958.5,958.5,Hard Constraint,SCONMGS5,JUL_2025,PeakWE,448.84
1074 WINKSS_8 18692 WHITEDU 2,Line,From - To,353.9,353.9,Hard Constraint,SARYYUC8,JUL_2025,PeakWE,8.71
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-435.6,435.6,Hard Constraint,DBAKCED5,JUL_2025,PeakWD,30.6
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-435.6,435.6,Hard Constraint,DWAP_OB5,JUL_2025,PeakWE,13.33
1097 CULBERSO 7389 L_PINNAC 1,Line,From - To,435.6,435.6,Hard Constraint,DWLFYUC8,JUL_2025,PeakWE,0.79
11080 THRMIDR 11083 RIVERTO 1,Line,To - From,-551.7,551.7,Hard Constraint,DHSPOMP8,JUL_2025,Off-peak,2.4
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,551.7,551.7,Hard Constraint,SSL2CED8,JUL_2025,PeakWD,2.1
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,551.7,551.7,Hard Constraint,SSL2CED8,JUL_2025,PeakWE,4.17
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,353.7,353.7,Hard Constraint,DODEMOS5,JUL_2025,PeakWE,6.98
11182 MCLLVAI 38105 TNSANDL 1,Line,From - To,217.8,217.8,Hard Constraint,DTMDCRK8,JUL_2025,Off-peak,5.77
11182 MCLLVAI 38105 TNSANDL 1,Line,From - To,217.8,217.8,Hard Constraint,DTMDCRK8,JUL_2025,PeakWD,4.19
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-364.5,364.5,Hard Constraint,DODEMOS5,JUL_2025,Off-peak,790.59
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-364.5,364.5,Hard Constraint,DODEMOS5,JUL_2025,PeakWD,515.29
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-364.5,364.5,Hard Constraint,DODEMOS5,JUL_2025,PeakWE,102.19
1140 SHARBAUE 11211 TURNBAU 1,Line,To - From,-166.5,166.5,Hard Constraint,DMOSME25,JUL_2025,PeakWD,4.07
11550 TOWERON 11582 BENNETT 1,Line,From - To,36.0,36.0,Hard Constraint,SHPWJOH9,JUL_2025,PeakWE,9.61
11688 THORNTR 11700 SALTILL 1,Line,From - To,958.5,958.5,Hard Constraint,SFMRCYC5,JUL_2025,PeakWD,8.55
11688 THORNTR 11700 SALTILL 1,Line,From - To,958.5,958.5,Hard Constraint,SFMRCYC5,JUL_2025,PeakWE,26.41
11807 GOBERSW 11808 LORING_ 1,Line,From - To,185.4,185.4,Hard Constraint,XVLS58,JUL_2025,Off-peak,0.98
11808 LORING_ 11809 COPPERH 1,Line,From - To,185.7,185.7,Hard Constraint,DVLSPAC5,JUL_2025,PeakWE,10.66
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,166.5,166.5,Hard Constraint,DWLDSCO5,JUL_2025,Off-peak,3278.69
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,166.5,166.5,Hard Constraint,DWLDSCO5,JUL_2025,PeakWD,2208.14
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,166.5,166.5,Hard Constraint,DWLDSCO5,JUL_2025,PeakWE,556.16
1304 DEEPCRK_ 1311 SACROC_8 1,Line,From - To,166.5,166.5,Hard Constraint,SECRDMT8,JUL_2025,PeakWD,34.98
1305 SNYDER_8 1318 CHINAGRV 1,Line,To - From,-166.5,166.5,Hard Constraint,SECRDMT8,JUL_2025,PeakWD,513.5
1305 SNYDER_8 1318 CHINAGRV 1,Line,To - From,-166.5,166.5,Hard Constraint,SECRDMT8,JUL_2025,PeakWE,89.82
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,166.5,166.5,Hard Constraint,SECRDMT8,JUL_2025,PeakWE,143.15
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-166.5,166.5,Hard Constraint,DMTSCOS5,JUL_2025,Off-peak,16194.29
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-166.5,166.5,Hard Constraint,DMTSCOS5,JUL_2025,PeakWD,10748.34
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-166.5,166.5,Hard Constraint,SWLVW_F5,JUL_2025,PeakWD,276.08
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-166.5,166.5,Hard Constraint,DMTSCOS5,JUL_2025,PeakWE,4658.1
1313 ENISCKTA 1315 BRAND_8 1,Line,From - To,353.7,353.7,Hard Constraint,DMTSCOS5,JUL_2025,PeakWD,22.47
1313 ENISCKTA 1315 BRAND_8 1,Line,From - To,353.7,353.7,Hard Constraint,DMTSCOS5,JUL_2025,PeakWE,101.05
13142 TYLERSW 13235 CHANDLE 1,Line,From - To,28.8,28.8,Hard Constraint,DTRCTYG5,JUL_2025,Off-peak,65.59
13142 TYLERSW 13235 CHANDLE 1,Line,From - To,28.8,28.8,Hard Constraint,DMLSENT5,JUL_2025,PeakWD,16.51
13142 TYLERSW 13235 CHANDLE 1,Line,From - To,28.8,28.8,Hard Constraint,DTRSENT5,JUL_2025,PeakWD,10526.06
13142 TYLERSW 13235 CHANDLE 1,Line,From - To,28.8,28.8,Hard Constraint,DTRSENT5,JUL_2025,PeakWE,1792.74
1319 CHINAGRV 1378 COLOCITY 1,Line,From - To,37.8,37.8,Hard Constraint,XRGR89,JUL_2025,Off-peak,582.35
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,185.4,185.4,Hard Constraint,DSALHUT5,JUL_2025,PeakWD,44019.02
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,185.4,185.4,Hard Constraint,DSALHUT5,JUL_2025,PeakWE,12853.74
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,XBSP89,JUL_2025,Off-peak,170.49
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,DCONLNG5,JUL_2025,PeakWD,30.3
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,166.5,166.5,Hard Constraint,XEI258,JUL_2025,Off-peak,34.4
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,166.5,166.5,Hard Constraint,XEI258,JUL_2025,PeakWD,99.68
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,JUL_2025,Off-peak,2.01
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,JUL_2025,PeakWD,243.7
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,JUL_2025,PeakWE,44.64
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,JUL_2025,PeakWD,374.01
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,JUL_2025,PeakWE,29.73
1380 PLOWBOY_ 1381 SWEETWTR 1,Line,To - From,-37.8,37.8,Hard Constraint,SOKLABM5,JUL_2025,PeakWD,167.2
1380 PLOWBOY_ 1381 SWEETWTR 1,Line,To - From,-37.8,37.8,Hard Constraint,SFLNBHI9,JUL_2025,PeakWE,40.55
1430 GRHAMSES 17002 GARVEYR 1,Line,To - From,-927.9,927.9,Hard Constraint,SBOMJC25,JUL_2025,Off-peak,2.61
1430 GRHAMSES 17002 GARVEYR 1,Line,To - From,-927.9,927.9,Hard Constraint,SBOMJC25,JUL_2025,PeakWE,44.36
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,161.1,161.1,Hard Constraint,XCMB58,JUL_2025,PeakWD,4566.88
1441 COMCHESS 1650 COMANCHE 1,Line,From - To,161.1,161.1,Hard Constraint,XCMB58,JUL_2025,PeakWE,1179.8
