SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,JUL_2025,PeakWD,-10.600051
DSWL_BES1,JUL_2025,PeakWD,-6.403140
HRNT_SLR_RN,JUL_2025,PeakWD,-2.551527
WRSBES_BESS1,JUL_2025,PeakWD,-10.698657
VISION_RN,JUL_2025,PeakWD,-6.434992
PERE_SLR_RN,JUL_2025,PeakWD,8.723014
VIC_VICTORG6,JUL_2025,PeakWD,4.025212
SBEAN_BESS,JUL_2025,PeakWD,-10.550147
REDBARN_RN,JUL_2025,PeakWD,-10.092020
GRIF_TRL_RN,JUL_2025,PeakWD,-3.541751
VIC_VICTORG5,JUL_2025,PeakWD,4.025212
MYR_ALL,JUL_2025,PeakWD,-5.780724
CEDROHI_CHW1,JUL_2025,PeakWD,11.164795
HAMI_BESS_RN,JUL_2025,PeakWD,-12.846341
CMPD_SLR_RN,JUL_2025,PeakWD,0.208375
BRP_ZPT1_RN,JUL_2025,PeakWD,-2.011774
N_MRD_ESR_RN,JUL_2025,PeakWD,-4.392218
SPNC_SPNCE_5,JUL_2025,PeakWD,-7.359894
RIOG_ESR2_RN,JUL_2025,PeakWD,-1.023230
VORT_ALL_RN,JUL_2025,PeakWD,-3.795916
SPNC_SPNCE_4,JUL_2025,PeakWD,-7.359894
SAN_SANMIGG1,JUL_2025,PeakWD,3.313659
SC2SES_UNIT1,JUL_2025,PeakWD,-6.441790
MCLNSLR_RN,JUL_2025,PeakWD,-6.068669
CBECII_CT7,JUL_2025,PeakWD,-0.941685
WILDWIND_ALL,JUL_2025,PeakWD,-6.943305
MU_RN,JUL_2025,PeakWD,-9.410397
TGCCS_ALL,JUL_2025,PeakWD,-6.406089
HB_NORTH,JUL_2025,PeakWD,-6.252928
COTPLNS_RN,JUL_2025,PeakWD,-2.660863
SIG_SLR_RN,JUL_2025,PeakWD,-7.564669
CISC_RN,JUL_2025,PeakWD,-20.030911
TYSN_SLR_RN,JUL_2025,PeakWD,-5.855282
CALAVER_JKS2,JUL_2025,PeakWD,-11.023545
CALAVER_JKS1,JUL_2025,PeakWD,-11.023545
FALFUR_RN2,JUL_2025,PeakWD,6.050154
FORTMA_RN,JUL_2025,PeakWD,-10.554995
CALAVER_JTD2,JUL_2025,PeakWD,-10.232482
CALAVER_JTD1,JUL_2025,PeakWD,-10.232482
HHGT_KENDAL,JUL_2025,PeakWD,-7.870797
BRPMAGNO_RN,JUL_2025,PeakWD,-10.605979
PEARSALL_RN,JUL_2025,PeakWD,-0.914788
LASSO_GEN,JUL_2025,PeakWD,-10.481721
LGE_LGE_GT2,JUL_2025,PeakWD,8.411311
LGE_LGE_GT1,JUL_2025,PeakWD,8.411311
