CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
135156563,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,1.248224
135156564,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,1.248224
135156565,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,1.248224
135156566,XAEN,DECKER_GT,LZ_AEN,OPT,PeakWD,45.0,1.248224
135156567,XAEN,FPPYD_FPP_G1,LZ_AEN,OPT,PeakWD,302.0,7.496016
135156568,XAEN,FPPYD_FPP_G2,LZ_AEN,OPT,PeakWD,299.5,7.496016
135156569,XAEN,STP_STP_G1,LZ_AEN,OPT,PeakWD,206.9,13.913793
135156570,XAEN,STP_STP_G2,LZ_AEN,OPT,PeakWD,204.8,13.913793
135156694,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,17.540111
135156695,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,PeakWD,35.0,17.540111
135156696,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,PeakWD,35.0,17.540111
135156697,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,PeakWD,20.0,20.996957
135156698,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,PeakWD,38.0,20.996957
135156710,XBTU,ATK_ATKINSG7,LZ_NORTH,OPT,PeakWD,15.0,3.268548
135156711,XBTU,DANSBY_ALL,LZ_NORTH,OPT,PeakWD,100.0,3.335588
135156770,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWD,164.0,3.703538
135156771,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,PeakWD,137.5,3.703538
135156772,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,PeakWD,184.0,3.703538
135156776,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,PeakWD,560.0,3.675475
135156777,XCPSE,CALAVER_OWS1,LZ_CPS,OPT,PeakWD,210.5,0.568241
135156778,XCPSE,CALAVER_OWS2,LZ_CPS,OPT,PeakWD,204.5,0.568241
135156779,XCPSE,STP_STP_G1,LZ_CPS,OPT,PeakWD,362.0,11.79442
135156780,XCPSE,STP_STP_G2,LZ_CPS,OPT,PeakWD,358.4,11.79442
135156783,XGAR,OLIN_OLING_2,LZ_NORTH,OPT,PeakWD,107.0,1.236092
135156784,XGAR,OLIN_OLING_3,LZ_NORTH,OPT,PeakWD,146.0,1.236092
135156791,XGEUS,STEA_STEAM_1,LZ_NORTH,OPT,PeakWD,12.0,1.346306
135156792,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,PeakWD,16.0,1.257544
135156793,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,PeakWD,30.0,1.257544
135156897,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,1.6,3.553883
135156898,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,1.6,3.553883
135156899,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,4.1,2.947699
135156900,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,4.1,2.947699
135156901,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,4.5,2.947699
135156902,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,PeakWD,178.3,9.151105
135156903,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,PeakWD,176.8,9.151105
135156904,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,PeakWD,258.0,9.149084
135156905,XLCRA,GID_GIDEONG1,LZ_LCRA,OPT,PeakWD,34.0,7.0
135156906,XLCRA,GID_GIDEONG2,LZ_LCRA,OPT,PeakWD,34.0,7.0
135156907,XLCRA,GID_GIDEONG3,LZ_LCRA,OPT,PeakWD,102.0,7.0
135156908,XLCRA,INKS_INKS_G1,LZ_LCRA,OPT,PeakWD,7.3,4.251766
135156909,XLCRA,LOS_LOSTPGT1,LZ_LCRA,OPT,PeakWD,48.3,8.269182
135156910,XLCRA,LOS_LOSTPGT2,LZ_LCRA,OPT,PeakWD,48.3,8.269182
135156911,XLCRA,LOS_LOSTPST1,LZ_LCRA,OPT,PeakWD,53.5,8.269182
135156912,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,10.9,2.421343
135156913,XLCRA,MARBFA,LZ_LCRA,OPT,PeakWD,10.4,2.421343
135156914,XLCRA,MAR_MARSFOG1,LZ_LCRA,OPT,PeakWD,18.9,2.174033
