DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
10025 SAVANNA 23870 CANAL_R 1,Line,To - From,-191.7,191.7,Hard Constraint,SDRIMUD8,JUN_2025,PeakWE,1.22
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-166.5,166.5,Hard Constraint,DWLFMET5,JUN_2025,Off-peak,3447.31
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-166.5,166.5,Hard Constraint,DMOSME25,JUN_2025,PeakWD,1066.71
1013 WOLFSS_8 1103 SANDHLTA 1,Line,From - To,166.5,166.5,Hard Constraint,DTMDCRK8,JUN_2025,PeakWD,88.86
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-166.5,166.5,Hard Constraint,DWLFMET5,JUN_2025,PeakWE,199.72
1019 MOSS_8 11128 SHINOAK 2,Line,From - To,189.0,189.0,Hard Constraint,DWLFMET5,JUN_2025,Off-peak,3373.71
1019 MOSS_8 11128 SHINOAK 2,Line,From - To,189.0,189.0,Hard Constraint,DMOSME25,JUN_2025,PeakWD,2215.56
1019 MOSS_8 11128 SHINOAK 2,Line,From - To,189.0,189.0,Hard Constraint,DWLFMET5,JUN_2025,PeakWE,458.11
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DWLFMET5,JUN_2025,Off-peak,149.39
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DMOSME25,JUN_2025,PeakWD,48.53
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DWLFMET5,JUN_2025,PeakWE,31.87
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,353.7,353.7,Hard Constraint,DODEMOS5,JUN_2025,PeakWE,0.41
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,191.7,191.7,Hard Constraint,DMOSME25,JUN_2025,Off-peak,16040.52
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,191.7,191.7,Hard Constraint,DWLFMET5,JUN_2025,PeakWD,2010.64
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,191.7,191.7,Hard Constraint,DWLFMET5,JUN_2025,PeakWE,1333.55
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,958.5,958.5,Hard Constraint,SW_BW_25,JUN_2025,PeakWE,0.85
