SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,JUN_2025,PeakWD,-9.077245
DSWL_BES1,JUN_2025,PeakWD,-4.821128
WRSBES_BESS1,JUN_2025,PeakWD,-9.273097
REDBARN_RN,JUN_2025,PeakWD,-7.761016
VISION_RN,JUN_2025,PeakWD,-4.483554
GRIF_TRL_RN,JUN_2025,PeakWD,-1.161469
HRNT_SLR_RN,JUN_2025,PeakWD,2.648408
SBEAN_BESS,JUN_2025,PeakWD,-9.192836
PERE_SLR_RN,JUN_2025,PeakWD,8.240851
VIC_VICTORG6,JUN_2025,PeakWD,3.017564
VIC_VICTORG5,JUN_2025,PeakWD,3.017564
MYR_ALL,JUN_2025,PeakWD,-4.482132
CEDROHI_CHW1,JUN_2025,PeakWD,10.116771
HAMI_BESS_RN,JUN_2025,PeakWD,-8.530171
CMPD_SLR_RN,JUN_2025,PeakWD,1.079124
BRP_ZPT1_RN,JUN_2025,PeakWD,0.595661
N_MRD_ESR_RN,JUN_2025,PeakWD,-2.885434
SPNC_SPNCE_5,JUN_2025,PeakWD,-10.425290
RIOG_ESR2_RN,JUN_2025,PeakWD,-1.779478
VORT_ALL_RN,JUN_2025,PeakWD,-1.567487
SPNC_SPNCE_4,JUN_2025,PeakWD,-10.425290
SAN_SANMIGG1,JUN_2025,PeakWD,3.660337
SC2SES_UNIT1,JUN_2025,PeakWD,-4.443001
MCLNSLR_RN,JUN_2025,PeakWD,-4.305596
CBECII_CT7,JUN_2025,PeakWD,0.390533
WILDWIND_ALL,JUN_2025,PeakWD,-4.664809
MU_RN,JUN_2025,PeakWD,-8.355845
TGCCS_ALL,JUN_2025,PeakWD,-4.411415
HB_NORTH,JUN_2025,PeakWD,-4.358216
COTPLNS_RN,JUN_2025,PeakWD,2.262870
SIG_SLR_RN,JUN_2025,PeakWD,-5.534680
CISC_RN,JUN_2025,PeakWD,-12.094589
TYSN_SLR_RN,JUN_2025,PeakWD,-4.593800
CALAVER_JKS2,JUN_2025,PeakWD,-7.493526
CALAVER_JKS1,JUN_2025,PeakWD,-7.493526
FALFUR_RN2,JUN_2025,PeakWD,5.482091
FORTMA_RN,JUN_2025,PeakWD,-8.276928
CALAVER_JTD2,JUN_2025,PeakWD,-7.671649
CALAVER_JTD1,JUN_2025,PeakWD,-7.671649
HHGT_KENDAL,JUN_2025,PeakWD,-3.728373
BRPMAGNO_RN,JUN_2025,PeakWD,-8.002090
PEARSALL_RN,JUN_2025,PeakWD,-1.715596
LASSO_GEN,JUN_2025,PeakWD,-8.673194
LGE_LGE_GT2,JUN_2025,PeakWD,7.736354
LGE_LGE_GT1,JUN_2025,PeakWD,7.736354
RIPPEY_ALL,JUN_2025,PeakWD,-7.342742
SANDHSYD6_7,JUN_2025,PeakWD,-10.910146
BRP_PBL2_RN,JUN_2025,PeakWD,-7.398515
DC_R,JUN_2025,PeakWD,-0.843895
PAVO_ESS_ALL,JUN_2025,PeakWD,-8.528091
ESCONDID_ESR,JUN_2025,PeakWD,-6.304188
DC_N,JUN_2025,PeakWD,-1.182394
PISG_RN_ALL,JUN_2025,PeakWD,-4.544185
ALGOD_ALL_RN,JUN_2025,PeakWD,9.059082
DC_L,JUN_2025,PeakWD,12.346771
TNSKA_CCU,JUN_2025,PeakWD,-4.506461
VANCOURT_RN,JUN_2025,PeakWD,12.365157
LPCCS_UNIT1,JUN_2025,PeakWD,-4.467781
DC_E,JUN_2025,PeakWD,-4.759485
LPCCS_UNIT2,JUN_2025,PeakWD,-4.467781
NCARBID_PUN1,JUN_2025,PeakWD,1.979661
NCARBID_PUN2,JUN_2025,PeakWD,1.979781
CN_BRKS_UNT1,JUN_2025,PeakWD,2.404191
FAGUSSLR_RN,JUN_2025,PeakWD,0.873459
QALSW_ALL,JUN_2025,PeakWD,-8.049928
LZ_AEN,JUN_2025,PeakWD,-11.429107
WAP_WAPGT_1,JUN_2025,PeakWD,-7.386259
TXCTY_CTB,JUN_2025,PeakWD,-9.981579
TXCTY_CTC,JUN_2025,PeakWD,-9.981579
TORR_ALL,JUN_2025,PeakWD,11.267501
TXCTY_CTA,JUN_2025,PeakWD,-9.981579
REDFISH_ALL,JUN_2025,PeakWD,10.170707
PANDA_T2_ST1,JUN_2025,PeakWD,-2.760839
SWT_BESS_RN,JUN_2025,PeakWD,-11.456482
DECKER_GT,JUN_2025,PeakWD,-11.312990
OBERON_U1,JUN_2025,PeakWD,-8.868393
GRAN_SLR_RN,JUN_2025,PeakWD,-4.951253
MISAE_GEN_RN,JUN_2025,PeakWD,0.870795
N_AL_BESS_RN,JUN_2025,PeakWD,-9.435247
ANEM_ESS_RN,JUN_2025,PeakWD,10.586245
ASCK_SLR_RN,JUN_2025,PeakWD,-0.232358
LOWR_ESS_RN,JUN_2025,PeakWD,-12.614335
ZIER_SLR_ALL,JUN_2025,PeakWD,-7.570171
RSK_RN,JUN_2025,PeakWD,-4.416796
BAYC_BESS_RN,JUN_2025,PeakWD,-5.282132
WHCCS2_4,JUN_2025,PeakWD,-3.637429
RN_ECEC_HOLT,JUN_2025,PeakWD,-8.729661
BOSQ_BSQS_12,JUN_2025,PeakWD,-2.462514
FLTCK_SSI,JUN_2025,PeakWD,-9.558810
NED_NEDIN_G1,JUN_2025,PeakWD,1.431081
LONEWOLF_ALL,JUN_2025,PeakWD,-4.315595
NED_NEDIN_G2,JUN_2025,PeakWD,1.431081
NED_NEDIN_G3,JUN_2025,PeakWD,3.704727
BRISCOE_WIND,JUN_2025,PeakWD,1.967952
ELSAUZ_ALL,JUN_2025,PeakWD,18.295840
BOSQ_BSQSU_5,JUN_2025,PeakWD,-2.462514
RTLSNAKE_BT,JUN_2025,PeakWD,-9.298858
COTTON_PAP2,JUN_2025,PeakWD,7.709592
JUNCTION_RN,JUN_2025,PeakWD,-14.146809
HI_LONEB_RN1,JUN_2025,PeakWD,-5.566414
AZSP_SLR_RN,JUN_2025,PeakWD,-4.449436
TGS_GT01,JUN_2025,PeakWD,-5.502719
CRWN_SLR_UN1,JUN_2025,PeakWD,-2.075738
FERGCC_GT2_3,JUN_2025,PeakWD,-10.722231
MLSES_UNIT1,JUN_2025,PeakWD,-4.352202
MLSES_UNIT2,JUN_2025,PeakWD,-4.352202
MLSES_UNIT3,JUN_2025,PeakWD,-4.352202
ROW_ALL,JUN_2025,PeakWD,2.532686
MWEC_G1,JUN_2025,PeakWD,-6.513326
E_BLACK_RN,JUN_2025,PeakWD,-8.103973
