DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1019 MOSS_8 1113 ODESASW1 1,Line,To - From,-366.3,366.3,Hard Constraint,DODEMOS5,MAR_2026,Off-peak,6.23
1019 MOSS_8 1113 ODESASW1 1,Line,To - From,-366.3,366.3,Hard Constraint,DODEMOS5,MAR_2026,PeakWE,1.74
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,348.5,348.5,Hard Constraint,DWLFMET5,MAR_2026,Off-peak,196.79
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,348.5,348.5,Hard Constraint,DWLFMET5,MAR_2026,PeakWD,92.26
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,348.5,348.5,Hard Constraint,DMOSME25,MAR_2026,PeakWE,44.91
1019 MOSS_8 1292 ECTRHARP 1,Line,To - From,-348.5,348.5,Hard Constraint,SWLFECT8,MAR_2026,PeakWE,0.57
1019 MOSS_8 18663 RACEWAY 1,Line,To - From,-570.6,570.6,Hard Constraint,SRWYSOP8,MAR_2026,PeakWD,10.64
1027 ODESEHV_ 18545 REITER_ 3,Line,From - To,366.6,366.6,Hard Constraint,DODEMOS5,MAR_2026,Off-peak,370.96
1027 ODESEHV_ 18545 REITER_ 3,Line,From - To,366.6,366.6,Hard Constraint,DODEMOS5,MAR_2026,PeakWD,175.94
1027 ODESEHV_ 18545 REITER_ 3,Line,From - To,366.6,366.6,Hard Constraint,DODEMOS5,MAR_2026,PeakWE,83.08
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1483.3,1483.3,Hard Constraint,DMGSBIT5,MAR_2026,Off-peak,1399.59
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1483.3,1483.3,Hard Constraint,DMGSBTR5,MAR_2026,Off-peak,1066.33
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1483.3,1483.3,Hard Constraint,DMGSBIT5,MAR_2026,PeakWD,1047.54
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1483.3,1483.3,Hard Constraint,DMGSBTR5,MAR_2026,PeakWD,350.33
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1483.3,1483.3,Hard Constraint,DMGSBIT5,MAR_2026,PeakWE,535.61
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1483.3,1483.3,Hard Constraint,DMGSBTR5,MAR_2026,PeakWE,368.35
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1046.6,1046.6,Hard Constraint,SW_BW_25,MAR_2026,Off-peak,315.94
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1046.6,1046.6,Hard Constraint,SW_BW_25,MAR_2026,PeakWD,278.68
1058 LONGSHOR 10053 CATTLEM 4,Line,To - From,-1046.6,1046.6,Hard Constraint,SW_BW_25,MAR_2026,PeakWE,65.84
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1074.5,1074.5,Hard Constraint,DBAKCED5,MAR_2026,Off-peak,6128.34
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1074.5,1074.5,Hard Constraint,DBAKCED5,MAR_2026,PeakWD,2967.93
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1074.5,1074.5,Hard Constraint,DTWLCED5,MAR_2026,PeakWD,68.12
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1074.5,1074.5,Hard Constraint,DBAKCED5,MAR_2026,PeakWE,1086.47
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1074.5,1074.5,Hard Constraint,DTWLCED5,MAR_2026,PeakWE,101.89
1058 LONGSHOR 18548 PRAIRIL 1,Line,From - To,1074.5,1074.5,Hard Constraint,SBIGTWI5,MAR_2026,PeakWE,130.88
1074 WINKSS_8 18692 WHITEDU 2,Line,From - To,366.6,366.6,Hard Constraint,SARYYUC8,MAR_2026,Off-peak,260.48
