SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,MAR_2026,PeakWD,-4.958314
LMWD_SLR_RN,MAR_2026,PeakWD,2.057882
HRNT_SLR_RN,MAR_2026,PeakWD,8.934176
DSWL_BES1,MAR_2026,PeakWD,0.468432
WRSBES_BESS1,MAR_2026,PeakWD,-5.024151
SBEAN_BESS,MAR_2026,PeakWD,-4.894138
REDBARN_RN,MAR_2026,PeakWD,-4.750315
VISION_RN,MAR_2026,PeakWD,0.367502
GRIF_TRL_RN,MAR_2026,PeakWD,5.312578
PERE_SLR_RN,MAR_2026,PeakWD,1.536314
VIC_VICTORG6,MAR_2026,PeakWD,0.267069
VIC_VICTORG5,MAR_2026,PeakWD,0.267069
MYR_ALL,MAR_2026,PeakWD,-1.956367
CEDROHI_CHW1,MAR_2026,PeakWD,7.846080
HAMI_BESS_RN,MAR_2026,PeakWD,-10.173604
CMPD_SLR_RN,MAR_2026,PeakWD,10.926813
BRP_ZPT1_RN,MAR_2026,PeakWD,-3.441162
N_MRD_ESR_RN,MAR_2026,PeakWD,-3.424031
HARLIN_1_RN,MAR_2026,PeakWD,-3.882939
SPNC_SPNCE_5,MAR_2026,PeakWD,12.281591
RIOG_ESR2_RN,MAR_2026,PeakWD,-0.126072
VORT_ALL_RN,MAR_2026,PeakWD,4.715557
SPNC_SPNCE_4,MAR_2026,PeakWD,12.281591
SAN_SANMIGG1,MAR_2026,PeakWD,-0.176410
SC2SES_UNIT1,MAR_2026,PeakWD,0.351285
MCLNSLR_RN,MAR_2026,PeakWD,-6.858210
CBECII_CT7,MAR_2026,PeakWD,-0.700609
WILDWIND_ALL,MAR_2026,PeakWD,1.894770
MU_RN,MAR_2026,PeakWD,-3.886555
TGCCS_ALL,MAR_2026,PeakWD,0.375628
HB_NORTH,MAR_2026,PeakWD,0.677069
COTPLNS_RN,MAR_2026,PeakWD,8.545538
SIG_SLR_RN,MAR_2026,PeakWD,-0.422181
CISC_RN,MAR_2026,PeakWD,-1.966530
TYSN_SLR_RN,MAR_2026,PeakWD,0.393190
CALAVER_JKS2,MAR_2026,PeakWD,-6.829956
CALAVER_JKS1,MAR_2026,PeakWD,-6.829956
FALFUR_RN2,MAR_2026,PeakWD,2.728118
FORTMA_RN,MAR_2026,PeakWD,-5.203612
CALAVER_JTD2,MAR_2026,PeakWD,-6.175317
CALAVER_JTD1,MAR_2026,PeakWD,-6.175317
HHGT_KENDAL,MAR_2026,PeakWD,-4.434853
BRPMAGNO_RN,MAR_2026,PeakWD,-4.577114
PEARSALL_RN,MAR_2026,PeakWD,-2.785081
LASSO_GEN,MAR_2026,PeakWD,-5.037519
HEN_RN,MAR_2026,PeakWD,-1.149299
LGE_LGE_GT2,MAR_2026,PeakWD,0.828021
LGE_LGE_GT1,MAR_2026,PeakWD,0.828021
RIPPEY_ALL,MAR_2026,PeakWD,7.237761
SANDHSYD6_7,MAR_2026,PeakWD,-6.177090
BRP_PBL2_RN,MAR_2026,PeakWD,-8.228210
DC_R,MAR_2026,PeakWD,1.354098
PAVO_ESS_ALL,MAR_2026,PeakWD,-5.786964
ESCONDID_ESR,MAR_2026,PeakWD,-8.082946
PINEFRST_RN,MAR_2026,PeakWD,-0.410579
SYBR_SLR_RN,MAR_2026,PeakWD,0.610848
DC_N,MAR_2026,PeakWD,4.881028
PISG_RN_ALL,MAR_2026,PeakWD,0.380718
ALGOD_ALL_RN,MAR_2026,PeakWD,2.436314
DC_L,MAR_2026,PeakWD,0.191555
TNSKA_CCU,MAR_2026,PeakWD,0.384430
VANCOURT_RN,MAR_2026,PeakWD,3.565639
LPCCS_UNIT1,MAR_2026,PeakWD,0.294449
DC_E,MAR_2026,PeakWD,-0.278686
LPCCS_UNIT2,MAR_2026,PeakWD,0.294449
NCARBID_PUN1,MAR_2026,PeakWD,-5.094859
NCARBID_PUN2,MAR_2026,PeakWD,-5.094320
K2_DGR1_RN,MAR_2026,PeakWD,-5.968058
CN_BRKS_UNT1,MAR_2026,PeakWD,8.702671
FAGUSSLR_RN,MAR_2026,PeakWD,7.313893
QALSW_ALL,MAR_2026,PeakWD,-4.174848
LZ_AEN,MAR_2026,PeakWD,-6.314414
WAP_WAPGT_1,MAR_2026,PeakWD,-3.056489
TXCTY_CTB,MAR_2026,PeakWD,-4.829954
TXCTY_CTC,MAR_2026,PeakWD,-4.829954
TORR_ALL,MAR_2026,PeakWD,7.846080
TXCTY_CTA,MAR_2026,PeakWD,-4.829954
REDFISH_ALL,MAR_2026,PeakWD,2.445969
PANDA_T2_ST1,MAR_2026,PeakWD,0.915072
SWT_BESS_RN,MAR_2026,PeakWD,-2.416089
DECKER_GT,MAR_2026,PeakWD,-6.653564
OBERON_U1,MAR_2026,PeakWD,-4.983061
GRAN_SLR_RN,MAR_2026,PeakWD,-2.929715
MISAE_GEN_RN,MAR_2026,PeakWD,7.360531
N_AL_BESS_RN,MAR_2026,PeakWD,-0.595982
ANEM_ESS_RN,MAR_2026,PeakWD,4.765053
KNAPP_RN,MAR_2026,PeakWD,-9.946512
ASCK_SLR_RN,MAR_2026,PeakWD,11.876813
LOWR_ESS_RN,MAR_2026,PeakWD,-1.561569
ZIER_SLR_ALL,MAR_2026,PeakWD,-6.744056
RSK_RN,MAR_2026,PeakWD,0.347875
BAYC_BESS_RN,MAR_2026,PeakWD,-3.063094
WHCCS2_4,MAR_2026,PeakWD,1.570183
RN_ECEC_HOLT,MAR_2026,PeakWD,-4.931076
BOSQ_BSQS_12,MAR_2026,PeakWD,2.230077
FLTCK_SSI,MAR_2026,PeakWD,-0.484531
NED_NEDIN_G1,MAR_2026,PeakWD,1.241195
LONEWOLF_ALL,MAR_2026,PeakWD,-0.096512
NED_NEDIN_G2,MAR_2026,PeakWD,1.181440
NED_NEDIN_G3,MAR_2026,PeakWD,2.177069
BRISCOE_WIND,MAR_2026,PeakWD,8.298578
ELSAUZ_ALL,MAR_2026,PeakWD,7.657992
BOSQ_BSQSU_5,MAR_2026,PeakWD,2.230077
RTLSNAKE_BT,MAR_2026,PeakWD,-4.918084
COTTON_PAP2,MAR_2026,PeakWD,1.027458
JUNCTION_RN,MAR_2026,PeakWD,-19.271877
HI_LONEB_RN1,MAR_2026,PeakWD,-1.548370
WAL_RN,MAR_2026,PeakWD,-2.223290
TGS_GT01,MAR_2026,PeakWD,-1.894428
CRWN_SLR_UN1,MAR_2026,PeakWD,1.535873
FERGCC_GT2_3,MAR_2026,PeakWD,-5.434615
MLSES_UNIT1,MAR_2026,PeakWD,0.347069
MLSES_UNIT2,MAR_2026,PeakWD,0.347069
MLSES_UNIT3,MAR_2026,PeakWD,0.347069
ROW_ALL,MAR_2026,PeakWD,-0.821250
MWEC_G1,MAR_2026,PeakWD,2.102573
E_BLACK_RN,MAR_2026,PeakWD,-4.934281
JAR_RN,MAR_2026,PeakWD,-0.850458
MILTON_RN,MAR_2026,PeakWD,-3.653535
CHE_PUN2,MAR_2026,PeakWD,-3.740537
CHE_PUN1,MAR_2026,PeakWD,-3.740537
THW_1_CCU,MAR_2026,PeakWD,-4.042027
BAKE_RN_ALL,MAR_2026,PeakWD,0.344449
JC_BAT_RN,MAR_2026,PeakWD,-5.886900
HB_PAN,MAR_2026,PeakWD,8.149622
SANDLAKE_RN,MAR_2026,PeakWD,-4.946110
DIVR_SLR_RN,MAR_2026,PeakWD,0.990780
BOSQ_BSQS_34,MAR_2026,PeakWD,1.554920
TNS_SLR_ALL,MAR_2026,PeakWD,1.313087
GZ_RN,MAR_2026,PeakWD,-4.394317
GBY_GT,MAR_2026,PeakWD,-4.361063
FLCNS_UNIT3,MAR_2026,PeakWD,-2.125740
FENCESLR_ALL,MAR_2026,PeakWD,0.398381
FLCNS_UNIT2,MAR_2026,PeakWD,-2.125740
FLCNS_UNIT1,MAR_2026,PeakWD,-2.125740
TOPAZ_ALL,MAR_2026,PeakWD,-4.795759
