CRR_ID,AccountHolder,Source,Sink,HedgeType,TimeOfUse,MW,ShadowPricePerMWH
135157537,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,PeakWD,560.0,2.43362
135157538,XCPSE,CALAVER_OWS1,LZ_CPS,OPT,PeakWD,229.9,0.383988
135157539,XCPSE,CALAVER_OWS2,LZ_CPS,OPT,PeakWD,185.1,0.383988
135157540,XCPSE,STP_STP_G1,LZ_CPS,OPT,PeakWD,370.4,8.247171
135157541,XCPSE,STP_STP_G2,LZ_CPS,OPT,PeakWD,366.8,8.247171
135157549,XGAR,OLIN_OLING_2,LZ_NORTH,OPT,PeakWD,70.9,0.656894
135157550,XGAR,OLIN_OLING_3,LZ_NORTH,OPT,PeakWD,146.0,0.656894
135157558,XGEUS,STEA_STEAM_2,LZ_NORTH,OPT,PeakWD,20.0,0.629278
135157559,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,PeakWD,30.0,0.629278
135157618,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,7.290997
135157619,XBPUB,DUKE_GT2_CCU,LZ_SOUTH,OPT,Off-peak,35.0,7.290997
135157620,XBPUB,DUKE_GST1CCU,LZ_SOUTH,OPT,Off-peak,35.0,7.290997
135157621,XBPUB,SIL_SILAS_6,LZ_SOUTH,OPT,Off-peak,20.0,9.945468
135157622,XBPUB,SIL_SILAS_9,LZ_SOUTH,OPT,Off-peak,40.0,9.945468
135157649,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,78.6,1.127173
135157650,XCPSE,BRA_AVR1_CT2,LZ_CPS,OPT,Off-peak,78.8,1.127173
135157651,XCPSE,BRA_AVR_CST1,LZ_CPS,OPT,Off-peak,98.6,1.127173
135157652,XCPSE,CALAVER_JKS1,LZ_CPS,OPT,Off-peak,560.0,1.071282
135157653,XCPSE,STP_STP_G1,LZ_CPS,OPT,Off-peak,370.4,3.428452
135157654,XCPSE,STP_STP_G2,LZ_CPS,OPT,Off-peak,366.8,3.428452
135157659,XGEUS,STEA_STEAM_3,LZ_NORTH,OPT,Off-peak,10.0,0.302138
135157700,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,4.0,6.54887
135157701,XLCRA,AUSTPL_ALL,LZ_LCRA,OPT,PeakWD,4.7,6.54887
135157702,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,8.0,7.407128
135157703,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,8.0,7.407128
135157704,XLCRA,BUCHAN_ALL,LZ_LCRA,OPT,PeakWD,8.0,7.407128
135157705,XLCRA,FPPYD_FPP_G1,LZ_LCRA,OPT,PeakWD,179.5,9.416483
135157706,XLCRA,FPPYD_FPP_G2,LZ_LCRA,OPT,PeakWD,179.5,9.416483
135157707,XLCRA,FPPYD_FPP_G3,LZ_LCRA,OPT,PeakWD,264.5,9.419031
135157708,XLCRA,GID_GIDEONG1,LZ_LCRA,OPT,PeakWD,25.5,7.26437
