DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
1001 AROYA_8 18692 WHITEDU 3,Line,From - To,353.9,353.9,Hard Constraint,SARYYUC8,MAY_2025,PeakWD,46.46
1001 AROYA_8 18692 WHITEDU 3,Line,From - To,353.9,353.9,Hard Constraint,SARYYUC8,MAY_2025,PeakWE,8.88
1009 YUCCADR_ 11128 SHINOAK 1,Line,To - From,-191.7,191.7,Hard Constraint,DWLFMET5,MAY_2025,Off-peak,381.72
1009 YUCCADR_ 11128 SHINOAK 1,Line,To - From,-191.7,191.7,Hard Constraint,DMOSME25,MAY_2025,PeakWD,180.35
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DWLFMET5,MAY_2025,Off-peak,376.32
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DMOSME25,MAY_2025,PeakWD,92.13
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,327.8,327.8,Hard Constraint,DMOSME25,MAY_2025,PeakWE,34.18
1025 FSCOGEN_ 10062 ROCKHOU 1,Line,From - To,958.4,958.4,Hard Constraint,DCONLNG5,MAY_2025,PeakWD,41.57
1025 FSCOGEN_ 10062 ROCKHOU 1,Line,From - To,958.4,958.4,Hard Constraint,DCONLNG5,MAY_2025,PeakWE,16.1
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,353.7,353.7,Hard Constraint,DODEMOS5,MAY_2025,Off-peak,5.57
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,353.7,353.7,Hard Constraint,DODEMOS5,MAY_2025,PeakWD,49.9
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,353.7,353.7,Hard Constraint,DODEMOS5,MAY_2025,PeakWE,29.46
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1449.9,1449.9,Hard Constraint,DMGSBIT5,MAY_2025,Off-peak,398.88
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1449.9,1449.9,Hard Constraint,DMGSBTR5,MAY_2025,Off-peak,734.34
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1449.9,1449.9,Hard Constraint,DMGSBIT5,MAY_2025,PeakWD,623.47
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1449.9,1449.9,Hard Constraint,DMGSBTR5,MAY_2025,PeakWD,773.23
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1449.9,1449.9,Hard Constraint,DMGSBIT5,MAY_2025,PeakWE,128.2
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1449.9,1449.9,Hard Constraint,DMGSBTR5,MAY_2025,PeakWE,368.68
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,958.5,958.5,Hard Constraint,SCONMGS5,MAY_2025,Off-peak,2411.69
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,958.5,958.5,Hard Constraint,SCONMGS5,MAY_2025,PeakWD,1985.33
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,958.5,958.5,Hard Constraint,SCONMGS5,MAY_2025,PeakWE,962.42
1064 SUN_8 10050 RANGER_ 1,Line,To - From,-171.9,171.9,Hard Constraint,DDMTBCK8,MAY_2025,PeakWD,2225.36
1064 SUN_8 10050 RANGER_ 1,Line,To - From,-171.9,171.9,Hard Constraint,DDMTBCK8,MAY_2025,PeakWE,230.3
1084 ORLA_SW1 11080 THRMIDR 1,Line,To - From,-430.2,430.2,Hard Constraint,DHSPOMP8,MAY_2025,PeakWE,0.5
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-435.6,435.6,Hard Constraint,DCONLNG5,MAY_2025,PeakWD,40.43
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-435.6,435.6,Hard Constraint,,MAY_2025,PeakWE,7.28
11016 QUAILSW 11028 ODESEHV 1,Line,From - To,958.5,958.5,Hard Constraint,SODETES5,MAY_2025,Off-peak,205.99
1102 JUDKINS_ 1103 SANDHLTA 1,Line,From - To,166.5,166.5,Hard Constraint,DWLFMET5,MAY_2025,Off-peak,33847.58
1102 JUDKINS_ 1103 SANDHLTA 1,Line,From - To,166.5,166.5,Hard Constraint,DMOSME25,MAY_2025,PeakWD,13863.69
1102 JUDKINS_ 1103 SANDHLTA 1,Line,From - To,166.5,166.5,Hard Constraint,DMOSME25,MAY_2025,PeakWE,6943.71
1102 JUDKINS_ 1110 EDWARD_T 1,Line,To - From,-166.5,166.5,Hard Constraint,DWLFMET5,MAY_2025,Off-peak,28985.39
1102 JUDKINS_ 1110 EDWARD_T 1,Line,To - From,-166.5,166.5,Hard Constraint,DMOSME25,MAY_2025,PeakWD,15556.55
1102 JUDKINS_ 1110 EDWARD_T 1,Line,To - From,-166.5,166.5,Hard Constraint,DMOSME25,MAY_2025,PeakWE,7837.67
11149 HOWDEN_ 11362 FLOWRGR 1,Line,To - From,-111.6,111.6,Hard Constraint,SBSPBUZ8,MAY_2025,Off-peak,291.69
11273 NELSON_ 134043 BARROW 1,Line,To - From,-252.0,252.0,Hard Constraint,SW_LVLT5,MAY_2025,PeakWD,17.92
11273 NELSON_ 134043 BARROW 1,Line,To - From,-252.0,252.0,Hard Constraint,,MAY_2025,PeakWE,1.19
11688 THORNTR 11700 SALTILL 1,Line,From - To,1111.3,1111.3,Hard Constraint,SFMRCYC5,MAY_2025,PeakWD,10.65
11688 THORNTR 11700 SALTILL 1,Line,From - To,1127.4,1127.4,Hard Constraint,SFMRCYC5,MAY_2025,PeakWE,1.34
11807 GOBERSW 11808 LORING_ 1,Line,From - To,203.4,203.4,Hard Constraint,DPRSPAC5,MAY_2025,PeakWD,7.61
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,166.5,166.5,Hard Constraint,DWLDSCO5,MAY_2025,Off-peak,7070.34
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,166.5,166.5,Hard Constraint,DWLDSCO5,MAY_2025,PeakWD,3271.67
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,166.5,166.5,Hard Constraint,DWLDSCO5,MAY_2025,PeakWE,786.58
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,171.9,171.9,Hard Constraint,SECRDMT8,MAY_2025,PeakWD,2567.45
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,171.9,171.9,Hard Constraint,SECRDMT8,MAY_2025,PeakWE,716.12
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,MAY_2025,Off-peak,4389.61
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DSCOFAR5,MAY_2025,Off-peak,11300.95
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,MAY_2025,PeakWD,11222.15
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DSCOFAR5,MAY_2025,PeakWD,65.56
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,MAY_2025,PeakWE,4485.76
1319 CHINAGRV 1378 COLOCITY 1,Line,From - To,51.0,51.0,Hard Constraint,SFLNBHI9,MAY_2025,PeakWD,70.36
1319 CHINAGRV 1378 COLOCITY 1,Line,From - To,51.0,51.0,Hard Constraint,XBSP89,MAY_2025,PeakWD,671.71
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,203.4,203.4,Hard Constraint,DSALHUT5,MAY_2025,PeakWD,673.03
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,203.6,203.6,Hard Constraint,DSALHUT5,MAY_2025,PeakWE,8454.3
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,DCONLNG5,MAY_2025,Off-peak,51.39
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,DCONLNG5,MAY_2025,PeakWD,426.53
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,SFLNBHI9,MAY_2025,PeakWD,18.59
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,SFLNBHI9,MAY_2025,PeakWE,80.46
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,55.8,55.8,Hard Constraint,XBSP89,MAY_2025,PeakWE,31.37
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,166.5,166.5,Hard Constraint,SEILPCT8,MAY_2025,Off-peak,16.21
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,166.5,166.5,Hard Constraint,XEIN58,MAY_2025,PeakWD,50.54
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,166.5,166.5,Hard Constraint,XEIN58,MAY_2025,PeakWE,1.75
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,MAY_2025,PeakWD,113.71
1334 GLASSCNT 1335 FORSANTA 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,MAY_2025,PeakWE,118.65
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,MAY_2025,PeakWD,270.13
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-166.5,166.5,Hard Constraint,SMCDNAV8,MAY_2025,PeakWE,40.63
1355 BUZZDRAW 23829 KOCHTAP 1,Line,To - From,-353.7,353.7,Hard Constraint,SW_LVLT5,MAY_2025,Off-peak,24261.02
1355 BUZZDRAW 23829 KOCHTAP 1,Line,To - From,-353.7,353.7,Hard Constraint,SW_LVLT5,MAY_2025,PeakWD,13693.14
1355 BUZZDRAW 23829 KOCHTAP 1,Line,To - From,-353.7,353.7,Hard Constraint,SW_LVLT5,MAY_2025,PeakWE,6910.22
1380 PLOWBOY_ 1381 SWEETWTR 1,Line,To - From,-38.7,38.7,Hard Constraint,SFLNBHI9,MAY_2025,Off-peak,136.36
139 LAKEBELTO 3610 BELTON1_ 1,Line,To - From,-223.2,223.2,Hard Constraint,SCAYBOS8,MAY_2025,PeakWD,67.1
1429 JACKSBRO 1445 BURWICK_ 1,Line,To - From,-1550.7,1550.7,Hard Constraint,DGRSPKR5,MAY_2025,Off-peak,156.05
1429 JACKSBRO 1445 BURWICK_ 1,Line,To - From,-1550.7,1550.7,Hard Constraint,DGRSPKR5,MAY_2025,PeakWD,209.41
1429 JACKSBRO 1445 BURWICK_ 1,Line,To - From,-1550.7,1550.7,Hard Constraint,DGRSPKR5,MAY_2025,PeakWE,117.99
