SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,MAY_2025,PeakWD,-12.189293
DSWL_BES1,MAY_2025,PeakWD,0.048182
REDBARN_RN,MAY_2025,PeakWD,-7.924069
VISION_RN,MAY_2025,PeakWD,-0.562828
PERE_SLR_RN,MAY_2025,PeakWD,3.321562
VIC_VICTORG6,MAY_2025,PeakWD,0.709618
VIC_VICTORG5,MAY_2025,PeakWD,0.709618
HRNT_SLR_RN,MAY_2025,PeakWD,9.579263
SBEAN_BESS,MAY_2025,PeakWD,-12.714958
WRSBES_BESS1,MAY_2025,PeakWD,-12.984120
GRIF_TRL_RN,MAY_2025,PeakWD,4.261035
MYR_ALL,MAY_2025,PeakWD,-2.535784
CEDROHI_CHW1,MAY_2025,PeakWD,8.763878
HAMI_BESS_RN,MAY_2025,PeakWD,-10.139464
CMPD_SLR_RN,MAY_2025,PeakWD,4.161649
BRP_ZPT1_RN,MAY_2025,PeakWD,-4.283354
N_MRD_ESR_RN,MAY_2025,PeakWD,-16.756195
SPNC_SPNCE_5,MAY_2025,PeakWD,-0.447568
RIOG_ESR2_RN,MAY_2025,PeakWD,-4.762450
VORT_ALL_RN,MAY_2025,PeakWD,3.541183
SPNC_SPNCE_4,MAY_2025,PeakWD,-0.447568
SAN_SANMIGG1,MAY_2025,PeakWD,0.985346
SC2SES_UNIT1,MAY_2025,PeakWD,-0.584042
MCLNSLR_RN,MAY_2025,PeakWD,-16.100290
CBECII_CT7,MAY_2025,PeakWD,0.471109
WILDWIND_ALL,MAY_2025,PeakWD,1.318683
MU_RN,MAY_2025,PeakWD,-4.467081
TGCCS_ALL,MAY_2025,PeakWD,-0.373636
HB_NORTH,MAY_2025,PeakWD,0.209618
COTPLNS_RN,MAY_2025,PeakWD,9.226873
SIG_SLR_RN,MAY_2025,PeakWD,-0.426252
CISC_RN,MAY_2025,PeakWD,-4.353917
TYSN_SLR_RN,MAY_2025,PeakWD,0.741685
CALAVER_JKS2,MAY_2025,PeakWD,-4.107215
CALAVER_JKS1,MAY_2025,PeakWD,-4.107215
FALFUR_RN2,MAY_2025,PeakWD,4.506805
FORTMA_RN,MAY_2025,PeakWD,-5.369431
CALAVER_JTD2,MAY_2025,PeakWD,-5.010804
CALAVER_JTD1,MAY_2025,PeakWD,-5.010804
HHGT_KENDAL,MAY_2025,PeakWD,-2.550042
BRPMAGNO_RN,MAY_2025,PeakWD,-6.541384
PEARSALL_RN,MAY_2025,PeakWD,-3.660581
LASSO_GEN,MAY_2025,PeakWD,-10.537951
LGE_LGE_GT2,MAY_2025,PeakWD,1.417116
LGE_LGE_GT1,MAY_2025,PeakWD,1.417116
RIPPEY_ALL,MAY_2025,PeakWD,0.217428
SANDHSYD6_7,MAY_2025,PeakWD,-4.662742
BRP_PBL2_RN,MAY_2025,PeakWD,-14.541384
DC_R,MAY_2025,PeakWD,-3.983354
PAVO_ESS_ALL,MAY_2025,PeakWD,-8.948678
DC_N,MAY_2025,PeakWD,4.416330
PISG_RN_ALL,MAY_2025,PeakWD,-0.765187
ALGOD_ALL_RN,MAY_2025,PeakWD,4.456972
DC_L,MAY_2025,PeakWD,12.130367
TNSKA_CCU,MAY_2025,PeakWD,0.872017
VANCOURT_RN,MAY_2025,PeakWD,10.336805
