DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-209.3,209.3,Hard Constraint,DCONLNG5,NOV_2025,Off-peak,3660.37
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-209.3,209.3,Hard Constraint,DCONLNG5,NOV_2025,PeakWD,1574.99
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-209.3,209.3,Hard Constraint,DCONLNG5,NOV_2025,PeakWE,418.69
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-200.0,200.0,Hard Constraint,DWLFMET5,NOV_2025,Off-peak,14503.84
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-203.8,203.8,Hard Constraint,DMOSME25,NOV_2025,PeakWD,1179.23
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-185.6,185.6,Hard Constraint,DMOSME25,NOV_2025,PeakWE,1120.61
1019 MOSS_8 1113 ODESASW1 1,Line,To - From,-363.6,363.6,Hard Constraint,DODEMOS5,NOV_2025,PeakWE,47.44
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,343.3,343.3,Hard Constraint,DMOSME25,NOV_2025,Off-peak,174.06
1019 MOSS_8 1292 ECTRHARP 1,Line,From - To,343.3,343.3,Hard Constraint,DWLFMET5,NOV_2025,Off-peak,84.03
1019 MOSS_8 1292 ECTRHARP 1,Line,To - From,-343.3,343.3,Hard Constraint,DWLFYU18,NOV_2025,Off-peak,8.72
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,363.6,363.6,Hard Constraint,DODEMOS5,NOV_2025,Off-peak,466.99
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,363.6,363.6,Hard Constraint,DODEMOS5,NOV_2025,PeakWD,253.53
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,363.6,363.6,Hard Constraint,DODEMOS5,NOV_2025,PeakWE,101.14
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,209.3,209.3,Hard Constraint,DMOSME25,NOV_2025,PeakWD,887.43
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1483.3,1483.3,Hard Constraint,DMGSBTR5,NOV_2025,PeakWD,227.83
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1483.3,1483.3,Hard Constraint,DMGSBIT5,NOV_2025,PeakWE,89.32
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1483.3,1483.3,Hard Constraint,DMGSBTR5,NOV_2025,PeakWE,115.2
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1046.7,1046.7,Hard Constraint,DBAKCED5,NOV_2025,Off-peak,1553.33
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1046.7,1046.7,Hard Constraint,SCONMGS5,NOV_2025,Off-peak,2978.17
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1046.7,1046.7,Hard Constraint,DBAKCED5,NOV_2025,PeakWD,1635.53
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1046.7,1046.7,Hard Constraint,DBAKCED5,NOV_2025,PeakWE,854.43
1064 SUN_8 1067 GOLDENSW 1,Line,To - From,-363.6,363.6,Hard Constraint,DMTSCOS5,NOV_2025,PeakWD,64.06
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-447.3,447.3,Hard Constraint,SKRWLW25,NOV_2025,PeakWD,4.18
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,566.1,566.1,Hard Constraint,SSL2CED8,NOV_2025,PeakWE,5.97
11182 MCLLVAI 38105 TNSANDL 1,Line,From - To,217.8,217.8,Hard Constraint,SSALCHL5,NOV_2025,PeakWD,0.48
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-374.4,374.4,Hard Constraint,DODEMOS5,NOV_2025,PeakWD,637.61
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-374.4,374.4,Hard Constraint,DODEMOS5,NOV_2025,PeakWE,128.1
11273 NELSON_ 134043 BARROW 1,Line,To - From,-252.0,252.0,Hard Constraint,DBWNAMO5,NOV_2025,Off-peak,20.45
1141 HOLTSS_8 11211 TURNBAU 1,Line,From - To,181.8,181.8,Hard Constraint,DMOSME25,NOV_2025,PeakWD,1229.53
1141 HOLTSS_8 11211 TURNBAU 1,Line,From - To,182.3,182.3,Hard Constraint,DMOSME25,NOV_2025,PeakWE,738.65
11550 TOWERON 11582 BENNETT 1,Line,From - To,41.4,41.4,Hard Constraint,DJACALV8,NOV_2025,Off-peak,8814.69
11550 TOWERON 11582 BENNETT 1,Line,From - To,41.4,41.4,Hard Constraint,DJACALV8,NOV_2025,PeakWD,3036.14
11550 TOWERON 11582 BENNETT 1,Line,From - To,41.4,41.4,Hard Constraint,SBTPBNT8,NOV_2025,PeakWD,4057.59
11550 TOWERON 11582 BENNETT 1,Line,From - To,41.4,41.4,Hard Constraint,DJACALV8,NOV_2025,PeakWE,8819.25
116 SALTY 13430 SAND_TX 1,Line,To - From,-430.2,430.2,Hard Constraint,DSALHUT5,NOV_2025,Off-peak,61.82
12527 FRMVLWS 37291 TNFRMRS 1,Line,From - To,216.0,216.0,Hard Constraint,SNAVMBP5,NOV_2025,Off-peak,11.67
