SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,NOV_2025,PeakWD,-11.310295
DSWL_BES1,NOV_2025,PeakWD,-0.457399
HRNT_SLR_RN,NOV_2025,PeakWD,7.168652
WRSBES_BESS1,NOV_2025,PeakWD,-11.784741
SBEAN_BESS,NOV_2025,PeakWD,-11.212259
REDBARN_RN,NOV_2025,PeakWD,-7.479243
VISION_RN,NOV_2025,PeakWD,-0.052730
GRIF_TRL_RN,NOV_2025,PeakWD,4.366322
PERE_SLR_RN,NOV_2025,PeakWD,1.724675
VIC_VICTORG6,NOV_2025,PeakWD,0.492556
VIC_VICTORG5,NOV_2025,PeakWD,0.492556
MYR_ALL,NOV_2025,PeakWD,-1.741743
CEDROHI_CHW1,NOV_2025,PeakWD,3.168413
HAMI_BESS_RN,NOV_2025,PeakWD,-9.090575
CMPD_SLR_RN,NOV_2025,PeakWD,6.362997
BRP_ZPT1_RN,NOV_2025,PeakWD,-1.110457
N_MRD_ESR_RN,NOV_2025,PeakWD,-4.167815
SPNC_SPNCE_5,NOV_2025,PeakWD,2.012664
RIOG_ESR2_RN,NOV_2025,PeakWD,-0.579770
VORT_ALL_RN,NOV_2025,PeakWD,2.631582
SPNC_SPNCE_4,NOV_2025,PeakWD,2.012664
SAN_SANMIGG1,NOV_2025,PeakWD,-0.820725
SC2SES_UNIT1,NOV_2025,PeakWD,0.832612
MCLNSLR_RN,NOV_2025,PeakWD,-4.527439
CBECII_CT7,NOV_2025,PeakWD,-0.729790
WILDWIND_ALL,NOV_2025,PeakWD,2.406130
MU_RN,NOV_2025,PeakWD,-3.371020
TGCCS_ALL,NOV_2025,PeakWD,0.919205
HB_NORTH,NOV_2025,PeakWD,0.436369
COTPLNS_RN,NOV_2025,PeakWD,6.807803
SIG_SLR_RN,NOV_2025,PeakWD,-0.318126
CISC_RN,NOV_2025,PeakWD,-5.407786
TYSN_SLR_RN,NOV_2025,PeakWD,1.109960
CALAVER_JKS2,NOV_2025,PeakWD,-7.436826
CALAVER_JKS1,NOV_2025,PeakWD,-7.436826
FALFUR_RN2,NOV_2025,PeakWD,1.588145
FORTMA_RN,NOV_2025,PeakWD,-7.735627
