DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-205.4,205.4,Hard Constraint,SW_BLNG5,OCT_2025,Off-peak,767.23
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-177.7,177.7,Hard Constraint,DMOSME25,OCT_2025,Off-peak,8052.2
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-178.1,178.1,Hard Constraint,DMOSME25,OCT_2025,PeakWD,1855.63
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-176.4,176.4,Hard Constraint,DMOSME25,OCT_2025,PeakWE,1120.88
1025 FSCOGEN_ 10049 RANGER_ 3,Line,To - From,-1018.6,1018.6,Hard Constraint,DCONLNG5,OCT_2025,Off-peak,1711.98
1025 FSCOGEN_ 10062 ROCKHOU 1,Line,From - To,1018.6,1018.6,Hard Constraint,DCONLNG5,OCT_2025,PeakWE,196.14
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,203.7,203.7,Hard Constraint,DMOSME25,OCT_2025,Off-peak,15955.38
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,203.7,203.7,Hard Constraint,DMOSME25,OCT_2025,PeakWD,12305.26
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,203.7,203.7,Hard Constraint,DWLFMET5,OCT_2025,PeakWE,2393.15
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,1018.8,1018.8,Hard Constraint,DMGSCON5,OCT_2025,Off-peak,534.24
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,1018.8,1018.8,Hard Constraint,SW_BW_25,OCT_2025,Off-peak,259.33
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,1018.8,1018.8,Hard Constraint,DMGSCON5,OCT_2025,PeakWD,843.26
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,1018.8,1018.8,Hard Constraint,SBRNLAC5,OCT_2025,PeakWD,188.63
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,1018.8,1018.8,Hard Constraint,SBRNLAC5,OCT_2025,PeakWE,55.11
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,1018.8,1018.8,Hard Constraint,SCONMGS5,OCT_2025,PeakWE,68.04
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1470.8,1470.8,Hard Constraint,DMGSBTR5,OCT_2025,Off-peak,846.8
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1467.3,1467.3,Hard Constraint,DMGSBTR5,OCT_2025,PeakWD,1677.42
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1482.9,1482.9,Hard Constraint,DMGSBTR5,OCT_2025,PeakWE,669.71
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1018.8,1018.8,Hard Constraint,DMGSCON5,OCT_2025,Off-peak,3307.88
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1018.8,1018.8,Hard Constraint,DMGSCON5,OCT_2025,PeakWD,1173.5
1058 LONGSHOR 11387 CONSAVV 1,Line,From - To,1018.8,1018.8,Hard Constraint,SCONMGS5,OCT_2025,PeakWE,340.19
1064 SUN_8 10050 RANGER_ 1,Line,To - From,-172.1,172.1,Hard Constraint,DDMTBCK8,OCT_2025,PeakWD,201.92
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-443.7,443.7,Hard Constraint,DBIGSCH5,OCT_2025,PeakWD,21.7
11016 QUAILSW 11028 ODESEHV 1,Line,From - To,1018.8,1018.8,Hard Constraint,SODETES5,OCT_2025,Off-peak,107.33
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,561.6,561.6,Hard Constraint,SSL2CED8,OCT_2025,PeakWD,12.23
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,561.6,561.6,Hard Constraint,SSL2CED8,OCT_2025,PeakWE,6.54
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,360.0,360.0,Hard Constraint,DODEMOS5,OCT_2025,Off-peak,95.15
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,360.0,360.0,Hard Constraint,DODEMOS5,OCT_2025,PeakWD,42.73
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,360.0,360.0,Hard Constraint,DODEMOS5,OCT_2025,PeakWE,35.69
11260 DUNE_8 182301 PHOEBE 1,Line,To - From,-310.5,310.5,Hard Constraint,,OCT_2025,Off-peak,0.54
11273 NELSON_ 134043 BARROW 1,Line,To - From,-252.0,252.0,Hard Constraint,SREVDIL8,OCT_2025,PeakWD,13.57
1141 HOLTSS_8 11211 TURNBAU 1,Line,From - To,176.4,176.4,Hard Constraint,DMOSME25,OCT_2025,Off-peak,182.33
1141 HOLTSS_8 11211 TURNBAU 1,Line,From - To,176.4,176.4,Hard Constraint,DMOSME25,OCT_2025,PeakWD,1159.26
1141 HOLTSS_8 11211 TURNBAU 1,Line,From - To,176.4,176.4,Hard Constraint,DMOSME25,OCT_2025,PeakWE,278.54
11550 TOWERON 11582 BENNETT 1,Line,From - To,39.6,39.6,Hard Constraint,DJACALV8,OCT_2025,PeakWD,6919.04
11807 GOBERSW 11808 LORING_ 1,Line,From - To,209.7,209.7,Hard Constraint,DVLSPAC5,OCT_2025,PeakWD,8.76
1225 GARDCITY 1333 MCDONALD 1,Line,From - To,360.0,360.0,Hard Constraint,SW_LVLT5,OCT_2025,Off-peak,39.32
1225 GARDCITY 1333 MCDONALD 1,Line,From - To,360.0,360.0,Hard Constraint,,OCT_2025,PeakWD,47.84
1225 GARDCITY 1333 MCDONALD 1,Line,To - From,-360.0,360.0,Hard Constraint,SSALCHL5,OCT_2025,PeakWE,32
1225 GARDCITY 1333 MCDONALD 1,Line,From - To,360.0,360.0,Hard Constraint,,OCT_2025,PeakWE,20.48
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,176.4,176.4,Hard Constraint,DWLDSCO5,OCT_2025,Off-peak,4171.47
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,176.4,176.4,Hard Constraint,DWLDSCO5,OCT_2025,PeakWE,1549.31
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,OCT_2025,Off-peak,77.58
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-171.9,171.9,Hard Constraint,SGLDSUN8,OCT_2025,Off-peak,121.45
1304 DEEPCRK_ 1311 SACROC_8 1,Line,From - To,171.9,171.9,Hard Constraint,SECRDMT8,OCT_2025,PeakWE,53.05
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,176.4,176.4,Hard Constraint,SECRDMT8,OCT_2025,PeakWD,2679.92
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,176.5,176.5,Hard Constraint,SECRDMT8,OCT_2025,PeakWE,675.31
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-176.4,176.4,Hard Constraint,DMTSCOS5,OCT_2025,Off-peak,6023.87
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-176.4,176.4,Hard Constraint,DSCOFAR5,OCT_2025,Off-peak,12923.67
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-176.4,176.4,Hard Constraint,DMTSCOS5,OCT_2025,PeakWD,12815.98
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-176.4,176.4,Hard Constraint,DSCOFAR5,OCT_2025,PeakWD,12595.7
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-176.4,176.4,Hard Constraint,DMTSCOS5,OCT_2025,PeakWE,2714.51
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-176.4,176.4,Hard Constraint,DSCOFAR5,OCT_2025,PeakWE,5150.07
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,211.6,211.6,Hard Constraint,DSALHUT5,OCT_2025,Off-peak,2285.7
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,207.8,207.8,Hard Constraint,DROUCHI8,OCT_2025,PeakWD,15657.62
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,207.8,207.8,Hard Constraint,DSALHUT5,OCT_2025,PeakWD,48985.12
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,204.9,204.9,Hard Constraint,DROUCHI8,OCT_2025,PeakWE,258.15
132 BELLCNTY8 3640 SALADO1_ 1,Line,From - To,204.9,204.9,Hard Constraint,DSALHUT5,OCT_2025,PeakWE,12508.92
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,58.5,58.5,Hard Constraint,DCONLNG5,OCT_2025,PeakWD,296.55
1321 CARBONSW 1323 BIGSPRIG 1,Line,From - To,58.5,58.5,Hard Constraint,DCONLNG5,OCT_2025,PeakWE,85.94
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,242.5,242.5,Hard Constraint,DMCDSHP8,OCT_2025,Off-peak,200.48
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,176.4,176.4,Hard Constraint,,OCT_2025,PeakWD,445.61
1333 MCDONALD 1334 GLASSCNT 1,Line,From - To,176.4,176.4,Hard Constraint,,OCT_2025,PeakWE,170.36
1335 FORSANTA 11337 POLECAT 1,Line,To - From,-214.0,214.0,Hard Constraint,DMCDSHP8,OCT_2025,Off-peak,12.94
