SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,OCT_2025,PeakWD,-13.109817
DSWL_BES1,OCT_2025,PeakWD,1.278766
HRNT_SLR_RN,OCT_2025,PeakWD,8.316421
WRSBES_BESS1,OCT_2025,PeakWD,-13.668223
SBEAN_BESS,OCT_2025,PeakWD,-13.336585
REDBARN_RN,OCT_2025,PeakWD,-8.705482
VISION_RN,OCT_2025,PeakWD,1.121330
GRIF_TRL_RN,OCT_2025,PeakWD,5.922073
PERE_SLR_RN,OCT_2025,PeakWD,2.129493
VIC_VICTORG6,OCT_2025,PeakWD,1.985590
VIC_VICTORG5,OCT_2025,PeakWD,1.985590
MYR_ALL,OCT_2025,PeakWD,-1.681824
CEDROHI_CHW1,OCT_2025,PeakWD,3.796472
HAMI_BESS_RN,OCT_2025,PeakWD,-11.824567
CMPD_SLR_RN,OCT_2025,PeakWD,11.158561
BRP_ZPT1_RN,OCT_2025,PeakWD,-2.309854
N_MRD_ESR_RN,OCT_2025,PeakWD,-5.863454
SPNC_SPNCE_5,OCT_2025,PeakWD,3.111191
RIOG_ESR2_RN,OCT_2025,PeakWD,-4.486379
VORT_ALL_RN,OCT_2025,PeakWD,5.100867
SPNC_SPNCE_4,OCT_2025,PeakWD,3.111191
SAN_SANMIGG1,OCT_2025,PeakWD,-1.080335
SC2SES_UNIT1,OCT_2025,PeakWD,1.693323
MCLNSLR_RN,OCT_2025,PeakWD,-6.221606
CBECII_CT7,OCT_2025,PeakWD,0.480897
WILDWIND_ALL,OCT_2025,PeakWD,3.090867
MU_RN,OCT_2025,PeakWD,-3.380176
TGCCS_ALL,OCT_2025,PeakWD,1.766929
HB_NORTH,OCT_2025,PeakWD,1.712172
COTPLNS_RN,OCT_2025,PeakWD,8.178278
SIG_SLR_RN,OCT_2025,PeakWD,1.297505
CISC_RN,OCT_2025,PeakWD,-6.677237
TYSN_SLR_RN,OCT_2025,PeakWD,1.789511
CALAVER_JKS2,OCT_2025,PeakWD,-6.133010
CALAVER_JKS1,OCT_2025,PeakWD,-6.133010
FALFUR_RN2,OCT_2025,PeakWD,1.217224
FORTMA_RN,OCT_2025,PeakWD,-6.178707
CALAVER_JTD2,OCT_2025,PeakWD,-6.200690
CALAVER_JTD1,OCT_2025,PeakWD,-6.200690
HHGT_KENDAL,OCT_2025,PeakWD,-3.779790
BRPMAGNO_RN,OCT_2025,PeakWD,-3.872023
PEARSALL_RN,OCT_2025,PeakWD,-2.100617
LASSO_GEN,OCT_2025,PeakWD,-12.339754
HEN_RN,OCT_2025,PeakWD,-1.500009
LGE_LGE_GT2,OCT_2025,PeakWD,0.781662
LGE_LGE_GT1,OCT_2025,PeakWD,0.781662
RIPPEY_ALL,OCT_2025,PeakWD,2.001072
SANDHSYD6_7,OCT_2025,PeakWD,-7.120215
BRP_PBL2_RN,OCT_2025,PeakWD,-9.008496
DC_R,OCT_2025,PeakWD,-0.880351
PAVO_ESS_ALL,OCT_2025,PeakWD,-12.702307
ESCONDID_ESR,OCT_2025,PeakWD,-9.388573
PINEFRST_RN,OCT_2025,PeakWD,1.459511
DC_N,OCT_2025,PeakWD,5.449079
PISG_RN_ALL,OCT_2025,PeakWD,1.030582
ALGOD_ALL_RN,OCT_2025,PeakWD,2.369582
DC_L,OCT_2025,PeakWD,5.086643
TNSKA_CCU,OCT_2025,PeakWD,1.999511
VANCOURT_RN,OCT_2025,PeakWD,3.490728
LPCCS_UNIT1,OCT_2025,PeakWD,1.970858
DC_E,OCT_2025,PeakWD,1.573013
LPCCS_UNIT2,OCT_2025,PeakWD,1.970858
NCARBID_PUN1,OCT_2025,PeakWD,-0.011567
NCARBID_PUN2,OCT_2025,PeakWD,-0.011393
K2_DGR1_RN,OCT_2025,PeakWD,-6.266615
CN_BRKS_UNT1,OCT_2025,PeakWD,8.092091
FAGUSSLR_RN,OCT_2025,PeakWD,6.990714
QALSW_ALL,OCT_2025,PeakWD,-10.602061
LZ_AEN,OCT_2025,PeakWD,-7.767940
WAP_WAPGT_1,OCT_2025,PeakWD,-2.861539
TXCTY_CTB,OCT_2025,PeakWD,-4.172522
TXCTY_CTC,OCT_2025,PeakWD,-4.172522
TORR_ALL,OCT_2025,PeakWD,4.959517
TXCTY_CTA,OCT_2025,PeakWD,-4.172522
REDFISH_ALL,OCT_2025,PeakWD,1.438935
PANDA_T2_ST1,OCT_2025,PeakWD,1.830442
SWT_BESS_RN,OCT_2025,PeakWD,-6.439476
DECKER_GT,OCT_2025,PeakWD,-7.256148
OBERON_U1,OCT_2025,PeakWD,-12.539969
GRAN_SLR_RN,OCT_2025,PeakWD,-2.349804
MISAE_GEN_RN,OCT_2025,PeakWD,7.343665
N_AL_BESS_RN,OCT_2025,PeakWD,-2.609841
