DeviceName,DeviceType,Direction,Flow,Limit,Description,Contingency,CalendarPeriod,TimeOfUse,ShadowPrice
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-209.4,209.4,Hard Constraint,SLNGMGS5,SEP_2025,Off-peak,3758.02
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-209.4,209.4,Hard Constraint,SSTLEIN8,SEP_2025,Off-peak,3796.25
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-201.5,201.5,Hard Constraint,SLNGMGS5,SEP_2025,PeakWD,68.42
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-201.5,201.5,Hard Constraint,SSTLEIN8,SEP_2025,PeakWD,1807.97
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-197.7,197.7,Hard Constraint,SLNGMGS5,SEP_2025,PeakWE,25.79
10018 CARTVLR 23851 CRTRVLL 3,Line,To - From,-197.7,197.7,Hard Constraint,SSTLEIN8,SEP_2025,PeakWE,904.67
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-173.8,173.8,Hard Constraint,DWLFMET5,SEP_2025,Off-peak,19885.6
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-172.4,172.4,Hard Constraint,DMOSME25,SEP_2025,PeakWD,3949.88
1013 WOLFSS_8 1103 SANDHLTA 1,Line,To - From,-171.9,171.9,Hard Constraint,DWLFMET5,SEP_2025,PeakWE,1350.64
1019 MOSS_8 1292 ECTRHARP 1,Line,To - From,-333.0,333.0,Hard Constraint,DWLFYU18,SEP_2025,Off-peak,0.69
1027 ODESEHV_ 1111 BIG3ODTA 1,Line,From - To,357.3,357.3,Hard Constraint,DODEMOS5,SEP_2025,PeakWE,37.63
1027 ODESEHV_ 11111 YARBRGH 1,Line,From - To,197.7,197.7,Hard Constraint,DMOSME25,SEP_2025,PeakWD,37.4
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,To - From,-988.2,988.2,Hard Constraint,SW_BLNG5,SEP_2025,Off-peak,61.86
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,988.2,988.2,Hard Constraint,SW_BW_25,SEP_2025,Off-peak,328.09
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,988.2,988.2,Hard Constraint,SW_BW_25,SEP_2025,PeakWD,178.15
1030 MRGNCRK_ 1058 LONGSHOR 2,Line,From - To,988.2,988.2,Hard Constraint,SW_BW_25,SEP_2025,PeakWE,51.12
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1449.9,1449.9,Hard Constraint,DMGSBIT5,SEP_2025,Off-peak,58.37
1030 MRGNCRK_ 11048 TONKAWA 1,Line,To - From,-1449.9,1449.9,Hard Constraint,DMGSBIT5,SEP_2025,PeakWE,13.08
1030 MRGNCRK_ 11387 CONSAVV 1,Line,From - To,1141.5,1141.5,Hard Constraint,DBAKCED5,SEP_2025,Off-peak,3044.37
1030 MRGNCRK_ 11387 CONSAVV 1,Line,From - To,1111.6,1111.6,Hard Constraint,DBAKCED5,SEP_2025,PeakWD,55.42
1030 MRGNCRK_ 11387 CONSAVV 1,Line,From - To,1111.6,1111.6,Hard Constraint,DTWLCED5,SEP_2025,PeakWD,82.12
1030 MRGNCRK_ 11387 CONSAVV 1,Line,From - To,1101.6,1101.6,Hard Constraint,DBAKCED5,SEP_2025,PeakWE,445.03
1030 MRGNCRK_ 11387 CONSAVV 1,Line,From - To,1101.6,1101.6,Hard Constraint,DTWLCED5,SEP_2025,PeakWE,44.23
1064 SUN_8 10050 RANGER_ 1,Line,To - From,-171.9,171.9,Hard Constraint,DDMTBCK8,SEP_2025,PeakWD,647.19
1064 SUN_8 1067 GOLDENSW 1,Line,To - From,-357.1,357.1,Hard Constraint,DMTSCOS5,SEP_2025,PeakWD,28.08
1064 SUN_8 1067 GOLDENSW 1,Line,To - From,-357.1,357.1,Hard Constraint,DMTSCOS5,SEP_2025,PeakWE,7.66
1074 WINKSS_8 18692 WHITEDU 2,Line,From - To,357.1,357.1,Hard Constraint,SARYYUC8,SEP_2025,PeakWE,5.07
1097 CULBERSO 7389 L_PINNAC 1,Line,To - From,-439.2,439.2,Hard Constraint,SBOMJC25,SEP_2025,PeakWD,13.06
1101 EDWARDS_ 1110 EDWARD_T 1,Line,To - From,-114.3,114.3,Hard Constraint,DMOSME25,SEP_2025,PeakWD,222.94
1101 EDWARDS_ 1110 EDWARD_T 1,Line,To - From,-114.3,114.3,Hard Constraint,DWLFMET5,SEP_2025,PeakWE,131.02
11097 SANDLAK 38145 TNCEDRV 2,Line,To - From,-574.0,574.0,Hard Constraint,SSL2CED8,SEP_2025,Off-peak,3.97
11097 SANDLAK 38145 TNCEDRV 2,Line,From - To,585.6,585.6,Hard Constraint,SSL2CED8,SEP_2025,PeakWD,4.9
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,357.3,357.3,Hard Constraint,DODEMOS5,SEP_2025,Off-peak,146.45
1111 BIG3ODTA 1113 ODESASW1 1,Line,From - To,357.3,357.3,Hard Constraint,DODEMOS5,SEP_2025,PeakWD,99.18
11149 HOWDEN_ 11362 FLOWRGR 1,Line,To - From,-114.3,114.3,Hard Constraint,STRBCGR8,SEP_2025,PeakWD,44.22
11197 SANDTAN 38110 TNRATTL 1,Line,To - From,-368.1,368.1,Hard Constraint,SRTLCAL8,SEP_2025,Off-peak,2.4
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-368.1,368.1,Hard Constraint,DODEMOS5,SEP_2025,Off-peak,0.89
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-368.1,368.1,Hard Constraint,DODEMOS5,SEP_2025,PeakWD,357.74
1122 ODESSANO 1126 ODESSA2_ 1,Line,To - From,-368.1,368.1,Hard Constraint,DODEMOS5,SEP_2025,PeakWE,153.45
1140 SHARBAUE 11211 TURNBAU 1,Line,To - From,-171.9,171.9,Hard Constraint,DMOSME25,SEP_2025,PeakWD,107.27
11688 THORNTR 11700 SALTILL 1,Line,From - To,988.2,988.2,Hard Constraint,SFMRCYC5,SEP_2025,PeakWE,0.6
11807 GOBERSW 11808 LORING_ 1,Line,From - To,191.7,191.7,Hard Constraint,DPRSPAC5,SEP_2025,PeakWE,1.96
11807 GOBERSW 11808 LORING_ 1,Line,From - To,191.7,191.7,Hard Constraint,DVLSPAC5,SEP_2025,PeakWE,4.45
1250 YUKONSS_ 1253 MIDWAY_8 1,Line,From - To,556.2,556.2,Hard Constraint,DWLFMET5,SEP_2025,Off-peak,0.53
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,171.9,171.9,Hard Constraint,DWLDSCO5,SEP_2025,Off-peak,3771.05
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,171.9,171.9,Hard Constraint,DWLDSCO5,SEP_2025,PeakWD,1692.84
1301 WILLOWVA 1308 GAILLYNT 1,Line,From - To,171.9,171.9,Hard Constraint,DWLDSCO5,SEP_2025,PeakWE,329.06
1304 DEEPCRK_ 1311 SACROC_8 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,SEP_2025,Off-peak,1083.54
1305 SNYDER_8 1318 CHINAGRV 1,Line,To - From,-171.9,171.9,Hard Constraint,SECRDMT8,SEP_2025,PeakWD,830.24
1305 SNYDER_8 1318 CHINAGRV 1,Line,To - From,-171.9,171.9,Hard Constraint,SECRDMT8,SEP_2025,PeakWE,43.17
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,171.9,171.9,Hard Constraint,SECRDMT8,SEP_2025,PeakWD,57.73
1309 BLUFCKTA 1318 CHINAGRV 1,Line,From - To,171.9,171.9,Hard Constraint,SECRDMT8,SEP_2025,PeakWE,1125.64
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,SEP_2025,Off-peak,10018.97
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,SEP_2025,PeakWD,8367.68
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DSCOFAR5,SEP_2025,PeakWD,741.54
1310 KNAPP_8 1312 SCURYCHV 1,Line,To - From,-171.9,171.9,Hard Constraint,DMTSCOS5,SEP_2025,PeakWE,2644.68
1313 ENISCKTA 1315 BRAND_8 1,Line,From - To,357.3,357.3,Hard Constraint,DMTSCOS5,SEP_2025,PeakWD,52.09
1313 ENISCKTA 1315 BRAND_8 1,Line,From - To,357.3,357.3,Hard Constraint,SSCUSU28,SEP_2025,PeakWD,5.46
