SourceSink,CalendarPeriod,TimeOfUse,ShadowPricePerMWH
CEDRVALE_RN,SEP_2025,PeakWD,-10.873018
DSWL_BES1,SEP_2025,PeakWD,-2.924190
HRNT_SLR_RN,SEP_2025,PeakWD,1.882105
WRSBES_BESS1,SEP_2025,PeakWD,-11.131353
REDBARN_RN,SEP_2025,PeakWD,-9.403255
SBEAN_BESS,SEP_2025,PeakWD,-10.893358
VISION_RN,SEP_2025,PeakWD,-2.970340
GRIF_TRL_RN,SEP_2025,PeakWD,-0.240204
PERE_SLR_RN,SEP_2025,PeakWD,5.398958
VIC_VICTORG6,SEP_2025,PeakWD,3.424491
VIC_VICTORG5,SEP_2025,PeakWD,3.424491
MYR_ALL,SEP_2025,PeakWD,-3.458755
CEDROHI_CHW1,SEP_2025,PeakWD,6.895918
HAMI_BESS_RN,SEP_2025,PeakWD,-11.528087
CMPD_SLR_RN,SEP_2025,PeakWD,8.117278
BRP_ZPT1_RN,SEP_2025,PeakWD,-1.205254
N_MRD_ESR_RN,SEP_2025,PeakWD,-1.847156
SPNC_SPNCE_5,SEP_2025,PeakWD,-4.240499
RIOG_ESR2_RN,SEP_2025,PeakWD,0.087826
VORT_ALL_RN,SEP_2025,PeakWD,-0.742967
SPNC_SPNCE_4,SEP_2025,PeakWD,-4.240499
SAN_SANMIGG1,SEP_2025,PeakWD,1.776177
SC2SES_UNIT1,SEP_2025,PeakWD,-2.697394
MCLNSLR_RN,SEP_2025,PeakWD,-6.692657
CBECII_CT7,SEP_2025,PeakWD,-1.198179
WILDWIND_ALL,SEP_2025,PeakWD,-2.596939
MU_RN,SEP_2025,PeakWD,-5.868287
TGCCS_ALL,SEP_2025,PeakWD,-2.507068
HB_NORTH,SEP_2025,PeakWD,-2.475475
COTPLNS_RN,SEP_2025,PeakWD,1.637754
SIG_SLR_RN,SEP_2025,PeakWD,-3.924053
CISC_RN,SEP_2025,PeakWD,-11.948639
TYSN_SLR_RN,SEP_2025,PeakWD,-2.866157
CALAVER_JKS2,SEP_2025,PeakWD,-10.019108
CALAVER_JKS1,SEP_2025,PeakWD,-10.019108
FALFUR_RN2,SEP_2025,PeakWD,4.684376
FORTMA_RN,SEP_2025,PeakWD,-10.437605
CALAVER_JTD2,SEP_2025,PeakWD,-11.614806
CALAVER_JTD1,SEP_2025,PeakWD,-11.614806
HHGT_KENDAL,SEP_2025,PeakWD,-6.510894
BRPMAGNO_RN,SEP_2025,PeakWD,-6.591305
PEARSALL_RN,SEP_2025,PeakWD,2.574421
LASSO_GEN,SEP_2025,PeakWD,-11.471141
HEN_RN,SEP_2025,PeakWD,-3.821205
LGE_LGE_GT2,SEP_2025,PeakWD,4.509330
LGE_LGE_GT1,SEP_2025,PeakWD,4.509330
RIPPEY_ALL,SEP_2025,PeakWD,-4.150952
SANDHSYD6_7,SEP_2025,PeakWD,-10.915662
BRP_PBL2_RN,SEP_2025,PeakWD,-9.522657
DC_R,SEP_2025,PeakWD,1.636367
PAVO_ESS_ALL,SEP_2025,PeakWD,-11.622669
ESCONDID_ESR,SEP_2025,PeakWD,-7.768903
PINEFRST_RN,SEP_2025,PeakWD,-3.023812
DC_N,SEP_2025,PeakWD,-0.431205
PISG_RN_ALL,SEP_2025,PeakWD,-2.893129
ALGOD_ALL_RN,SEP_2025,PeakWD,5.912556
DC_L,SEP_2025,PeakWD,9.301921
