TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
04/09/2025,DAG_ALL,THW_THWGT5X,PeakWE,08/01/2025,-6.7786,0.62
04/09/2025,AGUAYO_UNIT1,NACPW_UNIT1,PeakWE,08/01/2025,-9.5983,-0.6851
04/09/2025,TRINITY_ALL,HWF_HWFG1,PeakWE,08/01/2025,-0.8009,0.3721
04/09/2025,TRINITY_ALL,WILDWIND_ALL,PeakWE,08/01/2025,-0.3381,1.0053
04/09/2025,W_HRL_ESR_RN,SROSA_ESR_RN,PeakWE,08/01/2025,-21.2881,-0.9148
04/09/2025,SHEEPCRK_1,CHISMGRD_RN,PeakWE,08/01/2025,-2.2521,0.0123
04/09/2025,SHAMROCK_RN,FLCNS_UNIT3,PeakWE,08/01/2025,-19.6591,0.0735
04/09/2025,OECCS_1,LASSO_GEN,PeakWE,08/01/2025,-0.7377,0.0144
04/09/2025,TRSES_UNIT6,SAMSON_ALL,PeakWE,08/01/2025,-4.9859,-1.296
04/09/2025,WHTTAIL_WR1,VLSES_UNIT3,PeakWE,08/01/2025,-6.362,-0.3594
04/09/2025,PENA_ALL,COL_COLETOG1,PeakWE,08/01/2025,-3.6773,-0.0143
04/09/2025,CBEC_ALL,TAV_RN,PeakWE,08/01/2025,-30.9262,-3.0
04/09/2025,LNCRK_ALL,HB_NORTH,PeakWE,08/01/2025,-2.1043,-0.0857
04/09/2025,GRANDVW1_A_B,HB_NORTH,PeakWE,08/01/2025,-0.4565,2.1775
04/09/2025,AEEC,SWTWN4_WND45,PeakWE,08/01/2025,-0.7422,1.8799
04/09/2025,WAKEWE_ALL,FLCNS_UNIT1,PeakWE,08/01/2025,-2.7862,2.7418
04/09/2025,SLTFRK_UN1_2,QUEEN_SL_RN,PeakWE,08/01/2025,-2.5001,6.2018
04/09/2025,BUCKTHRN_RN,LZ_LCRA,PeakWE,08/01/2025,-5.1565,-1.963
04/09/2025,RN_RTS1,HI_LONE_ALL,PeakWE,08/01/2025,-1.9952,2.9321
04/09/2025,HOLSTEIN_ALL,DC_N,PeakWE,08/01/2025,-5.222,-2.1812
04/09/2025,BRPMAGNO_RN,ALVIN_RN,PeakWE,08/01/2025,-152.4159,-20.0
04/09/2025,BRPMAGNO_RN,NEBULA_RN,PeakWE,08/01/2025,-156.6032,-32.5992
04/09/2025,BRP_DIKN_RN,ELSAUZ_ALL,PeakWE,08/01/2025,-147.1865,-29.5174
04/09/2025,BRP_LOOP_RN,SKY1,PeakWE,08/01/2025,-4.4855,-0.4061
04/09/2025,MASSENGL_G7,KINGW_ALL,PeakWE,08/01/2025,-8.5874,7.8757
04/09/2025,AZURE_RN,WCPP_ST1,PeakWE,08/01/2025,-0.7206,1.9945
04/09/2025,BUCKTHRN_RN,PANDA_S_CT2,PeakWE,08/01/2025,-7.5094,-3.841
04/09/2025,RN_RTS1,LONEWOLF_ALL,PeakWE,08/01/2025,-3.3673,0.3324
