TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
10/15/2025,MESQCRK_ALL,TAHOKA_ALL,PeakWE,03/01/2026,-0.711,0.9805
10/15/2025,CALAVER_JTD1,TC_PUN1,PeakWE,03/01/2026,-11.516,-2.8397
10/15/2025,YNG_WND_ALL,SWTWN4_WND45,PeakWE,03/01/2026,-2.7951,-0.5852
10/15/2025,OECCS_1,SWEC_G1,PeakWE,03/01/2026,-3.5312,0.3727
10/15/2025,BARROW_ALL,SWEC_G1,PeakWE,03/01/2026,-4.9984,-1.2457
10/15/2025,SWT_BESS_RN,STWF_T1,PeakWE,03/01/2026,-5.5969,-0.9145
10/15/2025,T_CK_GT3_RN,CALLAHA_WND1,PeakWE,03/01/2026,-29.0654,-7.6972
10/15/2025,HAYSEN3_4,CALAVER_JTD1,PeakWE,03/01/2026,-0.1035,2.1456
10/15/2025,WIR_WIRTZ_G2,PAD1_ESS_RN,PeakWE,03/01/2026,-5.5281,0.9591
10/15/2025,PRID_RN,NF_BRP_RN,PeakWE,03/01/2026,-3.0439,6.618
10/15/2025,WCPP_ST1,TNSKA_CCU,PeakWE,03/01/2026,-7.9143,0.1734
10/15/2025,E_BLACK_RN,TNSKA_CCU,PeakWE,03/01/2026,-13.2695,-3.88
10/15/2025,OGSES_1,TNP_TNP_O_1,PeakWE,03/01/2026,-8.6106,0.0058
10/15/2025,DUP_PUN1,TNP_TNP_O_1,PeakWE,03/01/2026,-5.4397,-4.4952
10/15/2025,CBY4_ALL,THW_THWGT_1,PeakWE,03/01/2026,-4.6788,-5.3834
10/15/2025,OR_BESS_RN,THW_THWGT_1,PeakWE,03/01/2026,-6.1207,-1.7312
10/15/2025,WFTANK_ESS1,HOLCOMB_RN1,PeakWE,03/01/2026,0.9757,2.5315
10/15/2025,T_CK_GT3_RN,LON_RN1,PeakWE,03/01/2026,-26.4227,-7.7173
10/15/2025,DUP_PUN1,LON_RN1,PeakWE,03/01/2026,-13.6669,-5.2196
10/15/2025,NUE_NUECESG7,SPARTA_ALL,PeakWE,03/01/2026,-7.2779,-2.3595
10/15/2025,FOXTROT_ALL,CALAVER_JKS1,PeakWE,03/01/2026,0.1282,6.6936
10/15/2025,TOPAZ_ALL,BYU_BYU_12,PeakWE,03/01/2026,-8.0063,-5.2464
10/15/2025,BTE_PUN1,BVE_UNIT3,PeakWE,03/01/2026,-10.4188,-4.2924
10/15/2025,THW_THWGT_1,BVE_UNIT1,PeakWE,03/01/2026,-10.2479,-3.0797
10/15/2025,TAHOKA_ALL,BULLCRK_1_2,PeakWE,03/01/2026,-8.199,-3.6165
10/15/2025,TYLRWIND_RN,NOBLESLR_ALL,PeakWE,03/01/2026,-5.1499,2.9427
10/15/2025,LAMESASLR_G,RN_TOSBATT,PeakWE,03/01/2026,-17.7253,-5.7901
10/15/2025,HAYSEN1_2,RIONOG_CT1,PeakWE,03/01/2026,-2.9902,0.2405
10/15/2025,BULLCRK_1_2,RDCAN_RDCNY1,PeakWE,03/01/2026,-9.5696,-1.4878
10/15/2025,AZURE_RN,RDCAN_RDCNY1,PeakWE,03/01/2026,-1.9098,1.6239
10/15/2025,BOOTLEG_UN1,WHMESA_U1,PeakWE,03/01/2026,-12.2156,-1.3332
10/15/2025,SCLP_PUN3,NCO_RN,PeakWE,03/01/2026,-0.039,-0.1114
10/15/2025,SCLP_PUN1,NCO_RN,PeakWE,03/01/2026,-0.0397,-0.1216
10/15/2025,WEC_WECG1,STWF_T1,PeakWE,03/01/2026,-5.789,1.158
10/15/2025,HB_SOUTH,STP_STP_G2,PeakWE,03/01/2026,-3.7463,-1.4698
10/15/2025,RN_APOGEE,ENDPARK_ESS1,PeakWE,03/01/2026,-11.8425,-3.1121
10/15/2025,RN_DEC_AGR_A,NOBLESLR_ALL,PeakWE,03/01/2026,-4.2851,-0.665
10/15/2025,NED_NEDIN_G3,REDGATE_RN,PeakWE,03/01/2026,-6.4721,-0.5
10/15/2025,PLN_ALL,PEY_RN,PeakWE,03/01/2026,-1.8526,-1.511
10/15/2025,INDNENR_2_RN,HI_LONE_ALL,PeakWE,03/01/2026,-13.0232,-2.0528
10/15/2025,QALSW_ALL,FLTBES1,PeakWE,03/01/2026,-0.6644,1.4967
10/15/2025,PC_NORTH_1,FLTBES1,PeakWE,03/01/2026,-1.6733,11.1417
10/15/2025,RADN_SLR_ALL,PYR_PYRON1,PeakWE,03/01/2026,-16.3656,-1.7096
10/15/2025,BARROW_ALL,PB2SES_CT4,PeakWE,03/01/2026,-3.4834,2.6985
10/15/2025,LV1A_LV1B,OXY_PUN2,PeakWE,03/01/2026,0.1133,4.0498
10/15/2025,HELIOS_RN,STP_STP_G1,PeakWE,03/01/2026,-10.1061,-9.4322
10/15/2025,BUCKTHRN_RN,STEAM_ENG123,PeakWE,03/01/2026,-5.9926,-2.3935
