TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
12/10/2025,VENADO_ALL,STAR_SLR_RN,PeakWD,04/01/2027,-1.8636,-0.382
12/10/2025,HALO_RN1,EBELLS_UNIT1,PeakWD,04/01/2027,-0.8727,-0.1055
12/10/2025,AGUAYO_UNIT1,CORALSLR_ALL,PeakWD,04/01/2027,-14.7467,-0.1289
12/10/2025,SCSES_UNIT2,ANOL_ESS_RN,PeakWD,04/01/2027,-2.2948,-0.25
12/10/2025,SUNVASLR_ALL,MERCURY_ALL,PeakWD,04/01/2027,-0.1551,-0.14
12/10/2025,TRSES_UNIT6,WILDWIND_ALL,PeakWD,04/01/2027,-8.7078,-1.6936
12/10/2025,HHOLLW4_WND1,WILDWIND_ALL,PeakWD,04/01/2027,-4.605,-0.2334
12/10/2025,LZ_CPS,RN_OCI_ALAMO,PeakWD,04/01/2027,-5.758,-0.3646
12/10/2025,YNG_WND_ALL,PANDA_S_CT1,PeakWD,04/01/2027,-0.2657,1.861
12/10/2025,COL_COLETOG1,E_BLACK_RN,PeakWD,04/01/2027,-1.4235,5.0707
12/10/2025,MIDWY_RN,BARROW_ALL,PeakWD,04/01/2027,-2.0564,-1.9429
12/10/2025,LON_RN1,TORT_ESS_RN,PeakWD,04/01/2027,-2.348,-1.49
12/10/2025,BORDAS_345,FALFUR_RN,PeakWD,04/01/2027,-1.0447,1.9169
12/10/2025,INGLCO_PUN1,INGLCO_PUN3,PeakWD,04/01/2027,-2.319,-0.3655
12/10/2025,BLSMT1_5_A_6,MASSENGL_G8,PeakWD,04/01/2027,-27.0139,-11.4892
12/10/2025,PAVLOV_BT_RN,MASSENGL_G6,PeakWD,04/01/2027,-19.2977,-8.2815
12/10/2025,TOPAZ_ALL,LZ_CPS,PeakWD,04/01/2027,-15.9597,-3.5067
12/10/2025,WCPP_CT1,OLIN_OLING_3,PeakWD,04/01/2027,-2.1394,2.4918
12/10/2025,ROUTE66_RN,HWF_HWFG1,PeakWD,04/01/2027,0.015,4.6651
12/10/2025,CNTRY_RN,HLSES_UNIT4,PeakWD,04/01/2027,-1.1054,0.0846
12/10/2025,GUNMTN_NODE,HHOLLW2_WND1,PeakWD,04/01/2027,-27.4708,-14.823
12/10/2025,PITSDD_UNIT1,VISION_RN,PeakWD,04/01/2027,-9.8466,-1.2906
