TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
01/13/2026,EUNICE_ALL,FLCNS_UNIT1,PeakWE,09/01/2027,-14.2328,-11.0627
01/13/2026,JUNO_ALL,FLCNS_UNIT1,PeakWE,09/01/2027,-3.7972,-1.8912
01/13/2026,WEBBER_WS_T1,BASTEN_CCU,PeakWE,09/01/2027,-1.8207,0.0383
01/13/2026,FERMI_ALL,AMISTAD_ALL,PeakWE,09/01/2027,-8.0604,-2.0222
01/13/2026,COL_COLETOG1,HB_SOUTH,PeakWE,09/01/2027,-1.393,4.8817
01/13/2026,CCEC_GT2,HB_SOUTH,PeakWE,09/01/2027,-0.7718,4.0
01/13/2026,RN_OCI_ALAMO,LZ_AEN,PeakWE,09/01/2027,-6.5598,1.3441
01/13/2026,PANDA_T2_ST1,LZ_AEN,PeakWE,09/01/2027,-0.3905,4.2293
01/13/2026,SANDHSYD1_2,WEBBER_WS_T1,PeakWE,09/01/2027,-9.8007,-2.9734
01/13/2026,BASTEN_CCU,WEBBER_WS_T1,PeakWE,09/01/2027,-2.1008,-0.3038
01/13/2026,LZ_CPS,Z0_DGR1_RN,PeakWE,09/01/2027,-4.1805,0.447
01/13/2026,WOV_BESS_RN,BOOTLEG_UN1,PeakWE,09/01/2027,-11.6316,-2.1678
01/13/2026,AJAXWIND_RN,HORSECRK_RN,PeakWE,09/01/2027,-1.4341,-0.44
01/13/2026,BR_ARROW_ALL,PANDA_S_CT1,PeakWE,09/01/2027,-3.5345,0.75
01/13/2026,HB_PAN,PALE_ESS_EN,PeakWE,09/01/2027,-1.9215,-2.1377
01/13/2026,SCLP_PUN4,DAN_ALL,PeakWE,09/01/2027,-8.5663,-2.0307
01/13/2026,LV1A_LV1B,LMAJADAS_ALL,PeakWE,09/01/2027,-0.5465,-0.5035
01/13/2026,BRP_SWNY_RN,BRP_BRAZ_RN,PeakWE,09/01/2027,-0.1722,-0.06
01/13/2026,GID_GIDEONG1,WGU_RN,PeakWE,09/01/2027,-6.7804,-3.7908
01/13/2026,HB_WEST,WGU_RN,PeakWE,09/01/2027,-9.5077,-2.604
01/13/2026,INDNNWP_RN,PROSPERO_ALL,PeakWE,09/01/2027,-6.856,-2.0875
01/13/2026,Z0_DGR2_RN,PAD1_ESS_RN,PeakWE,09/01/2027,-0.7387,0.0822
01/13/2026,MOORE_FL_RN,NED_NEDIN_G2,PeakWE,09/01/2027,-1.745,-0.84
01/13/2026,HB_PAN,HRFDWIND_ALL,PeakWE,09/01/2027,-2.3522,-0.2431
01/13/2026,BR_ARROW_ALL,FRNYPP_1_CCU,PeakWE,09/01/2027,-3.2098,0.0572
01/13/2026,PRID_RN,BULLCRK_1_2,PeakWE,09/01/2027,-6.0199,2.4564
01/13/2026,HALO_RN1,BASTEN_CCU,PeakWE,09/01/2027,-1.2271,1.3512
01/13/2026,SANDHSYD1_2,BASTEN_CCU,PeakWE,09/01/2027,-8.2607,-3.0952
01/13/2026,SWTWN4_WND45,HB_NORTH,PeakWE,09/01/2027,-2.44,0.01
01/13/2026,MLSES_UNIT2,HB_NORTH,PeakWE,09/01/2027,-2.428,-0.2348
01/13/2026,GRSES_UNIT2,HB_NORTH,PeakWE,09/01/2027,-0.5244,0.5172
01/13/2026,FRNYPP_2_CCU,HB_NORTH,PeakWE,09/01/2027,-1.7472,-0.0082
01/13/2026,PISG_RN_ALL,HB_NORTH,PeakWE,09/01/2027,-1.6995,-0.2399
01/13/2026,LGD_LANGFORD,BUCKTHRN_RN,PeakWE,09/01/2027,-15.5833,-3.6215
01/13/2026,ALP_BESS_RN,GUNMTN_NODE,PeakWE,09/01/2027,-2.548,-1.4867
01/13/2026,OBERON_U1,GUNMTN_NODE,PeakWE,09/01/2027,-15.1494,-3.2083
01/13/2026,SHANNONW_RN,LPCCS_CT12,PeakWE,09/01/2027,-1.1632,0.8399
