TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
03/05/2025,KINGW_ALL,LAPETUS_U1,PeakWE,04/01/2025,-11.2428,0.3718
03/05/2025,SENATEWD_1,FREC_2_CCU,PeakWE,04/01/2025,-1.3919,2.9282
03/05/2025,ANACACHO_ANA,AMISTAD_ALL,PeakWE,04/01/2025,-26.5873,-1.6
03/05/2025,LV1A_LV1B,LMAJADAS_ALL,PeakWE,04/01/2025,-0.0651,-0.0068
03/05/2025,HELIOS_RN,BRHEIGHT_RN,PeakWE,04/01/2025,-10.4212,4.0623
03/05/2025,DERMOTT_ALL,LEG_LEG_G2,PeakWE,04/01/2025,-2.2124,4.6435
03/05/2025,SENATEWD_1,LHSES_UNIT1,PeakWE,04/01/2025,-2.687,3.3454
03/05/2025,BLSMT1_5_A_6,RN_APOGEE,PeakWE,04/01/2025,-0.8393,0.2846
03/05/2025,JACKCNTY_STG,TEN_CT1_STG,PeakWE,04/01/2025,-4.8753,-1.7856
03/05/2025,JACKCNTY_STG,MCSES_UNIT7,PeakWE,04/01/2025,-7.6286,-0.8205
03/05/2025,FREC_1_CCU,LZ_RAYBN,PeakWE,04/01/2025,-0.9277,-0.1828
03/05/2025,CVC_CVC_G2,THW_THWGT5X,PeakWE,04/01/2025,-4.6962,-1.3596
03/05/2025,CCEC_PUN1,COTTON_PAP2,PeakWE,04/01/2025,-6.1031,-0.22
03/05/2025,BUFF_GAP_ALL,WH_WIND_ALL,PeakWE,04/01/2025,-6.0122,-0.5012
03/05/2025,HB_SOUTH,HB_NORTH,PeakWE,04/01/2025,-7.4707,-4.038
03/05/2025,LNCRK_ALL,HB_NORTH,PeakWE,04/01/2025,-2.1043,0.582
03/05/2025,FLUVANNA_1_2,HICK_G1_G2,PeakWE,04/01/2025,-2.5146,-0.2835
03/05/2025,BBREEZE_1_2,HB_SOUTH,PeakWE,04/01/2025,0.2108,10.33
03/05/2025,RN_RTS1,PANDA_T1_CT1,PeakWE,04/01/2025,-9.9225,7.5426
03/05/2025,PALMWI_UNIT1,RN_SR_WIND1,PeakWE,04/01/2025,-0.4132,3.3345
03/05/2025,HOLSTEIN_ALL,HB_NORTH,PeakWE,04/01/2025,-3.001,6.7554
03/05/2025,VERAWIND_ALL,TTWEC_G1,PeakWE,04/01/2025,-3.4067,0.4155
03/05/2025,KINGE_ALL,HB_NORTH,PeakWE,04/01/2025,-32.2796,4.5911
