TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
07/01/2025,LZ_LCRA,JUNCTION_RN,PeakWE,08/01/2025,-15.6114,4.4014
07/01/2025,LZ_CPS,HAYSEN1_2,PeakWE,08/01/2025,-6.1267,-2.96
07/01/2025,HB_WEST,FLCNS_UNIT1,PeakWE,08/01/2025,-1.6591,-2.954
07/01/2025,HB_HUBAVG,WIR_WIRTZ_G1,PeakWE,08/01/2025,-3.9843,7.7212
07/01/2025,PEARSA_1_24,COL_COLETOG1,PeakWE,08/01/2025,-40.9415,-12.003
07/01/2025,PEARSA_1_24,BRP_LOP1_RN,PeakWE,08/01/2025,-35.4597,-1.0003
07/01/2025,TGCCS_ALL,WCPP_ST1,PeakWE,08/01/2025,-7.8953,-0.9888
07/01/2025,SCES_UNIT1,TNS_SLR_ALL,PeakWE,08/01/2025,-0.1531,0.5858
07/01/2025,WHTTAIL_WR1,PANDA_S_CT2,PeakWE,08/01/2025,-4.9546,0.0294
07/01/2025,TTWEC_G1,HB_WEST,PeakWE,08/01/2025,-19.6069,-2.054
07/01/2025,WIR_WIRTZ_G1,BATCAVE_RN,PeakWE,08/01/2025,-7.1906,-3.0133
07/01/2025,WEC_WECG1,PANDA_S_CT2,PeakWE,08/01/2025,-7.9036,-1.3353
07/01/2025,TEN_CT1_STG,DILEOS_UNIT1,PeakWE,08/01/2025,-12.5095,-6.1071
07/01/2025,NUE_NUECESG9,NUE_NUECESG8,PeakWE,08/01/2025,-0.0593,-0.3837
07/01/2025,MDANP_CT5_6,FILESSLR_PV1,PeakWE,08/01/2025,-6.1986,-0.3202
07/01/2025,HLSES_UNIT3,HB_WEST,PeakWE,08/01/2025,-11.2447,4.3552
07/01/2025,HAYSEN3_4,WEBBER_WS_T1,PeakWE,08/01/2025,-3.0568,-0.5807
07/01/2025,GBY_GT,HB_HOUSTON,PeakWE,08/01/2025,-1.3728,-1.2292
07/01/2025,DUP_PUN3,HAMI_BESS_RN,PeakWE,08/01/2025,-13.4747,9.0822
07/01/2025,CCEC_GT1,HB_SOUTH,PeakWE,08/01/2025,-0.7718,10.4267
07/01/2025,B_D_B_DAVIG1,CRANELL_ALL,PeakWE,08/01/2025,-2.7173,-3.4873
07/01/2025,BUFF_GAP_ALL,PORTSL_UNIT1,PeakWE,08/01/2025,-2.9768,-2.2526
07/01/2025,BASTEN_CCU,LOS_LOSTPGT1,PeakWE,08/01/2025,-3.8101,-1.6908
07/01/2025,RN_OCI_ALAMO,WEBBER_WS_T1,PeakWE,08/01/2025,-7.8164,-8.4651
07/01/2025,GPASTURE_ALL,HORSECRK_RN,PeakWE,08/01/2025,-0.9391,-0.7314
07/01/2025,SHANNONW_RN,WCPP_CT1,PeakWE,08/01/2025,-0.5977,-0.0429
07/01/2025,BSS_U1,BRPANGLE_RN,PeakWE,08/01/2025,-0.6562,-0.3722
07/01/2025,IMP_RN1,EIFSLR_UNIT1,PeakWE,08/01/2025,-2.0223,-0.84
07/01/2025,PHILLWND_ALL,BOSQ_BSQS_34,PeakWE,08/01/2025,-1.5386,-0.22
07/01/2025,REDBARN_RN,BOOTLEG_UN1,PeakWE,08/01/2025,0.0,-0.0387
07/01/2025,ARAGORN_RN,GOMZ_RN,PeakWE,08/01/2025,-2.6382,-0.5646
07/01/2025,CHISMGRD_RN,LFSTH_RN,PeakWE,08/01/2025,-2.6546,0.4985
07/01/2025,VORT_ALL_RN,TNSKA_CCU,PeakWE,08/01/2025,-6.4337,0.0137
07/01/2025,BIGSTAR_ALL,HB_HOUSTON,PeakWE,08/01/2025,-3.4509,1.3565
07/01/2025,TREB_SOLAR1,AMISTAD_ALL,PeakWE,08/01/2025,-22.1647,9.8963
07/01/2025,CISC_RN,PANDA_S_CT2,PeakWE,08/01/2025,-32.7889,-1.533
07/01/2025,PAULN_RN,RN_DEC_AGR_D,PeakWE,08/01/2025,-23.2172,0.2847
07/01/2025,MDANP_CT5_6,SCES_UNIT1,PeakWE,08/01/2025,-42.0607,-1.1568
07/01/2025,JACKCNTY_CT2,DANSBY_ALL,PeakWE,08/01/2025,-12.0578,-1.2529
07/01/2025,JACKCNTY_CT1,AUSTPL_ALL,PeakWE,08/01/2025,-6.406,-1.1624
07/01/2025,CPSES_UNIT1,HB_NORTH,PeakWE,08/01/2025,-0.7423,0.5846
07/01/2025,CALLAHA_WND1,HOLSTEIN_ALL,PeakWE,08/01/2025,-9.7381,-1.5663
07/01/2025,BVE_UNIT2,FTR_FTR_G1_4,PeakWE,08/01/2025,-3.9315,-1.1929
07/01/2025,LZ_RAYBN,PHOENIX_RN,PeakWE,08/01/2025,-3.2364,-2.344
07/01/2025,LZ_NORTH,STEAM_ENG123,PeakWE,08/01/2025,-0.9594,-0.4603
07/01/2025,LZ_NORTH,TURQ_BESS1,PeakWE,08/01/2025,-1.3407,-0.5537
07/01/2025,HB_SOUTH,LZ_SOUTH,PeakWE,08/01/2025,-22.3679,0.57
07/01/2025,HB_SOUTH,LZ_CPS,PeakWE,08/01/2025,0.4951,6.41
07/01/2025,HB_SOUTH,HB_NORTH,PeakWE,08/01/2025,-7.31,4.0
07/01/2025,CBY4_ALL,HB_HOUSTON,PeakWE,08/01/2025,-3.8854,-2.2689
07/01/2025,REDFISH_ALL,HB_SOUTH,PeakWE,08/01/2025,-6.3065,12.1119
07/01/2025,LV1A_LV1B,RN_SR_WIND1,PeakWE,08/01/2025,-5.2269,1.1645
07/01/2025,GWEC_G1,LZ_LCRA,PeakWE,08/01/2025,-3.1617,1.053
07/01/2025,WAKEWE_ALL,RANCHERO_ALL,PeakWE,08/01/2025,-2.2994,3.1785
07/01/2025,WAKEWE_ALL,HI_LONE_ALL,PeakWE,08/01/2025,-2.4243,3.6364
07/01/2025,HICK_G1_G2,HB_NORTH,PeakWE,08/01/2025,-26.0347,-1.4
07/01/2025,CN_BRKS_UNT1,VERTIGO_UN1,PeakWE,08/01/2025,-8.5653,1.5208
07/01/2025,MISAE_GEN_RN,IND_INADALE1,PeakWE,08/01/2025,-6.131,1.2684
07/01/2025,BCH_RN,LZ_CPS,PeakWE,08/01/2025,-3.3058,-0.1182
07/01/2025,LACY_CRK_ALL,HB_NORTH,PeakWE,08/01/2025,-28.8496,-1.6928
07/01/2025,OLNEYTN_RN,GRSES_UNIT1,PeakWE,08/01/2025,-21.6409,-12.0
07/01/2025,VIC_VICTORG6,HB_SOUTH,PeakWE,08/01/2025,-6.5342,-1.128
07/01/2025,SJS_SJS_G1,WAP_WAP_G3,PeakWE,08/01/2025,-8.0543,-3.5328
07/01/2025,NCARBIDE_1_7,BRIGHTSD_U1,PeakWE,08/01/2025,-13.36,-6.0385
07/01/2025,LHM_PUN2,HB_HOUSTON,PeakWE,08/01/2025,-2.1623,-1.1023
07/01/2025,HLSES_UNIT4,HB_NORTH,PeakWE,08/01/2025,-4.5133,1.7132
07/01/2025,HHOLLW3_WND1,RN_RTS1,PeakWE,08/01/2025,-5.8454,-0.4424
07/01/2025,FLTCK_SSI,MIL_MILG1_2,PeakWE,08/01/2025,-7.9917,-0.4328
07/01/2025,BUCHAN_ALL,AUSTPL_ALL,PeakWE,08/01/2025,-4.6439,-0.7148
07/01/2025,HB_HUBAVG,WAP_WAP_G5,PeakWE,08/01/2025,-1.4631,-0.1275
07/01/2025,CBEC_ALL,DAG_ALL,PeakWE,08/01/2025,-11.3044,-3.9045
07/01/2025,PANDA_T1_CT1,LZ_NORTH,PeakWE,08/01/2025,-2.9184,1.662
07/01/2025,LHORN_N_U1_2,WAKEWE_ALL,PeakWE,08/01/2025,-0.805,0.4837
07/01/2025,CAMWIND_RN,ELSAUZ_ALL,PeakWE,08/01/2025,-10.4076,0.8407
07/01/2025,SPLAIN1_RN,PALE_ESS_EN,PeakWE,08/01/2025,-1.6017,-2.106
07/01/2025,BRISCOE_WIND,DERMOTT_ALL,PeakWE,08/01/2025,-3.0441,1.0984
07/01/2025,X443ESRN,CALAVER_JTD2,PeakWE,08/01/2025,-3.4284,-1.1286
07/01/2025,CONIGLIO_RN,LPCCS_CT11,PeakWE,08/01/2025,-27.4336,-1.5248
07/01/2025,BAIRDWND_ALL,NOBLESLR_ALL,PeakWE,08/01/2025,-1.3809,1.0615
07/01/2025,TOYAH_RN,HOUSEMTN_RN,PeakWE,08/01/2025,-1.6614,-0.02
07/01/2025,SBE_RN_1,WAP_WAP_G6,PeakWE,08/01/2025,-12.2541,-6.4279
07/01/2025,ELS_RN_1,DC_E,PeakWE,08/01/2025,-3.5888,-0.5873
07/01/2025,RRC_WIND_ALL,BAIRDWND_ALL,PeakWE,08/01/2025,-0.8141,0.226
07/01/2025,OR_BESS_RN,FEGC_RN,PeakWE,08/01/2025,-5.553,-4.3624
07/01/2025,ELZA_SLR_RN,PRCRK_RN,PeakWE,08/01/2025,-1.7493,-0.3007
07/01/2025,OUTP_SLR_RN,HB_SOUTH,PeakWE,08/01/2025,-0.2509,8.1702
07/01/2025,SENATEWD_1,JCKCNTY2_ST2,PeakWE,08/01/2025,-0.1448,0.7659
07/01/2025,LV1A_LV1B,EL_RAYO_ALL,PeakWE,08/01/2025,-0.5805,1.2732
07/01/2025,MOZART_WIND1,RDCAN_RDCNY1,PeakWE,08/01/2025,-15.4391,-5.9
07/01/2025,MOZART_WIND1,SNY_BESS_RN,PeakWE,08/01/2025,-12.3927,-3.0655
07/01/2025,PNPI_GT2_RN,THW_1_CCU,PeakWE,08/01/2025,-1.1915,0.264
07/01/2025,PANDA_T2_ST1,FIVEWSLR_ALL,PeakWE,08/01/2025,-0.0695,0.1062
07/01/2025,WNDTS2_UNIT1,AMADEUS_ALL,PeakWE,08/01/2025,-21.2125,-1.4779
07/01/2025,GPASTURE_ALL,LZ_NORTH,PeakWE,08/01/2025,-0.2005,2.6529
07/01/2025,CAMWIND_RN,W_HRL_ESR_RN,PeakWE,08/01/2025,-0.2203,6.4471
07/01/2025,RN_SR_WIND1,REDFISH_ALL,PeakWE,08/01/2025,-5.7155,0.81
07/01/2025,ELECTRAW_1_2,VORT_ALL_RN,PeakWE,08/01/2025,-0.6758,0.1876
07/01/2025,FERMI_ALL,RUSSEKST_RN,PeakWE,08/01/2025,-4.802,5.6848
07/01/2025,DERMOTT_ALL,ANSON1_ALL,PeakWE,08/01/2025,-1.3662,0.7375
07/01/2025,OECCS_1,FWLR_SLR_1,PeakWE,08/01/2025,-0.6857,0.276
07/01/2025,MIL_MILG1_2,RN_DEC_AGR_B,PeakWE,08/01/2025,-17.0726,-1.8783
07/01/2025,MDANP_CT5_6,TTRSW_RN,PeakWE,08/01/2025,-3.7844,0.868
07/01/2025,MDANP_CT3_4,SPNC_SPNCE_5,PeakWE,08/01/2025,-24.5569,1.6897
07/01/2025,HHGT_KENDAL,PLN_ALL,PeakWE,08/01/2025,-23.637,-4.1977
07/01/2025,FREC_1_CCU,KELAMSL_U1,PeakWE,08/01/2025,-0.5499,0.2682
07/01/2025,DUKE_GST1CCU,N_MRD_ESR_RN,PeakWE,08/01/2025,-6.7924,-0.0149
07/01/2025,DDPEC_GT1,HB_HOUSTON,PeakWE,08/01/2025,-7.1214,-1.35
07/01/2025,LZ_LCRA,GID_GIDEONG3,PeakWE,08/01/2025,-19.112,-7.0
07/01/2025,JCKCNTY2_CT3,WCPP_CT1,PeakWE,08/01/2025,-0.1833,-0.2123
07/01/2025,MWEC_G1,FREC_1_CCU,PeakWE,08/01/2025,-24.2192,-1.8819
07/01/2025,LEONLCPCT3_4,PSG_PSG_GT3,PeakWE,08/01/2025,-7.4255,-1.2788
07/01/2025,JCKCNTY2_CT4,TNSKA_CCU,PeakWE,08/01/2025,-7.8872,-0.5477
07/01/2025,QALSW_ALL,BOOTLEG_UN1,PeakWE,08/01/2025,-2.0188,-0.8697
07/01/2025,GWEC_G1,MAR_MARSFOG1,PeakWE,08/01/2025,-3.1101,1.27
