TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
10/29/2025,CTW_RN,HB_HOUSTON,PeakWD,12/01/2025,-0.4806,-0.6253
10/29/2025,VORT_ALL_RN,AZURE_RN,PeakWD,12/01/2025,-0.5463,-0.2846
10/29/2025,RN_APOGEE,LNCRK_ALL,PeakWD,12/01/2025,-0.3351,0.5725
10/29/2025,RN_APOGEE,BOOTLEG_UN1,PeakWD,12/01/2025,0.6073,13.6831
10/29/2025,RN_APOGEE,CNTRY_RN,PeakWD,12/01/2025,-5.4205,1.1419
10/29/2025,WHTTAIL_WR1,LPCCS_UNIT1,PeakWD,12/01/2025,-17.5434,1.8228
10/29/2025,WHTTAIL_WR1,HMNG_ESS_RN,PeakWD,12/01/2025,-8.4077,1.4481
10/29/2025,WCPP_CT2,RIPPEY_ALL,PeakWD,12/01/2025,-4.0499,0.5125
10/29/2025,TNP_TNP_O_1,FEGC_RN,PeakWD,12/01/2025,-2.827,-0.6262
10/29/2025,SWEETWN3_3,LHSES_UNIT1,PeakWD,12/01/2025,-4.8091,1.2173
10/29/2025,WHTTAIL_WR1,PANDA_S_CT2,PeakWD,12/01/2025,-5.5197,-0.5456
10/29/2025,TTWEC_G1,HB_WEST,PeakWD,12/01/2025,-19.977,-2.5751
10/29/2025,TTWEC_G1,DERMOTT_ALL,PeakWD,12/01/2025,-28.8891,-2.9048
10/29/2025,TTWEC_G1,WL_RANCH_RN,PeakWD,12/01/2025,-21.1338,-2.3423
10/29/2025,TRSES_UNIT6,OBERON_U1,PeakWD,12/01/2025,-9.0163,2.8753
10/29/2025,STP_STP_G1,HB_HOUSTON,PeakWD,12/01/2025,-0.7197,4.2178
10/29/2025,STEAM_ENG123,SAMSON_ALL,PeakWD,12/01/2025,-6.1079,-1.1014
10/29/2025,SPNC_SPNCE_5,PISG_RN_ALL,PeakWD,12/01/2025,-14.0253,1.2242
10/29/2025,RAYB_G78910,MUSTNGCK_ALL,PeakWD,12/01/2025,-2.065,4.2808
10/29/2025,PYR_PYRON1,ODESW_RN,PeakWD,12/01/2025,0.7048,5.0606
10/29/2025,LPCCS_CT22,HB_NORTH,PeakWD,12/01/2025,-2.7163,0.0568
10/29/2025,AMADEUS_ALL,ANDMDSLR_ALL,PeakWD,12/01/2025,-0.3742,-0.198
10/29/2025,ODESW_RN,HOVEY_GEN,PeakWD,12/01/2025,-2.801,0.905
10/29/2025,BRPANGLE_RN,WAP_WAP_G5,PeakWD,12/01/2025,-1.1128,0.4931
10/29/2025,RELOJ_ALL,LV3_UNIT1,PeakWD,12/01/2025,-0.4201,0.4189
10/29/2025,RIPPEY_ALL,ELZA_SLR_RN,PeakWD,12/01/2025,-21.453,1.3055
10/29/2025,WCPP_CT1,MCSES_UNIT7,PeakWD,12/01/2025,-0.1395,3.15
10/29/2025,WAP_WAP_G6,GBY_GT,PeakWD,12/01/2025,-0.2686,3.2903
10/29/2025,TNP_TNP_O_2,RIONOG_ST1,PeakWD,12/01/2025,-2.2085,-0.5337
10/29/2025,SAN_SANMIGG1,LZ_CPS,PeakWD,12/01/2025,-0.1477,3.9317
10/29/2025,RDCAN_RDCNY1,HB_WEST,PeakWD,12/01/2025,-15.6446,-0.5897
10/29/2025,OXY_PUN1,ALGOD_ALL_RN,PeakWD,12/01/2025,-7.679,-4.9149
10/29/2025,OGSES_2,RIONOG_CT1,PeakWD,12/01/2025,-3.9125,-0.6606
10/29/2025,LPCCS_UNIT2,HB_NORTH,PeakWD,12/01/2025,-2.7163,0.0568
10/29/2025,HAYSEN3_4,BVE_UNIT3,PeakWD,12/01/2025,-13.542,2.1556
10/29/2025,FREC_2_CCU,PANDA_S_CT2,PeakWD,12/01/2025,-3.5839,-0.1187
10/29/2025,CEDROHI_CHW1,SIL_SILAS_10,PeakWD,12/01/2025,-13.9343,-1.8357
10/29/2025,CALAVER_JKS2,MCSES_UNIT8,PeakWD,12/01/2025,-15.5145,1.4942
10/29/2025,B_D_B_DAVIG1,RAB_G1-8,PeakWD,12/01/2025,-9.7853,7.7371
10/29/2025,TGCCS_ALL,TNSKA_CCU,PeakWD,12/01/2025,-7.1666,-2.9865
10/29/2025,FERGCC_ST1_5,JC_BAT_RN,PeakWD,12/01/2025,-1.806,0.77
10/29/2025,DERMOTT_ALL,RAMBLER_UNIT,PeakWD,12/01/2025,-2.9897,1.012
10/29/2025,DERMOTT_ALL,IMP_RN1,PeakWD,12/01/2025,-8.1185,3.6891
10/29/2025,FTWIND_UNIT1,CAPRIDG4_CR4,PeakWD,12/01/2025,-0.8543,0.611
10/29/2025,WHITE_PT_UN1,CRANELL_ALL,PeakWD,12/01/2025,-7.5632,-9.18
10/29/2025,WL_RANCH_RN,CSC_CSECG1_2,PeakWD,12/01/2025,-4.3062,1.0327
10/29/2025,FOARDCTY_ALL,RN_APOGEE,PeakWD,12/01/2025,-11.3262,0.4015
10/29/2025,CHISMGRD_RN,TEN_CT1_STG,PeakWD,12/01/2025,-5.9099,1.985
10/29/2025,MASSENGL_G7,RAMBLER_UNIT,PeakWD,12/01/2025,-30.0046,2.3838
10/29/2025,PLN_ALL,WAP_WAP_G7,PeakWD,12/01/2025,-2.2475,1.6466
10/29/2025,ANCHOR_ALL,TNSKA_CCU,PeakWD,12/01/2025,-7.271,-1.4653
10/29/2025,BCK_RN,FEGC_RN,PeakWD,12/01/2025,-0.3825,3.6987
10/29/2025,SWEC_G1,CAPRIDG4_CR4,PeakWD,12/01/2025,-28.4886,-11.37
10/29/2025,WHTTAIL_WR1,BOARDCRK_ALL,PeakWD,12/01/2025,-8.4252,-0.1928
10/29/2025,REDGATE_RN,NED_NEDIN_G2,PeakWD,12/01/2025,-1.7429,-0.5742
10/29/2025,TAV_RN,CHEDPW_GT2,PeakWD,12/01/2025,-6.8082,-1.213
10/29/2025,MCSES_UNIT6,CHISMGRD_RN,PeakWD,12/01/2025,-14.3194,-2.0274
10/29/2025,LPCCS_CT11,LPCCS_CT12,PeakWD,12/01/2025,0.0,0.0808
10/29/2025,INKS_INKS_G1,LZ_LCRA,PeakWD,12/01/2025,-17.7809,-1.6799
10/29/2025,IND_INADALE1,LPCCS_CT12,PeakWD,12/01/2025,-9.745,0.2145
