TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
01/07/2026,LHORN_N_U1_2,MASSENGL_G6,PeakWE,02/01/2026,-1.0815,0.2911
01/07/2026,RN_ECEC_HOLT,SADLBACK_RN,PeakWE,02/01/2026,-4.0418,1.1666
01/07/2026,SHANNONW_RN,NOBLESLR_ALL,PeakWE,02/01/2026,-3.1257,1.3436
01/07/2026,CAMWIND_RN,L_FRE_ESR_RN,PeakWE,02/01/2026,-4.3269,-0.35
01/07/2026,FERMI_ALL,SHANNONW_RN,PeakWE,02/01/2026,-25.4732,-13.3148
01/07/2026,CALHOUN_ALL,COL_COLETOG1,PeakWE,02/01/2026,-20.136,-12.2363
01/07/2026,NBOHR_RN,HB_WEST,PeakWE,02/01/2026,-22.857,-0.1711
01/07/2026,WHITE_PT_UN1,GREGORY_RN,PeakWE,02/01/2026,-0.6177,0.5884
01/07/2026,WAYMARK_RN,RIONOG_CT1,PeakWE,02/01/2026,-23.6055,-11.1564
01/07/2026,PHOEBE_ALL,AEEC,PeakWE,02/01/2026,-41.6983,-18.4551
01/07/2026,RANCHERO_ALL,TTWEC_G1,PeakWE,02/01/2026,-28.1875,-6.7081
01/07/2026,PALMWI_UNIT1,CAMWIND_RN,PeakWE,02/01/2026,-0.2396,0.03
01/07/2026,W_PECO_UNIT1,JCKCNTY2_CT3,PeakWE,02/01/2026,-32.465,-13.9073
01/07/2026,OBERON_U1,JCKCNTY2_CT3,PeakWE,02/01/2026,-32.793,-13.7764
01/07/2026,JC_BAT_RN,WIR_WIRTZ_G1,PeakWE,02/01/2026,-4.5232,-0.39
01/07/2026,JC_BAT_RN,MEDILA_RN,PeakWE,02/01/2026,-4.3847,-4.298
01/07/2026,AMADEUS_ALL,STRATEGC_RN,PeakWE,02/01/2026,-0.9994,3.4932
01/07/2026,ODESW_RN,TRINITY_ALL,PeakWE,02/01/2026,-34.897,-13.5105
01/07/2026,EUNICE_ALL,JCKCNTY2_CT3,PeakWE,02/01/2026,-33.6635,-12.7612
01/07/2026,BRP_RN_UNIT1,STP_STP_G1,PeakWE,02/01/2026,-32.5083,-4.9943
01/07/2026,BRP_LOOP_RN,BRP_SWNY_RN,PeakWE,02/01/2026,-3.2532,0.8945
01/07/2026,ARAGORN_RN,PB2SES_CT1,PeakWE,02/01/2026,-0.8356,0.0971
01/07/2026,LILY_RN,FRNYPP_2_CCU,PeakWE,02/01/2026,-6.7228,-0.7263
01/07/2026,WHMESA_U1,WL_RANCH_RN,PeakWE,02/01/2026,-24.7217,-7.3345
01/07/2026,NF_BRP_RN,LZ_SOUTH,PeakWE,02/01/2026,-60.2129,-14.7392
01/07/2026,PRSPERO2_ALL,RTLSNAKE_BT,PeakWE,02/01/2026,-1.4479,1.7631
01/07/2026,BATCAVE_RN,FPPYD_FPP_G1,PeakWE,02/01/2026,-13.2417,-13.0328
01/07/2026,BRANDON_RN,SGM_SIGNALMT,PeakWE,02/01/2026,-179.7083,7.26
01/07/2026,ERSL_RN,OR_BESS_RN,PeakWE,02/01/2026,-11.1233,-2.8834
01/07/2026,ERSL_RN,PHO_ALL,PeakWE,02/01/2026,-10.9375,-5.0686
01/07/2026,ERSL_RN,COTULLA_RN,PeakWE,02/01/2026,-14.7752,1.562
01/07/2026,AZURE_RN,BOSQ_BSQSU_5,PeakWE,02/01/2026,-2.4738,1.5339
01/07/2026,RN_APOGEE,FTR_FTR_G1_4,PeakWE,02/01/2026,-1.7042,0.14
01/07/2026,RN_APOGEE,WILDWIND_ALL,PeakWE,02/01/2026,-4.3941,1.7639
01/07/2026,WCPP_CT1,HLSES_UNIT3,PeakWE,02/01/2026,-7.2551,1.2005
01/07/2026,WAP_WAP_G5,THW_2_CCU,PeakWE,02/01/2026,-0.5235,0.5232
01/07/2026,TEN_CT1_STG,FRNYPP_1_CCU,PeakWE,02/01/2026,-16.0565,-0.544
01/07/2026,STP_STP_G2,WAP_WAP_G6,PeakWE,02/01/2026,-0.6279,0.9739
01/07/2026,AMO_AMOCO_S2,BAC_RN_ALL,PeakWE,02/01/2026,-0.0552,-0.5633
01/07/2026,LZ_WEST,FLCNS_UNIT2,PeakWE,02/01/2026,-15.3158,-5.3771
01/07/2026,HB_WEST,STWF_T1,PeakWE,02/01/2026,-5.9895,3.264
01/07/2026,HB_NORTH,PISG_RN_ALL,PeakWE,02/01/2026,-1.4246,-0.2532
01/07/2026,LONEWOLF_ALL,BULLCRK_1_2,PeakWE,02/01/2026,-4.2346,-1.5168
01/07/2026,PENA_ALL,SPARTA_ALL,PeakWE,02/01/2026,-5.1419,0.5789
01/07/2026,LV1A_LV1B,PALMWI_UNIT1,PeakWE,02/01/2026,-12.021,-0.5516
01/07/2026,LV1A_LV1B,TRUENO_ALL,PeakWE,02/01/2026,-0.5805,1.1756
01/07/2026,FERGCC_GT1_1,WIR_WIRTZ_G1,PeakWE,02/01/2026,-0.1303,0.2482
01/07/2026,PANDA_T1_CT2,PISG_RN_ALL,PeakWE,02/01/2026,-2.3766,-0.8215
01/07/2026,ECLIPSE_UN1,BRP_PBL2_RN,PeakWE,02/01/2026,-1.3323,2.3567
01/07/2026,AEEC,MASSENGL_G6,PeakWE,02/01/2026,-0.342,1.0317
01/07/2026,GUNMTN_NODE,RN_TOSBATT,PeakWE,02/01/2026,-28.3875,-9.5425
01/07/2026,RN_SR_WIND1,NEBULA_RN,PeakWE,02/01/2026,-1.4921,1.148
01/07/2026,TYLRWIND_RN,LZ_RAYBN,PeakWE,02/01/2026,-4.2404,0.73
01/07/2026,TYLRWIND_RN,SUNVASLR_ALL,PeakWE,02/01/2026,-30.3825,0.07
01/07/2026,FERMI_ALL,HAMI_BESS_RN,PeakWE,02/01/2026,-4.0415,-1.5849
01/07/2026,EMPCT_RN,LIGSW_RN,PeakWE,02/01/2026,-1.9654,-0.2759
01/07/2026,SENATEWD_1,JCKCNTY2_ST2,PeakWE,02/01/2026,-0.449,0.6839
01/07/2026,LV1A_LV1B,L_FRE_ESR_RN,PeakWE,02/01/2026,-4.9569,1.652
01/07/2026,RN_OCI_ALAMO,FERGCC_GT2_3,PeakWE,02/01/2026,-7.3405,-2.1108
01/07/2026,PANDA_T1_CT1,LZ_AEN,PeakWE,02/01/2026,-0.3905,4.2049
01/07/2026,ROUTE66_RN,WHCCS2_4,PeakWE,02/01/2026,-1.5803,4.9529
01/07/2026,SLTFRK_UN1_2,MASSENGL_G6,PeakWE,02/01/2026,-1.4367,-0.2487
01/07/2026,LAMESASLR_G,RN_TOSBATT,PeakWE,02/01/2026,-17.7253,-7.2827
01/07/2026,TORR_ALL,LARDVFTN_G4,PeakWE,02/01/2026,-2.2774,-1.9646
01/07/2026,EL_RAYO_ALL,NEBULA_RN,PeakWE,02/01/2026,-1.881,-0.3605
01/07/2026,JUNO_ALL,BULLCRK_1_2,PeakWE,02/01/2026,-3.4009,0.6187
01/07/2026,PHOENIX_RN,PANDA_S_CT2,PeakWE,02/01/2026,-2.2575,-0.013
01/07/2026,PHOENIX_RN,TURQ_BESS1,PeakWE,02/01/2026,-1.1359,0.03
01/07/2026,CBECII_CT7,HB_NORTH,PeakWE,02/01/2026,-7.4344,3.8452
01/07/2026,VORT_ALL_RN,FIVEWSLR_ALL,PeakWE,02/01/2026,-4.7316,1.6456
01/07/2026,REDGATE_RN,NED_NEDIN_G1,PeakWE,02/01/2026,-0.6057,-0.3974
01/07/2026,BCH_RN,WAP_WAP_G6,PeakWE,02/01/2026,-1.4822,-0.5901
01/07/2026,LON_RN1,PEY_RN,PeakWE,02/01/2026,-9.4178,-3.3251
01/07/2026,RVRVLYS_ALL,SLCN_ESS_ALL,PeakWE,02/01/2026,-0.49,-0.5186
01/07/2026,AGUAYO_UNIT1,CALLAHA_WND1,PeakWE,02/01/2026,-18.8143,1.2971
01/07/2026,HOUSEMTN_RN,SG_BES_BESS1,PeakWE,02/01/2026,-3.5504,-0.01
01/07/2026,SHEEPCRK_1,WHCCS2_4,PeakWE,02/01/2026,-1.7619,0.6913
01/07/2026,CISC_RN,LZ_NORTH,PeakWE,02/01/2026,-31.9987,-1.0031
01/07/2026,LMO_ESR_RN,WAP_WAP_G8,PeakWE,02/01/2026,-8.8038,-0.0134
