TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
12/3/2025,CMPD_SLR_RN,ELS_RN_1,PeakWE,1/1/2026,-1.4154,4.7696
12/3/2025,ANACACHO_ANA,HELIOS_RN,PeakWE,1/1/2026,-4.3823,-2.88
12/3/2025,LV1A_LV1B,MASSENGL_G8,PeakWE,1/1/2026,-25.2884,-5.281
12/3/2025,LV1A_LV1B,MV_VALV4_RN,PeakWE,1/1/2026,0.4424,6.6165
12/3/2025,TRSES_UNIT6,PAULN_RN,PeakWE,1/1/2026,-0.9041,-2.2033
12/3/2025,STWF_T1,FPPYD_FPP_G1,PeakWE,1/1/2026,-30.4268,-5.2007
12/3/2025,FERGCC_GT1_1,RIONOG_CT1,PeakWE,1/1/2026,-6.8381,-1.037
12/3/2025,PANDA_T1_CT1,DECKER_GT,PeakWE,1/1/2026,-0.4834,4.3878
12/3/2025,SCLP_PUN1,BRP_BRAZ_RN,PeakWE,1/1/2026,-1.1931,-0.1293
12/3/2025,SANDHSYD1_2,FILESSLR_PV1,PeakWE,1/1/2026,-41.293,-8.6489
12/3/2025,SHANNONW_RN,WCPP_CT1,PeakWE,1/1/2026,-0.8616,0.7632
12/3/2025,RAYB_G78910,INGLCO_PUN1,PeakWE,1/1/2026,-24.131,-4.8501
12/3/2025,RAMBLER_UNIT,CFLATS_UNIT,PeakWE,1/1/2026,-9.6347,1.05
12/3/2025,OECCS_1,SWEC_G1,PeakWE,1/1/2026,-3.5312,0.0395
12/3/2025,NWF_NWF1,PB2SES_CT3,PeakWE,1/1/2026,-1.4384,2.335
12/3/2025,MWEC_G1,FILESSLR_PV1,PeakWE,1/1/2026,-31.8463,-7.1836
12/3/2025,MLSES_UNIT3,PSA_PUN5,PeakWE,1/1/2026,-1.4804,1.7653
12/3/2025,COTPLNS_RN,DKNS_ESS_RN,PeakWE,1/1/2026,-1.1473,1.3733
12/3/2025,PROSPERO_ALL,PB2SES_CT1,PeakWE,1/1/2026,-1.2632,2.8736
12/3/2025,LGDRAW_S_ALL,HOLCOMB_RN1,PeakWE,1/1/2026,-52.6351,-4.784
12/3/2025,ODESW_RN,PIONR_DJ_RN,PeakWE,1/1/2026,-9.1144,-0.5603
12/3/2025,MCSES_UNIT6,LZ_RAYBN,PeakWE,1/1/2026,-8.0438,-0.4694
