TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
06/04/2025,TXCTY_CTA,BAC_RN_ALL,PeakWE,07/01/2025,-1.6241,-0.3537
06/04/2025,ARAGORN_RN,HI_LONEB_RN1,PeakWE,07/01/2025,-10.7355,-3.8832
06/04/2025,STRATEGC_RN,BOSQ_BSQS_34,PeakWE,07/01/2025,-3.9129,0.4041
06/04/2025,NOBLESLR_ALL,SAMSON_ALL,PeakWE,07/01/2025,-1.8948,0.1394
06/04/2025,BTM_ALL,BSS_U1,PeakWE,07/01/2025,-1.4989,-0.1223
06/04/2025,MLSES_UNIT3,LOS_LOSTPST1,PeakWE,07/01/2025,-3.1434,-1.6409
06/04/2025,WAP_WAP_G5,HB_HOUSTON,PeakWE,07/01/2025,-1.3327,0.34
06/04/2025,VIC_VICTORG5,SKY1,PeakWE,07/01/2025,-4.439,-0.941
06/04/2025,OLIN_OLING_2,DC_E,PeakWE,07/01/2025,-8.722,-0.755
06/04/2025,MDANP_CT3_4,SCES_UNIT1,PeakWE,07/01/2025,-42.0607,-1.1339
06/04/2025,LEG_LEG_G1,SCES_UNIT1,PeakWE,07/01/2025,-43.6114,-1.8244
06/04/2025,IND_INADALE1,QUEEN_BA_RN,PeakWE,07/01/2025,-2.3801,4.7145
06/04/2025,HHOLLW3_WND1,DERMOTT_ALL,PeakWE,07/01/2025,-8.7497,-0.5607
06/04/2025,CPSES_UNIT1,HB_NORTH,PeakWE,07/01/2025,-0.7423,0.5553
06/04/2025,BUFF_GAP_ALL,PYR_PYRON1,PeakWE,07/01/2025,-11.8479,-0.8401
06/04/2025,BUFF_GAP_ALL,WH_WIND_ALL,PeakWE,07/01/2025,-6.0122,-0.3714
06/04/2025,HB_SOUTH,LZ_LCRA,PeakWE,07/01/2025,0.2599,14.25
06/04/2025,WAKEWE_ALL,FLCNS_UNIT1,PeakWE,07/01/2025,-2.7862,2.7418
06/04/2025,SLTFRK_UN1_2,QUEEN_SL_RN,PeakWE,07/01/2025,-2.5001,6.2018
06/04/2025,SALVTION_GEN,QUEEN_BA_RN,PeakWE,07/01/2025,-2.5037,4.5177
06/04/2025,RN_RTS1,HI_LONE_ALL,PeakWE,07/01/2025,-1.9952,2.9321
06/04/2025,AMADEUS_ALL,HB_WEST,PeakWE,07/01/2025,-1.4853,0.0966
06/04/2025,AZURE_RN,WCPP_ST1,PeakWE,07/01/2025,-0.7206,1.9945
06/04/2025,AQUI_ALL,SCES_UNIT1,PeakWE,07/01/2025,-42.2663,-1.2007
06/04/2025,PRID_RN,HB_WEST,PeakWE,07/01/2025,-5.3343,-0.5044
06/04/2025,RADN_SLR_ALL,RAT_RN_1,PeakWE,07/01/2025,-2.4038,1.2413
06/04/2025,TNSKA_CCU,TC_PUN2,PeakWE,07/01/2025,-10.2093,-0.8467
06/04/2025,SWEETWN2_2_4,LONEWOLF_ALL,PeakWE,07/01/2025,-0.508,-0.064
06/04/2025,ANDMDSLR_ALL,HLSES_UNIT5,PeakWE,07/01/2025,-6.4707,1.3632
06/04/2025,FRONT_EC_RN2,NED_NEDIN_G2,PeakWE,07/01/2025,-3.8376,-0.9131
06/04/2025,ELECTRAW_1_2,HB_PAN,PeakWE,07/01/2025,-8.8223,-1.5195
06/04/2025,TAHOKA_ALL,SSPURT_WIND1,PeakWE,07/01/2025,-24.4091,-5.1594
06/04/2025,TORR_ALL,BORDAS_345,PeakWE,07/01/2025,-0.1357,0.5866
06/04/2025,MISAE_GEN_RN,FOARDCTY_ALL,PeakWE,07/01/2025,-0.0051,1.2212
06/04/2025,CITYVICT_ALL,SAN_SANMIGG1,PeakWE,07/01/2025,-12.8781,1.5627
06/04/2025,FLTBES1,LAPETUS_U1,PeakWE,07/01/2025,-6.8296,-0.1188
06/04/2025,RELOJ_ALL,SANTACRU_ALL,PeakWE,07/01/2025,-4.7907,0.4311
06/04/2025,EUNICE_ALL,MWEC_G1,PeakWE,07/01/2025,-25.34,-7.7757
06/04/2025,EUNICE_ALL,TRIPBUT1_RN,PeakWE,07/01/2025,-31.9497,-1.2327
06/04/2025,AZURE_RN,BLSMT1_5_A_6,PeakWE,07/01/2025,-4.616,0.0317
06/04/2025,AJAXWIND_RN,T_CK_GT2_RN,PeakWE,07/01/2025,-1.4003,7.3017
06/04/2025,MGSES_CT123,FLCNS_UNIT1,PeakWE,07/01/2025,-3.0424,-4.0216
06/04/2025,MDANP_CT3_4,STEA_STEAM_3,PeakWE,07/01/2025,-1.1988,2.0736
06/04/2025,JACKCNTY_CT1,EMPCT_RN,PeakWE,07/01/2025,-3.3575,-4.459
06/04/2025,HAYSEN3_4,DECKER_GT,PeakWE,07/01/2025,-0.9871,3.4391
06/04/2025,ZIER_SLR_ALL,HOLCOMB_RN1,PeakWE,07/01/2025,-34.8011,-7.451
06/04/2025,RRC_WIND_ALL,HB_WEST,PeakWE,07/01/2025,-1.5038,2.9883
06/04/2025,RRC_WIND_ALL,ALGOD_ALL_RN,PeakWE,07/01/2025,-86.502,-4.6744
06/04/2025,BELM_SLR_RN,FPPYD_FPP_G1,PeakWE,07/01/2025,-4.8247,0.6505
06/04/2025,MRKM_SLR_RN,AGUAYO_UNIT1,PeakWE,07/01/2025,-17.2977,0.0024
06/04/2025,WCPP_CT1,SPNC_SPNCE_4,PeakWE,07/01/2025,-18.7384,1.8848
06/04/2025,TTWEC_G1,CALLAHA_WND1,PeakWE,07/01/2025,-12.0931,-5.9167
