TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
05/07/2025,NOBLESLR_ALL,LPCCS_CT21,PeakWE,06/01/2025,-25.5118,1.2481
05/07/2025,MCLNSLR_RN,BRP_PBL2_RN,PeakWE,06/01/2025,-2.4115,-1.1235
05/07/2025,HB_BUSAVG,TNP_TNP_O_1,PeakWE,06/01/2025,-5.0282,0.102
05/07/2025,INRT_W_ALL,LZ_RAYBN,PeakWE,06/01/2025,-1.3356,3.7418
05/07/2025,KELAMSL_U1,BR_ARROW_ALL,PeakWE,06/01/2025,-5.4711,0.96
05/07/2025,FLOWERII_RN,RIGGIN_UNIT1,PeakWE,06/01/2025,-3.1229,-0.7862
05/07/2025,PRID_RN,WEC_WECG1,PeakWE,06/01/2025,-2.6241,0.0949
05/07/2025,WEC_WECG1,LZ_NORTH,PeakWE,06/01/2025,-6.8727,-0.6866
05/07/2025,TNSKA_CCU,LPCCS_CT12,PeakWE,06/01/2025,-17.5828,-1.6659
05/07/2025,NUE_NUECESG7,BLACKJAK_RN,PeakWE,06/01/2025,-2.4279,-0.28
05/07/2025,MWEC_G1,BRAZ_WND_ALL,PeakWE,06/01/2025,-0.9741,-0.8174
05/07/2025,LEONLCPCT1_2,BRP_RN_UNIT1,PeakWE,06/01/2025,-8.6932,-0.2708
05/07/2025,JACKCNTY_CT1,CNLY_ESS_RN,PeakWE,06/01/2025,-1.5643,-0.4354
05/07/2025,GRSES_UNIT1,MNWL_BESS_RN,PeakWE,06/01/2025,-4.3143,1.9408
05/07/2025,GID_GIDEONG2,JC_BAT_RN,PeakWE,06/01/2025,-4.379,-1.084
05/07/2025,FORMOSA_PUN1,HB_BUSAVG,PeakWE,06/01/2025,-5.497,-4.6186
05/07/2025,DUP_PUN4,NCARBIDE_1_7,PeakWE,06/01/2025,-3.0772,-0.14
05/07/2025,CEDROHI_CHW1,LZ_SOUTH,PeakWE,06/01/2025,0.1691,5.455
