TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
02/04/2026,WAP_WAP_G8,FTR_FTR_G1_4,PeakWE,03/01/2026,-3.9153,-6.0E-4
02/04/2026,VIC_VICTORG6,ELECTRAW_1_2,PeakWE,03/01/2026,-15.4511,-4.9285
02/04/2026,VIC_VICTORG6,GRSES_UNIT1,PeakWE,03/01/2026,-10.8272,-2.7459
02/04/2026,VIC_VICTORG6,LNCRK_ALL,PeakWE,03/01/2026,-10.8736,-4.5142
02/04/2026,VIC_VICTORG6,INRT_W_ALL,PeakWE,03/01/2026,-11.4567,-4.8018
02/04/2026,SC2SES_UNIT1,TRSES_UNIT6,PeakWE,03/01/2026,-2.9464,0.3675
02/04/2026,SC2SES_UNIT1,DENISON_G1_2,PeakWE,03/01/2026,-4.1374,0.8253
02/04/2026,SAN_SANMIGG1,TORR_ALL,PeakWE,03/01/2026,-23.8841,-9.9323
02/04/2026,RDCAN_RDCNY1,HB_WEST,PeakWE,03/01/2026,-29.0064,-0.399
02/04/2026,PYR_PYRON1,WH_WIND_ALL,PeakWE,03/01/2026,-2.056,1.0751
02/04/2026,OLIN_OLING_1,FRMRSVLW_RN,PeakWE,03/01/2026,-3.7578,-0.14
02/04/2026,NED_NEDIN_G3,BRP_ZPT2_RN,PeakWE,03/01/2026,-44.9785,-1.7945
02/04/2026,UCC_COG_PUN2,DIB_DIB_G3,PeakWE,03/01/2026,-10.115,-4.397
02/04/2026,UCC_COG_PUN2,MASSENGL_G8,PeakWE,03/01/2026,-39.3821,-25.747
02/04/2026,TXCTY_CTA,BYU_BYU_12,PeakWE,03/01/2026,-7.9992,-3.2137
02/04/2026,IND_INADALE1,CSC_CSECG1_2,PeakWE,03/01/2026,-5.3039,4.4206
02/04/2026,FRNYPP_1_CCU,BR_ARROW_ALL,PeakWE,03/01/2026,-4.6748,-0.5703
02/04/2026,CSC_CSECG1_2,TRSES_UNIT6,PeakWE,03/01/2026,-33.6327,-1.6365
02/04/2026,COTTON_PAP2,HB_SOUTH,PeakWE,03/01/2026,-0.9269,2.0
02/04/2026,CARBN_BSP_1,STWF_T1,PeakWE,03/01/2026,-17.9069,-4.8757
02/04/2026,LZ_SOUTH,SKY1,PeakWE,03/01/2026,-21.0597,2.3982
02/04/2026,DC_N,JCKCNTY2_CT3,PeakWE,03/01/2026,-1.1769,3.5208
02/04/2026,HB_SOUTH,BCH_RN,PeakWE,03/01/2026,-6.4626,0.7345
02/04/2026,CBEC_ALL,FPPYD_FPP_G1,PeakWE,03/01/2026,-19.3224,-4.7561
02/04/2026,PEARSA_1_24,HHGT_KENDAL,PeakWE,03/01/2026,-8.9455,-3.7965
02/04/2026,PEARSA_1_24,PLN_ALL,PeakWE,03/01/2026,-8.385,-4.6844
02/04/2026,QALSW_ALL,FLTBES1,PeakWE,03/01/2026,-0.6644,1.4967
02/04/2026,NACPW_UNIT1,MCSES_UNIT6,PeakWE,03/01/2026,-1.3881,3.11
02/04/2026,EXGNWTL_1,EXGNSND_RN,PeakWE,03/01/2026,0.7979,4.867
02/04/2026,ANACACHO_ANA,HICK_G1_G2,PeakWE,03/01/2026,-10.9654,-6.99
02/04/2026,ANACACHO_ANA,SLCN_ESS_ALL,PeakWE,03/01/2026,-10.8403,-9.4187
02/04/2026,PANDA_T1_ST1,LGW_UNIT_ALL,PeakWE,03/01/2026,-10.5253,-2.1388
02/04/2026,MIAM1_G1_G2,HORSECRK_RN,PeakWE,03/01/2026,-0.0159,2.3776
02/04/2026,SIRIUS_UNIT1,GREASWOD_ALL,PeakWE,03/01/2026,-6.2078,-4.2369
02/04/2026,LV4_UNIT_1,LV3_UNIT1,PeakWE,03/01/2026,-0.001,0.05
02/04/2026,MIRASOLE_GEN,RN_SR_WIND1,PeakWE,03/01/2026,-19.2,-1.2417
02/04/2026,FERMI_ALL,TOYAH_RN,PeakWE,03/01/2026,-19.7551,-5.3996
02/04/2026,SALVTION_GEN,FREC_2_CCU,PeakWE,03/01/2026,-1.4249,2.1026
02/04/2026,RN_RTS1,PYR_PYRON1,PeakWE,03/01/2026,-18.5165,-1.7433
02/04/2026,STELLA_RN,CRANELL_ALL,PeakWE,03/01/2026,-2.3597,4.7745
02/04/2026,RN_DEC_AGR_B,RN_DEC_AGR_A,PeakWE,03/01/2026,-0.2025,0.0709
02/04/2026,TORR_ALL,KARAKAW1_1,PeakWE,03/01/2026,-7.5943,-0.3181
02/04/2026,FOARDCTY_ALL,GRSES_UNIT1,PeakWE,03/01/2026,-2.4393,2.3429
02/04/2026,RHESS2_ESS1,LZ_LCRA,PeakWE,03/01/2026,-77.9613,-3.1996
02/04/2026,WEC_WECG1,SOLARA_UNIT1,PeakWE,03/01/2026,-13.9208,-0.3227
02/04/2026,WCPP_CT2,WILDWIND_ALL,PeakWE,03/01/2026,-4.4008,0.1902
02/04/2026,SIL_SILAS_6,NUE_NUECESG7,PeakWE,03/01/2026,-40.5029,0.2214
02/04/2026,SIL_SILAS_10,KARAKAW1_1,PeakWE,03/01/2026,-11.1542,-0.0731
02/04/2026,SCLP_PUN1,WGU_RN,PeakWE,03/01/2026,-0.6566,-0.1902
02/04/2026,PYR_PYRON1,CPSES_UNIT2,PeakWE,03/01/2026,-3.1337,0.8376
02/04/2026,PSA_PSA_G1,CBY_CBY_G1,PeakWE,03/01/2026,-0.5191,0.2554
02/04/2026,OLIN_OLING_1,OLIN_OLING_2,PeakWE,03/01/2026,-0.3342,-0.2453
02/04/2026,OECCS_2,FAULKNER_RN,PeakWE,03/01/2026,-0.6094,2.4721
02/04/2026,OECCS_1,PB2SES_CT5,PeakWE,03/01/2026,-0.354,2.1514
02/04/2026,MLSES_UNIT2,LZ_NORTH,PeakWE,03/01/2026,-1.8717,-0.1207
02/04/2026,LPCCS_CT22,ESTONIAN_ALL,PeakWE,03/01/2026,-0.8248,-0.0973
02/04/2026,LEONLCPCT1_2,LOS_LOSTPGT1,PeakWE,03/01/2026,-20.9199,-6.0201
02/04/2026,LEONLCPCT1_2,BIGSTAR_ALL,PeakWE,03/01/2026,-24.7229,-2.9883
02/04/2026,INKS_INKS_G1,FOXTROT_ALL,PeakWE,03/01/2026,-114.0695,-5.3325
02/04/2026,GID_GIDEONG1,CALAVER_JTD1,PeakWE,03/01/2026,-1.2066,-0.2843
02/04/2026,GID_GIDEONG1,BRAUNIG_VHB3,PeakWE,03/01/2026,-1.5854,0.0908
02/04/2026,FLTCK_SSI,X443ESRN,PeakWE,03/01/2026,-4.8832,-0.5681
02/04/2026,FLCNS_UNIT1,JUNORTH_RN,PeakWE,03/01/2026,-24.8366,0.4168
