TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
04/02/2025,RN_SR_WIND1,CRANELL_ALL,PeakWD,05/01/2025,-4.0765,3.8576
04/02/2025,WIPOPA_3_4,DANSBY_ALL,PeakWD,05/01/2025,-4.4242,-0.25
04/02/2025,STP_STP_G1,HB_NORTH,PeakWD,05/01/2025,-11.8744,0.4799
04/02/2025,SCSES_UNIT2,DIBOL_RN,PeakWD,05/01/2025,-0.332,0.2698
04/02/2025,SC2SES_UNIT1,LZ_NORTH,PeakWD,05/01/2025,-1.5671,0.4189
04/02/2025,LGDRAW_S_ALL,TNSKA_CCU,PeakWD,05/01/2025,-14.6952,-2.0837
04/02/2025,SWOOSEII_RN,FLVABES1_ESR,PeakWD,05/01/2025,-3.248,-0.849
04/02/2025,HWF_HWFG1,LHSES_UNIT2,PeakWD,05/01/2025,-3.9088,3.0993
04/02/2025,HHOLLW3_WND1,PANDA_T2_CT2,PeakWD,05/01/2025,-11.3009,2.9068
04/02/2025,DUKE_GT2_CCU,N_AL_BESS_RN,PeakWD,05/01/2025,0.0,-0.1317
04/02/2025,BRA_AVR_CST1,LZ_CPS,PeakWD,05/01/2025,-0.6586,2.1157
04/02/2025,BRAUNIG_VHB3,RN_OCI_ALAMO,PeakWD,05/01/2025,-0.1986,0.396
04/02/2025,WHTTAIL_WR1,HB_NORTH,PeakWD,05/01/2025,-7.4062,-0.5683
04/02/2025,BLSMT1_5_A_6,VERAWIND_ALL,PeakWD,05/01/2025,-0.4248,-0.765
04/02/2025,PANDA_S_CT2,KELAMSL_U1,PeakWD,05/01/2025,-4.7249,-0.17
04/02/2025,DUKE_GT2_CCU,FAL_FALCONG1,PeakWD,05/01/2025,-23.8,-6.2377
04/02/2025,BRAZ_WND_ALL,RN_TOSBATT,PeakWD,05/01/2025,-15.1803,2.11
04/02/2025,HB_BUSAVG,NF_BRP_RN,PeakWD,05/01/2025,-0.8449,2.2408
04/02/2025,CBEC_ALL,HB_HOUSTON,PeakWD,05/01/2025,-20.9665,-12.7252
