TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
09/03/2025,MCDLD_FCSBW1,OWF_OWF,PeakWE,10/01/2025,-9.5673,-4.859
09/03/2025,MAR_MARSFOG1,LZ_LCRA,PeakWE,10/01/2025,-2.7445,-0.6482
09/03/2025,DECKER_GT,LZ_NORTH,PeakWE,10/01/2025,-15.1821,-7.1334
09/03/2025,CVC_CVC_G2,TC_PUN1,PeakWE,10/01/2025,-2.6436,-3.0319
09/03/2025,CHE_LYD,TC_PUN1,PeakWE,10/01/2025,-2.5231,-3.1225
09/03/2025,CHEDPW_GT2,FEGC_RN,PeakWE,10/01/2025,-2.5309,-1.4515
09/03/2025,CAL_PUN1,AZ_ALL,PeakWE,10/01/2025,-0.7715,-0.24
09/03/2025,BUFF_GAP_ALL,MAVCRK_W_ALL,PeakWE,10/01/2025,-0.9772,-0.3423
09/03/2025,BUFF_GAP_ALL,GALO_RN1,PeakWE,10/01/2025,-0.9772,-0.3423
09/03/2025,BASTEN_CCU,DECKER_GT,PeakWE,10/01/2025,-0.1964,0.2701
09/03/2025,AZ_ALL,CBY_CBY_G2,PeakWE,10/01/2025,-0.7011,-0.697
09/03/2025,LZ_AEN,PAULN_RN,PeakWE,10/01/2025,-17.6691,-7.64
09/03/2025,HB_WEST,CAPRIDGE_ALL,PeakWE,10/01/2025,-4.5704,-1.3999
09/03/2025,PEARSA_1_24,MLSES_UNIT1,PeakWE,10/01/2025,-12.3832,-9.8805
09/03/2025,QALSW_ALL,HB_WEST,PeakWE,10/01/2025,-19.7754,-10.4169
09/03/2025,LV1A_LV1B,L_FRE_ESR_RN,PeakWE,10/01/2025,-4.9569,0.0337
09/03/2025,MOZART_WIND1,ENDPARK_ESS1,PeakWE,10/01/2025,-24.9855,-8.9768
09/03/2025,RN_OCI_ALAMO,FPPYD_FPP_G1,PeakWE,10/01/2025,-9.7598,-7.1868
09/03/2025,RN_OCI_ALAMO,WEBBER_WS_T1,PeakWE,10/01/2025,-7.8164,-4.5471
09/03/2025,PH1_UNIT1_2,WAKEWE_ALL,PeakWE,10/01/2025,-2.2726,1.9852
09/03/2025,BAFFIN_ALL,SAN_SANMIGG1,PeakWE,10/01/2025,0.2162,2.24
09/03/2025,WNDTS2_UNIT1,DENISON_G1_2,PeakWE,10/01/2025,-16.1508,-1.7904
09/03/2025,GUNMTN_NODE,MCDLD_FCSBW1,PeakWE,10/01/2025,-23.0118,0.47
09/03/2025,GUNMTN_NODE,RN_TOSBATT,PeakWE,10/01/2025,-28.3875,-7.04
09/03/2025,GUNMTN_NODE,RAT_RN_1,PeakWE,10/01/2025,-28.1826,-11.4358
09/03/2025,VERTIGO_UN1,ELS_RN_1,PeakWE,10/01/2025,-1.0554,2.1037
09/03/2025,RN_RTS1,PRID_RN,PeakWE,10/01/2025,-3.9029,-0.6354
09/03/2025,WAYMARK_RN,LZ_WEST,PeakWE,10/01/2025,-4.6235,-0.628
09/03/2025,MISAE_GEN_RN,DC_N,PeakWE,10/01/2025,-0.0985,0.6165
09/03/2025,TI_SOLAR_ALL,OECCS_1,PeakWE,10/01/2025,-11.5181,-4.8729
09/03/2025,TOPAZ_ALL,EXN_PUN1,PeakWE,10/01/2025,-11.3902,0.0049
09/03/2025,TRUENO_ALL,SANTACRU_ALL,PeakWE,10/01/2025,-3.1198,2.0903
09/03/2025,ASTRA_RN,AEEC,PeakWE,10/01/2025,-3.2355,-1.0876
09/03/2025,ASTRA_RN,FOARDCTY_ALL,PeakWE,10/01/2025,-0.0325,2.9443
09/03/2025,CORAZON_RN,CCEC_ST1,PeakWE,10/01/2025,-32.855,2.0656
09/03/2025,T_CK_GT3_RN,RN_RTS1,PeakWE,10/01/2025,-29.2742,-9.2337
09/03/2025,TAYGETE2_ALL,FLOWERII_RN,PeakWE,10/01/2025,-0.4384,1.4681
09/03/2025,ERSL_RN,LARDVFTN_G5,PeakWE,10/01/2025,-55.398,-7.8634
09/03/2025,ERSL_RN,ALGOD_ALL_RN,PeakWE,10/01/2025,-48.5363,-6.4404
09/03/2025,SWT_BESS_RN,STP_STP_G2,PeakWE,10/01/2025,-30.457,-4.2861
09/03/2025,SWOOSEII_RN,WOV_BESS_RN,PeakWE,10/01/2025,-11.2979,-1.301
09/03/2025,WOV_BESS_RN,PHOEBE_ALL,PeakWE,10/01/2025,-1.6441,-1.0713
09/03/2025,TRUSGILL_RN,LPCCS_UNIT1,PeakWE,10/01/2025,-21.4176,1.949
09/03/2025,RPUBRDS_RN,MDANP_CT1_2,PeakWE,10/01/2025,-9.2963,-1.2672
09/03/2025,BLUEJAY_RN,LZ_NORTH,PeakWE,10/01/2025,-4.7582,-1.3827
09/03/2025,RN_APOGEE,WFCOGEN_13,PeakWE,10/01/2025,-1.6141,-0.58
09/03/2025,RN_APOGEE,LGW_UNIT_ALL,PeakWE,10/01/2025,-2.5618,-0.2937
09/03/2025,RN_APOGEE,ENDPARK_ESS1,PeakWE,10/01/2025,-11.8425,-2.8352
09/03/2025,INDNNWP_RN,HICK_G1_G2,PeakWE,10/01/2025,-16.4104,-7.6869
09/03/2025,ANCHOR_ALL,PANDA_S_CT2,PeakWE,10/01/2025,-0.7546,1.5791
09/03/2025,BCK_RN,DOWGEN_PUN1,PeakWE,10/01/2025,-2.2523,1.3637
09/03/2025,BCK_RN,ALVIN_RN,PeakWE,10/01/2025,-0.6335,1.8588
09/03/2025,RAT_RN_1,LNCRK_ALL,PeakWE,10/01/2025,-16.1668,-2.5666
09/03/2025,MCLNSLR_RN,INGLCO_PUN2,PeakWE,10/01/2025,-59.7587,-10.6221
