TargetDate,Source,Sink,TimeOfUse,StartDate,ACI99,ACP
08/06/2025,PANDA_S_CT1,LZ_RAYBN,PeakWE,09/01/2025,-1.3419,0.5687
08/06/2025,SHANNONW_RN,HWF_HWFG1,PeakWE,09/01/2025,-0.7907,0.3015
08/06/2025,SOLARA_UNIT1,TKWSW_CHAMP,PeakWE,09/01/2025,-15.385,-2.4894
08/06/2025,SOLARA_UNIT1,SWEETWN3_3,PeakWE,09/01/2025,-9.0795,-2.2443
08/06/2025,WAKEWE_ALL,DC_N,PeakWE,09/01/2025,-2.0982,0.1485
08/06/2025,CFLATS_UNIT,FWLR_SLR_1,PeakWE,09/01/2025,-10.5962,-1.0
08/06/2025,IMP_RN1,LPCCS_CT11,PeakWE,09/01/2025,-15.5881,-0.4331
08/06/2025,BRPMAGNO_RN,BRP_PBL1_RN,PeakWE,09/01/2025,-22.7835,-14.09
08/06/2025,WILDWIND_ALL,SPNC_SPNCE_5,PeakWE,09/01/2025,-24.1963,0.07
08/06/2025,TI_SOLAR_ALL,BOOTLEG_UN1,PeakWE,09/01/2025,-6.6538,-2.422
08/06/2025,PHOENIX_RN,OLIN_OLING_2,PeakWE,09/01/2025,-1.4279,-0.0948
08/06/2025,CHISMGRD_RN,KELAMSL_U1,PeakWE,09/01/2025,-6.9578,0.1109
08/06/2025,CHISMGRD_RN,LFSTH_RN,PeakWE,09/01/2025,-6.9802,0.4985
08/06/2025,GRIF_TRL_RN,BOSQ_BSQS_12,PeakWE,09/01/2025,-2.253,1.4631
08/06/2025,ANCHOR_ALL,CPSES_UNIT1,PeakWE,09/01/2025,-1.3703,0.122
08/06/2025,TAV_RN,WGU_RN,PeakWE,09/01/2025,-4.2089,-5.3065
08/06/2025,BIGSTAR_ALL,FPPYD_FPP_G1,PeakWE,09/01/2025,-3.8689,-1.8095
08/06/2025,CEDRVALE_RN,SGSA_DGR,PeakWE,09/01/2025,-2.1885,-0.9883
08/06/2025,COYOTSPR_RN,W_PECO_UNIT1,PeakWE,09/01/2025,-0.5589,-0.02
08/06/2025,COYOTSPR_RN,RTLSNAKE_BT,PeakWE,09/01/2025,-0.5521,-0.0032
08/06/2025,FAULKNER_RN,RTLSNAKE_BT,PeakWE,09/01/2025,-0.5521,-0.0032
08/06/2025,DAG_ALL,WGU_RN,PeakWE,09/01/2025,-3.9773,-0.465
08/06/2025,RVRVLYS_ALL,LOS_LOSTPGT1,PeakWE,09/01/2025,-4.7789,-5.7601
08/06/2025,APPALOSA_ALL,INDNENR_1_RN,PeakWE,09/01/2025,-16.998,-3.7976
08/06/2025,AGUAYO_UNIT1,WND_WHITNEY,PeakWE,09/01/2025,-8.1881,-0.125
08/06/2025,PITSDD_UNIT1,LZ_NORTH,PeakWE,09/01/2025,-2.4077,-0.8626
08/06/2025,GRDNE_ESR_RN,OWF_OWF,PeakWE,09/01/2025,-15.1169,-12.5862
08/06/2025,FRMRSVLW_RN,NACPW_UNIT1,PeakWE,09/01/2025,-11.0884,-0.475
08/06/2025,SHAMROCK_RN,PC_NORTH_1,PeakWE,09/01/2025,-38.2445,-4.2856
08/06/2025,LFSTH_RN,RN_DEC_AGR_D,PeakWE,09/01/2025,-19.754,0.25
08/06/2025,BAKE_RN_ALL,LPCCS_UNIT2,PeakWE,09/01/2025,-0.1659,-0.0855
08/06/2025,CARBN_BSP_1,MASSENGL_G6,PeakWE,09/01/2025,-21.7958,-12.6906
08/06/2025,DDPEC_GT1,PSA_PSA_G4,PeakWE,09/01/2025,-5.4553,-0.6578
08/06/2025,CHEDPW_GT2,HB_HOUSTON,PeakWE,09/01/2025,-1.2825,-0.6523
08/06/2025,CCEC_ST1,NEBULA_RN,PeakWE,09/01/2025,-16.9021,-1.8284
08/06/2025,BULLCRK_1_2,MAVCRK_W_ALL,PeakWE,09/01/2025,-8.2359,-2.0828
08/06/2025,BUCHAN_ALL,MAR_MARSFOG1,PeakWE,09/01/2025,-3.5426,-0.5161
08/06/2025,BUCHAN_ALL,LOS_LOSTPGT1,PeakWE,09/01/2025,-12.116,-6.6197
08/06/2025,BUCHAN_ALL,FPPYD_FPP_G1,PeakWE,09/01/2025,-14.5122,-7.6244
08/06/2025,BRTSW_BCW1,FILESSLR_PV1,PeakWE,09/01/2025,-10.99,-4.4941
08/06/2025,BRA_AVR1_CT2,HAYSEN1_2,PeakWE,09/01/2025,-5.4762,-3.4963
08/06/2025,BRAZ_WND_ALL,SNY_BESS_RN,PeakWE,09/01/2025,-2.5486,2.8574
08/06/2025,LZ_WEST,BULLCRK_1_2,PeakWE,09/01/2025,-19.9788,-7.871
08/06/2025,WCPP_CT1,DC2SES_ALL,PeakWE,09/01/2025,-5.9681,-2.57
08/06/2025,WAP_WAP_G3,THW_1_CCU,PeakWE,09/01/2025,-0.9947,-0.4899
08/06/2025,VIC_VICTORG5,ZIER_SLR_ALL,PeakWE,09/01/2025,-9.8731,7.8062
08/06/2025,STEA_STEAM_1,SPNC_SPNCE_5,PeakWE,09/01/2025,-26.3599,-0.4005
08/06/2025,OGSES_1,EBELLS_UNIT1,PeakWE,09/01/2025,-8.2375,-0.3129
08/06/2025,NED_NEDIN_G3,HB_SOUTH,PeakWE,09/01/2025,-95.8845,8.0
08/06/2025,NCARBIDE_1_7,LZ_SOUTH,PeakWE,09/01/2025,-8.3788,-1.67
08/06/2025,MDANP_CT3_4,FRNYPP_1_CCU,PeakWE,09/01/2025,-1.8878,0.1194
08/06/2025,MCSES_UNIT7,FRMRSVLW_RN,PeakWE,09/01/2025,-7.58,-0.4109
08/06/2025,LARDVFTN_G4,NEBULA_RN,PeakWE,09/01/2025,-19.3779,2.2957
08/06/2025,MGSES_CT123,FLCNS_UNIT1,PeakWE,09/01/2025,-3.0424,-4.0216
